input_name,file_path,sha256,row_count,used_for,recomputed_flux,regenerated_doc_prediction,trained_model
annual_flux_analysis_cohorts,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_model_rebuild\outputs\tables\flux_interpretation\annual_flux_analysis_cohorts.csv,6ce984c3ed1f61603c7b198963adb777169bc5c7d4adf32a4721a5e11310ea12,156.0,annual_flux_trend_metadata_or_cohort,False,False,False
flux_cohort_summary_by_river,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_model_rebuild\outputs\tables\flux_interpretation\flux_cohort_summary_by_river.csv,e462eb1ff661748a20e659c6a2aea6f9c33787c44325d6ec933bd7ee9985ce18,6.0,annual_flux_trend_metadata_or_cohort,False,False,False
flux_confidence_diagnostics,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_model_rebuild\outputs\tables\flux_interpretation\flux_confidence_diagnostics.csv,f3219954b3e8f5331a583fa58cae906c64270e97a924697f5c9e809870b09216,20.0,annual_flux_trend_metadata_or_cohort,False,False,False
annual_doc_flux_summary,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_model_rebuild\outputs\tables\doc_flux\annual_doc_flux_summary.csv,c15085a219f94faa86af6fa0e11c272cfab05374f33146f89dddb91fc9e404d5,156.0,annual_flux_trend_metadata_or_cohort,False,False,False
river_period_flux_summary,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_model_rebuild\outputs\tables\doc_flux\river_period_flux_summary.csv,33e994888e917168888654104c2ed7c855f772f9b6c1338a6235fdc90a302394,24.0,annual_flux_trend_metadata_or_cohort,False,False,False
flux_cohort_report,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_model_rebuild\outputs\reports\flux_interpretation\flux_cohort_report.md,989e37eac94269b8a03ee518f664c0f85eb64147230f078b0d47e8a6dc66d87c,,annual_flux_trend_metadata_or_cohort,False,False,False
doc_flux_report,D:\Hao\Desktop\冰冻圈水文\北极大河\arctic_doc_model_rebuild\outputs\reports\doc_flux\doc_flux_report.md,91d81d7a28c695de4bd6d8ff715ab418ffb087ae78c2abcdbe964e03490d2f14,,annual_flux_trend_metadata_or_cohort,False,False,False
analysis_set_core_2003_2024,derived_from_annual_flux_analysis_cohorts.csv,,121.0,trend_analysis_cohort,False,False,False
analysis_set_full_2000_2025_sensitivity,derived_from_annual_flux_analysis_cohorts.csv,,156.0,trend_analysis_cohort,False,False,False
analysis_set_high_confidence_only_sensitivity,derived_from_annual_flux_analysis_cohorts.csv,,115.0,trend_analysis_cohort,False,False,False
analysis_set_core_excluding_yenisey_sensitivity,derived_from_annual_flux_analysis_cohorts.csv,,107.0,trend_analysis_cohort,False,False,False
