analysis_cohort,river,n_years,slope_ols_TgC_per_year,slope_ols_p_value,slope_theilsen_TgC_per_year,kendall_tau,trend_direction,significant_at_0_05,primary_or_sensitivity,conclusion_changed_vs_core,confidence_caveat
core_2003_2024,Kolyma,19,-0.000530137198591105,0.9453088061670409,0.0022025438502259603,0.029239766081871343,flat_or_uncertain,False,primary,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Lena,22,-0.02872175559542411,0.35862572776221757,-0.04176188755071131,-0.2207792207792208,flat_or_uncertain,False,primary,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Mackenzie,22,-0.01052002129724784,0.34573723921203925,-0.022131015932843882,-0.20346320346320346,flat_or_uncertain,False,primary,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Ob,22,0.02649453417049404,0.28958837443273755,0.02161864956532818,0.18614718614718614,flat_or_uncertain,False,primary,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Yenisey,14,0.0030672012917820164,0.9394281441457623,0.0018908884010900263,0.03296703296703297,flat_or_uncertain,False,primary,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Yukon,22,0.02179237137934537,0.015080436976444714,0.025538094465967026,0.37662337662337664,increasing,True,primary,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
full_2000_2025_sensitivity,Kolyma,26,0.005348243817144763,0.3519451079753182,0.005867866330481165,0.13846153846153847,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_rows_excluded_from_core;contains_high_low_confidence_flux_fraction_years;contains_coverage_lt_0_95_years
full_2000_2025_sensitivity,Lena,26,0.0024514383533435834,0.9232696060820045,-0.012921660813878374,-0.046153846153846156,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_rows_excluded_from_core;contains_coverage_lt_0_95_years
full_2000_2025_sensitivity,Mackenzie,26,-0.012586618855381374,0.15532739040683083,-0.017453304639435265,-0.19384615384615383,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_coverage_lt_0_95_years
full_2000_2025_sensitivity,Ob,26,0.006551505518098972,0.7572649093761881,0.010507168704011435,0.08923076923076924,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_rows_excluded_from_core;contains_high_low_confidence_flux_fraction_years;contains_coverage_lt_0_95_years
full_2000_2025_sensitivity,Yenisey,26,-0.03752290081876217,0.10763796943021217,-0.022325378862362633,-0.14461538461538462,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_high_low_confidence_flux_fraction_years
full_2000_2025_sensitivity,Yukon,26,0.02695446870617547,0.0037234999710080634,0.021499868595131852,0.39692307692307693,increasing,True,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_rows_excluded_from_core;contains_coverage_lt_0_95_years
high_confidence_only_sensitivity,Kolyma,19,0.006707959402859349,0.243122841735305,0.007860807679276771,0.23976608187134502,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
high_confidence_only_sensitivity,Lena,24,-0.004578017752327211,0.8628727927971406,-0.015792607327408066,-0.07971014492753624,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
high_confidence_only_sensitivity,Mackenzie,21,-0.016620768151094457,0.04464279114858562,-0.019505192022186403,-0.3047619047619048,decreasing,True,sensitivity,True,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
high_confidence_only_sensitivity,Ob,20,-0.0216624818825617,0.4610757962852884,-0.018869185508751104,-0.08421052631578947,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
high_confidence_only_sensitivity,Yenisey,7,0.027574771919006688,0.6876602389271544,0.033921335314444634,0.23809523809523814,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
high_confidence_only_sensitivity,Yukon,24,0.01914293489154127,0.011432627675707394,0.02076628557064541,0.37681159420289856,increasing,True,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Kolyma,19,-0.000530137198591105,0.9453088061670409,0.0022025438502259603,0.029239766081871343,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Lena,22,-0.02872175559542411,0.35862572776221757,-0.04176188755071131,-0.2207792207792208,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Mackenzie,22,-0.01052002129724784,0.34573723921203925,-0.022131015932843882,-0.20346320346320346,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Ob,22,0.02649453417049404,0.28958837443273755,0.02161864956532818,0.18614718614718614,flat_or_uncertain,False,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
core_excluding_yenisey_sensitivity,Yukon,22,0.02179237137934537,0.015080436976444714,0.025538094465967026,0.37662337662337664,increasing,True,sensitivity,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
