analysis_cohort,river,n_years,year_min,year_max,annual_flux_mean_TgC,annual_flux_median_TgC,slope_ols_TgC_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_ols_standard_error,slope_theilsen_TgC_per_year,intercept_theilsen,theilsen_ci_lower,theilsen_ci_upper,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,trend_strength,significant_at_0_05,confidence_caveat
core_2003_2024,Kolyma,19,2003,2024,0.7871391591842106,0.8083983597846045,-0.000530137198591105,1.8546680653997725,0.9453088061670409,0.0002850300211226485,0.0076147668978758165,0.0022025438502259603,-3.6275249545704797,-0.009753248332242928,0.016045680341475948,0.029239766081871343,0.8902671597910886,-0.0673498697664258,-1.414347265094942,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Lena,22,2003,2024,6.302448693698276,6.553555045054269,-0.02872175559542411,64.13370358508473,0.35862572776221757,0.042277510503021955,0.030567584701832115,-0.04176188755071131,90.64111562841148,-0.09865315022539682,0.014573892954369208,-0.2207792207792208,0.16029274039086885,-0.455723751057943,-9.570198772216802,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Mackenzie,22,2003,2024,1.5095703075988482,1.4994197709838049,-0.01052002129724784,22.691633189607376,0.34573723921203925,0.04454964184692499,0.010893904819814552,-0.022131015932843882,46.06022035176496,-0.03783056792706165,0.0069336881911694626,-0.20346320346320346,0.19701520944492798,-0.6968884618551613,-14.634657698958387,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Ob,22,2003,2024,4.131361117278849,3.949965746338033,0.02649453417049404,-49.2153834350109,0.28958837443273755,0.0558673875755042,0.024354465804269292,0.02161864956532818,-39.57918515345026,-0.01940127442882291,0.07136249858740194,0.18614718614718614,0.23937855648715442,0.6413027914622205,13.467358620706632,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Yenisey,14,2007,2024,3.940353482236102,3.945792241487998,0.0030672012917820164,-2.2409334639308844,0.9394281441457623,0.0005015117363235918,0.0395277574356763,0.0018908884010900263,0.1347066690910501,-0.07343896662725624,0.08546810404150389,0.03296703296703297,0.9144846237132943,0.0778407649366883,1.3232930039237012,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
core_2003_2024,Yukon,22,2003,2024,1.4043548993664907,1.3742418723100975,0.02179237137934537,-42.474584872945414,0.015080436976444714,0.2611282837235277,0.008196851318335498,0.025538094465967026,-50.046711334914505,0.01199257078949651,0.03833865248333178,0.37662337662337664,0.014016594956789027,1.5517709511446134,32.58718997403688,increasing,moderate,True,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated
full_2000_2025_sensitivity,Kolyma,26,2000,2025,0.7834501311238368,0.7789683595646194,0.005348243817144763,-9.979890550879999,0.3519451079753182,0.036187674181694295,0.005634060149160534,0.005867866330481165,-11.030112630528727,-0.003185408382948902,0.016045680341475948,0.13846153846153847,0.3356053064891282,0.6826527438923089,17.066318597307724,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_rows_excluded_from_core;contains_high_low_confidence_flux_fraction_years;contains_coverage_lt_0_95_years
full_2000_2025_sensitivity,Lena,26,2000,2025,6.350796680950073,6.553555045054269,0.0024514383533435834,1.4172769948461115,0.9232696060820045,0.00039458884022271055,0.025185887297510333,-0.012921660813878374,32.5583974329845,-0.054725591460775824,0.0440441693022397,-0.046153846153846156,0.7600019817687585,0.03860048552171332,0.965012138042833,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_rows_excluded_from_core;contains_coverage_lt_0_95_years
full_2000_2025_sensitivity,Mackenzie,26,2000,2025,1.4786100864149745,1.4994197709838049,-0.012586618855381374,26.80918053286999,0.15532739040683083,0.08230321304011429,0.008579158093842545,-0.017453304639435265,36.62419535784728,-0.034426998926179155,0.002823290058431823,-0.19384615384615383,0.17344510213840622,-0.8512466519079945,-21.281166297699862,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_coverage_lt_0_95_years
full_2000_2025_sensitivity,Ob,26,2000,2025,4.240414373782473,4.010663167729569,0.006551505518098972,-8.944490481391707,0.7572649093761881,0.004055783661238172,0.02095634823535825,0.010507168704011435,-17.135013849093443,-0.02314580674548871,0.05383021247454689,0.08923076923076924,0.5408307375523345,0.1545015401939361,3.862538504848403,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_rows_excluded_from_core;contains_high_low_confidence_flux_fraction_years;contains_coverage_lt_0_95_years
full_2000_2025_sensitivity,Yenisey,26,2000,2025,3.9321085269499414,3.990263004009587,-0.03752290081876217,79.44694642470881,0.10763796943021217,0.10426013676093852,0.022450322833160525,-0.022325378862362633,48.92008796451438,-0.05595501468868358,0.008340504295404616,-0.14461538461538462,0.313954327988493,-0.9542692059892848,-23.85673014973212,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_high_low_confidence_flux_fraction_years
full_2000_2025_sensitivity,Yukon,26,2000,2025,1.3496083137376138,1.3736530970522125,0.02695446870617547,-52.89625995744052,0.0037234999710080634,0.30074082782032113,0.008389731179374617,0.021499868595131852,-41.89483245065064,0.010311612030722183,0.034862023891187796,0.39692307692307693,0.004037772563129267,1.997206777092799,49.930169427319974,increasing,moderate,True,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary;contains_rows_excluded_from_core;contains_coverage_lt_0_95_years
high_confidence_only_sensitivity,Kolyma,19,2000,2025,0.7494395037569993,0.7180849553642874,0.006707959402859349,-12.757213279147743,0.243122841735305,0.07920184451429194,0.005547285744300822,0.007860807679276771,-15.121442518378405,-0.0013652936615221212,0.02287383162001534,0.23976608187134502,0.16374964550644155,0.8950634933482715,22.376587333706787,flat_or_uncertain,not_detected,False,DOC_concentration_uncertainty_only;discharge_uncertainty_not_propagated;sensitivity_not_primary
