model_id,feature_set,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_test,rmse,mae,bias_mean
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2003,2003,2003,,542,5,Kolyma;Lena;Mackenzie;Ob;Yukon,2.965550732120914,2.6900059040590407,0.14997047970479754
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2004,2004,2004,,505,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.4073400883175298,2.7607888731730315,0.3234336633663364
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2005,2005,2005,,505,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.141202399805874,2.436767373880245,0.8134383781235264
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2006,2006,2006,,536,11,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.7502942092483282,3.1759586160108544,1.4876058344640435
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2007,2007,2007,,546,1,Mackenzie,1.0533260073260076,1.0533260073260076,-1.0533260073260076
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2009,2009,2009,,518,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.195781949592478,3.1527884436160303,1.5916013846358665
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2010,2010,2010,,516,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.732699231529131,3.7601790447611902,2.6162230557639417
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2011,2011,2011,,517,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,5.590245790579527,4.050980528691167,3.1091179883945843
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2012,2012,2012,,524,23,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.5822066107097315,2.8183133089943575,-0.5483710587454363
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2013,2013,2013,,514,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.3218657453138674,2.623832331093032,-0.5964761230986912
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2014,2014,2014,,512,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.441516564042417,3.1875823660714286,3.0133928570386104e-05
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2015,2015,2015,,511,36,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.477706988319159,3.09483887801696,-1.3217208088714938
mean_baseline,F0_intercept_only,leave_one_year_out,loyo_2016,2016,2016,,510,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.6937501190928916,2.2937081081081083,-1.4726333863275036
