model_id,feature_set,validation_scheme,month,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
linear_regression,F1_season_only,leave_one_river_out,1,29,6,,2.573764690718035,2.1860950109320694,1.84718062096518,-0.30809753306795584,0.20808168735824767,-1.2012419306049051,-0.7683965467641034,-0.9127915148301692
linear_regression,F1_season_only,leave_one_river_out,2,30,6,,2.3361595587049186,1.9767390226985673,1.6292579988806382,-0.2841859961291462,-0.2605193297971994,-1.0262459665786956,-0.7426792145657849,-0.6845757072701992
linear_regression,F1_season_only,leave_one_river_out,3,39,6,,2.787400580966623,2.5009051449647917,2.545892048972622,-0.8201828042916466,-1.63945481251146,-2.4494104701674986,-0.2890419653547684,-0.4000170391893392
linear_regression,F1_season_only,leave_one_river_out,4,33,6,,3.1478276146683712,2.8015537163238586,3.381912102300232,-3.9253429162934204,-2.510096508671302,-3.381912102300232,-0.4796319548356243,-0.7088751755995089
linear_regression,F1_season_only,leave_one_river_out,5,33,6,,6.035368433721189,5.069301677647038,4.6463589163750205,-0.06313507633105941,1.5671695712736622,0.5152882801072955,0.1504180686132187,0.0943005002314251
linear_regression,F1_season_only,leave_one_river_out,6,113,6,,4.289914569765489,3.255529358245443,2.532989184507496,-0.4084004721879313,1.583938579515904,1.1885493436055725,-0.776283307901689,-0.7702257685891543
linear_regression,F1_season_only,leave_one_river_out,7,47,6,,3.7664470436079864,3.3131461254760515,3.447613103833647,-0.4307723035584543,-1.3958124786391664,-2.494903577086707,-0.5487406381519948,-0.6809554263066684
linear_regression,F1_season_only,leave_one_river_out,8,67,6,,3.515940082341164,3.1171851178221446,3.056325398905755,-0.5376648588901933,-1.502413602431304,-2.4578121238542634,-0.6403633280841301,-0.6575225955160139
linear_regression,F1_season_only,leave_one_river_out,9,50,6,,2.782629600766909,2.305190726978448,2.329462727446596,-0.369009870423181,-0.6544067634731168,-1.0899345278870656,-0.6750211120184306,-0.6254974903017947
linear_regression,F1_season_only,leave_one_river_out,10,37,6,,2.3091501570434367,1.8159184714606915,1.463960056482419,-0.6279548609039314,0.4232978102674999,0.5557277278984136,-0.6436406770875863,-0.6661898525846865
linear_regression,F1_season_only,leave_one_river_out,11,36,6,,3.008296401953606,2.2355287354362083,1.6186049373150873,-0.641346167329577,1.3608618005302102,0.38560149774340946,-0.5242387186554431,-0.62933557123665
linear_regression,F1_season_only,leave_one_river_out,12,33,6,,2.9446616754526183,2.066971603129569,1.0663342230494068,-0.5187246459234938,1.1718379089367097,0.2729480628471217,-0.6922304950193746,-0.7493480270349344
linear_regression,F1_season_only,leave_one_year_out,1,29,10,,2.2963949922358675,1.9246173108668339,1.5277381319028023,-0.04134738750244282,0.22893082017631508,-0.9434830296555945,-0.3221990011615923,-0.3053676978066048
linear_regression,F1_season_only,leave_one_year_out,2,30,9,,2.0693036346332425,1.6916007715136214,1.3950318919775566,-0.0075610438248765455,-0.3166211255371094,-0.9625655952897771,0.055227719703842465,0.1317866962730907
linear_regression,F1_season_only,leave_one_year_out,3,39,14,,2.599680488871307,2.336753723558341,2.2722481908153385,-0.5832743797852427,-1.616669641086113,-2.225275864029331,0.09789325223559145,0.1752807708963475
linear_regression,F1_season_only,leave_one_year_out,4,33,11,,3.0007098761569635,2.6650020700462362,3.0645499891768413,-3.4757168750029894,-2.5454888724198916,-3.0645499891768413,-0.44092319264734936,-0.540319416016731
linear_regression,F1_season_only,leave_one_year_out,5,33,10,,5.970037366931479,5.061608087312288,4.6183926548020455,-0.040243406821778294,1.4614160230514806,-0.3672687725336887,0.37350606064423547,0.3294756038954455
linear_regression,F1_season_only,leave_one_year_out,6,113,19,,4.040299035930411,3.0492221542654434,2.38369089605506,-0.2492688019921263,1.6838216467207296,1.4612871023675806,-0.3657822941411639,-0.38223769125835644
linear_regression,F1_season_only,leave_one_year_out,7,47,17,,3.412973363364146,2.9678210507646754,2.933936744958224,-0.17482340781116235,-1.2936048493003267,-2.3342850074072325,-0.10276725563096914,-0.10173363123237425
linear_regression,F1_season_only,leave_one_year_out,8,67,17,,3.196679238115749,2.8439414128053637,2.8890654451412274,-0.27109168984665266,-1.4670077509103145,-2.146077706637998,-0.07097444103135322,0.0071743662390923975
linear_regression,F1_season_only,leave_one_year_out,9,50,15,,2.4396674899407413,1.9940802473849306,1.8847211474357257,-0.05234236847125073,-0.5375962911522668,-1.0009695552889704,-0.17590836081758449,0.051554494158035626
linear_regression,F1_season_only,leave_one_year_out,10,37,10,,1.962664630894493,1.5416879086924051,1.2145972765725395,-0.17606195696193372,0.3666201903369408,0.4958753953997297,-0.28762006605635565,-0.31452893412464156
linear_regression,F1_season_only,leave_one_year_out,11,36,12,,2.7477843774625685,2.0402691945263696,1.5883830366138816,-0.3693808079617962,1.3810185185096258,0.7299589728029225,-0.01525587411774355,-0.09509891025153014
linear_regression,F1_season_only,leave_one_year_out,12,33,11,,2.6077117492286037,1.78657356803509,1.0591728112004475,-0.19104288779152667,1.09073178871638,0.175259519318681,0.31688964982996043,0.23843547135848495
linear_regression,F1_season_only,river_year_groupkfold,1,29,5,,2.3065418087907172,1.9276892907047372,1.5402054362017652,-0.05057028263048302,0.24634629280017376,-0.8835953543405775,-0.2649162057764548,-0.2576024632114298
linear_regression,F1_season_only,river_year_groupkfold,2,30,5,,2.093003197918548,1.697898345906339,1.4679362912740728,-0.03077223142667629,-0.25949753904245526,-0.6940190661785528,-0.02962468440156239,-0.01651382935612895
linear_regression,F1_season_only,river_year_groupkfold,3,39,5,,2.6050038051891447,2.3400199635384413,2.2671941437331307,-0.5897651001503961,-1.5938086928400723,-2.195597215261467,0.17167316950170905,0.0874763372598904
linear_regression,F1_season_only,river_year_groupkfold,4,33,5,,2.9908880540111245,2.644067654658868,3.003763175273666,-3.4464652957177053,-2.506591207806445,-3.003763175273666,-0.5007526622351266,-0.5470749744136634
linear_regression,F1_season_only,river_year_groupkfold,5,33,5,,5.911805059825238,5.0173135963852395,4.612951290671004,-0.020049113578899158,1.4041174046116849,-0.29124722717926677,0.4309480080298308,0.3936390658993775
linear_regression,F1_season_only,river_year_groupkfold,6,113,5,,4.057134908522596,3.052156573326534,2.239242774735737,-0.2597018671361304,1.6397690199957637,1.4981169813446016,-0.2989260416422791,-0.32321336779026955
linear_regression,F1_season_only,river_year_groupkfold,7,47,5,,3.5004612821648924,3.0340677316472644,3.0866661647272196,-0.23582606330024092,-1.3289539551610323,-2.435078558914676,-0.35954081500153917,-0.40988075888563835
linear_regression,F1_season_only,river_year_groupkfold,8,67,5,,3.2015379994487887,2.8227344545717203,2.881750480016252,-0.27495859310222315,-1.4590709049235668,-2.2058959604531605,-0.16153923096450395,-0.015252099285166288
linear_regression,F1_season_only,river_year_groupkfold,9,50,5,,2.468042375009924,2.022638390908871,1.7829755335148287,-0.07696354314084441,-0.5596420269837479,-0.99045474206679,-0.24845078570243057,-0.036708279257211845
