model_id,feature_set,validation_scheme,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,rows_available_for_feature_set,sample_penalty,snow_complete_case_penalty,ranking_score,primary_rank,ranking_basis,selection_caveat
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,leave_one_year_out,511,21,10220,2.2407770032345224,1.6649203993655768,1.2283399864353841,0.6021746886100945,0.00998950652544637,-0.21956390319593044,0.8030056780632441,0.776022124863354,511,0.0,0.0,2.2407770032345224,1,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_0.1,F6_reduced_hydroclimate_river_fixed,leave_one_year_out,511,21,10220,2.240848918658994,1.666716059962206,1.226847793519532,0.6021491526150415,0.009838270809107364,-0.21781988447802725,0.8028922221719507,0.7760506409825654,511,0.0,0.0,2.240848918658994,2,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
linear_regression,F6_reduced_hydroclimate_river_fixed,leave_one_year_out,511,21,10220,2.2408742273616578,1.6669285833699015,1.223757892342352,0.6021401657122847,0.009820822076151037,-0.21612550236961514,0.8027864109503043,0.776051710785843,511,0.0,0.0,2.2408742273616578,3,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,leave_one_year_out,511,21,10220,2.2503758531432725,1.6606252141161055,1.2435769191125425,0.5987590479769367,0.011051072119171165,-0.239617966798912,0.8052093665106619,0.7744886069555754,511,0.0,0.0,2.2503758531432725,4,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_1,F3_q_season_river_fixed,leave_one_year_out,545,21,10900,2.2578457483025893,1.7161097019291147,1.348592637069455,0.5924368252375442,0.0027765228668463746,-0.19957507623623538,0.7873907589745398,0.7697209791143423,545,0.0,0.0,2.2578457483025893,5,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_0.1,F3_q_season_river_fixed,leave_one_year_out,545,21,10900,2.2578609929695856,1.717488985271793,1.3563586841640474,0.5924313215968645,0.0026687568666440677,-0.17601508600717342,0.7868191525773218,0.76976668301454,545,0.0,0.0,2.2578609929695856,6,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
linear_regression,F3_q_season_river_fixed,leave_one_year_out,545,21,10900,2.2578799097854763,1.7176481820356215,1.3555678219819258,0.5924244921826768,0.002656376471736856,-0.17614628700903312,0.7867804178204908,0.7697696655439191,545,0.0,0.0,2.2578799097854763,7,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_10,F3_q_season_river_fixed,leave_one_year_out,545,21,10900,2.2681901201557233,1.7156729546633707,1.3185169894015294,0.5886937503597196,0.0035882839547116837,-0.26428166870963654,0.7917550355334422,0.7679585521122898,545,0.0,0.0,2.2681901201557233,8,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_10,F4_reduced_hydroclimate,leave_one_year_out,511,21,10220,2.6975072916111755,2.122512416517349,1.8208779110883517,0.42347202103615245,0.024268517646159525,-0.5323496984570508,0.6726872194306547,0.650839658209775,511,0.0,0.0,2.6975072916111755,9,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_1,F4_reduced_hydroclimate,leave_one_year_out,511,21,10220,2.7000042482369917,2.1245843936247777,1.8094540404874158,0.42240419695222187,0.025698792836038847,-0.5437039377424178,0.6724841410299092,0.6500677890720934,511,0.0,0.0,2.7000042482369917,10,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_0.1,F4_reduced_hydroclimate,leave_one_year_out,511,21,10220,2.7004558981173905,2.1250021017011256,1.811067292893946,0.4222109432605192,0.025847679104158746,-0.5420110215446208,0.6723385775260974,0.6499613203998003,511,0.0,0.0,2.7004558981173905,11,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
linear_regression,F4_reduced_hydroclimate,leave_one_year_out,511,21,10220,2.7005086556330333,2.1250551711674546,1.8113958162285497,0.4221883670629346,0.025864287599353983,-0.5418192107302495,0.6722860991174017,0.6499491244852963,511,0.0,0.0,2.7005086556330333,12,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_1,F2_q_season,leave_one_year_out,545,21,10900,2.7970951849699657,2.2137070961098155,1.840787569130761,0.3745092508469414,0.0064643904950356474,-0.5813324513946334,0.5985719039866139,0.6120601493417869,545,0.0,0.0,2.7970951849699657,13,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_10,F2_q_season,leave_one_year_out,545,21,10900,2.797105745430135,2.2121445244859155,1.833205548915375,0.3745045277451694,0.0064956829270372855,-0.5802127035600044,0.5986766546304461,0.6119741905334379,545,0.0,0.0,2.797105745430135,14,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_0.1,F2_q_season,leave_one_year_out,545,21,10900,2.7971603717021405,2.2138996011130483,1.8402238526883874,0.37448009619158273,0.006460708198557086,-0.585078355252934,0.5988475694282913,0.6120595125059406,545,0.0,0.0,2.7971603717021405,15,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
linear_regression,F2_q_season,leave_one_year_out,545,21,10900,2.797168431459016,2.2139210544803047,1.8399255415935878,0.3744764914317986,0.006460292511494212,-0.5854956517866938,0.5987655407040164,0.6120593289478464,545,0.0,0.0,2.797168431459016,16,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_10,F1_season_only,leave_one_year_out,547,21,10940,3.320544726160898,2.589862113591153,2.2900308938132383,0.11746307731171235,0.003376728363389362,-0.6406565050085979,0.3543180779708842,0.34304201034774495,547,0.0,0.0,3.320544726160898,17,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_1,F1_season_only,leave_one_year_out,547,21,10940,3.320567150016439,2.589467848780124,2.2764921734096917,0.11745115761243596,0.0034549068824554618,-0.6065952876741534,0.3547672570455128,0.34333581605204966,547,0.0,0.0,3.320567150016439,18,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_0.1,F1_season_only,leave_one_year_out,547,21,10940,3.3205778920892284,2.5894371355319836,2.273586103057248,0.11744544749195862,0.0034628899272983373,-0.6028286496864705,0.3547604746321268,0.3433652247580919,547,0.0,0.0,3.3205778920892284,19,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
linear_regression,F1_season_only,leave_one_year_out,547,21,10940,3.320579184757699,2.589433833248666,2.273310484605827,0.11744476035212781,0.0034637788257046785,-0.6024093281719161,0.3547604746321268,0.34336849271776476,547,0.0,0.0,3.320579184757699,20,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
mean_baseline,F0_intercept_only,leave_one_year_out,547,21,10940,3.560907792992114,2.776658534403724,2.419117988394585,-0.014929022258417524,-0.0006792638330093133,-0.934776340110905,-0.31240981793306827,-0.3406332581121596,547,0.0,0.0,3.560907792992114,21,leave_one_year_out_rmse_mae_with_sample_penalty,Primary LOYO ranking candidate.
ridge_alpha_10,F5_snow_hydroclimate_complete_case,leave_one_year_out,325,20,6175,2.846354942028379,2.2003801427234695,1.8108174073826087,0.44076500337761537,0.026252201304347498,-0.6484280939018463,0.6877111317738784,0.6639656621006575,325,1.0,1.0,4.846354942028379,22,leave_one_year_out_rmse_mae_with_sample_penalty,Snow complete-case sensitivity; sample loss penalized.
ridge_alpha_1,F5_snow_hydroclimate_complete_case,leave_one_year_out,325,20,6175,2.8490725529701684,2.2073031748065084,1.7607204416650615,0.43969661331551924,0.02495967321294588,-0.657104106737104,0.6865405285434635,0.6634602334320762,325,1.0,1.0,4.849072552970169,23,leave_one_year_out_rmse_mae_with_sample_penalty,Snow complete-case sensitivity; sample loss penalized.
ridge_alpha_0.1,F5_snow_hydroclimate_complete_case,leave_one_year_out,325,20,6175,2.849980803203337,2.2084751330854018,1.771276094311586,0.4393393203459195,0.02465597509017696,-0.6370804714890932,0.6862919698166231,0.6632989167175116,325,1.0,1.0,4.849980803203337,24,leave_one_year_out_rmse_mae_with_sample_penalty,Snow complete-case sensitivity; sample loss penalized.
