model_role,scope,group_type,group_value,feature_set,model_id,target_scale,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags,log_target_status,decision_note
primary_baseline,overall,overall,all,F3_q_season_river_fixed,ridge_alpha_1,raw,511,2.2420822729715915,1.668080954460471,0.0024542284151563,-0.2085340715487369,,,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,overall,overall,all,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,511,2.2407770032345224,1.6649203993655768,0.0099895065254463,-0.2195639031959304,,,,not_log_target,Comparator for log-target bias review.
log_target_sensitivity,overall,overall,all,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,511,2.2159252904772724,1.56283545754769,0.2862968138247705,0.041951907030576,,,,sensitivity_candidate_only,Do not promote in baseline finalization; retain for later residual-bias review.
primary_baseline,river,river,Kolyma,F3_q_season_river_fixed,ridge_alpha_1,raw,85,2.1751836581057957,1.783515712499254,0.0326388598992148,-0.0168303887038816,-3.2167991793199016,3.3324323607984736,,not_log_target,Comparator for log-target bias review.
primary_baseline,river,river,Lena,F3_q_season_river_fixed,ridge_alpha_1,raw,87,3.054859030672904,2.299421595057577,0.0123136397410263,-0.2746155770457887,-3.777002883787896,5.675056346515196,,not_log_target,Comparator for log-target bias review.
primary_baseline,river,river,Mackenzie,F3_q_season_river_fixed,ridge_alpha_1,raw,103,1.0388241096988753,0.8293744381776587,-0.0242249933116729,-0.1077837552393541,-1.5958662625141926,1.7316774456215036,,not_log_target,Comparator for log-target bias review.
primary_baseline,river,river,Ob,F3_q_season_river_fixed,ridge_alpha_1,raw,87,2.606371374711644,2.154676239754266,0.0176877980168339,-0.2168086821112202,-4.091709247395951,4.485346861321179,,not_log_target,Comparator for log-target bias review.
primary_baseline,river,river,Yenisey,F3_q_season_river_fixed,ridge_alpha_1,raw,53,1.8838043742203603,1.3187514359766046,-0.0190739685934327,0.0663707294674802,-4.240990226289429,2.3204745079948337,,not_log_target,Comparator for log-target bias review.
primary_baseline,river,river,Yukon,F3_q_season_river_fixed,ridge_alpha_1,raw,96,2.199555779689565,1.6454648676997383,-0.0065023209340414,-0.6702430951942675,-2.447376345410833,5.321620163267566,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,river,river,Kolyma,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,85,2.1515672305635154,1.7331775684620907,0.0340206912649709,-0.337346430021169,-2.943187250368467,3.3892782780828496,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,river,river,Lena,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,87,3.0787072497403947,2.2775086116842647,0.0175314475260849,-0.2440491279160248,-3.783790950773107,5.63323867199583,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,river,river,Mackenzie,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,103,1.051862801102318,0.8456060547969058,-0.0279073517141889,-0.1608153115391073,-1.8004183406650485,1.7459326824099748,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,river,river,Ob,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,87,2.5658503894790345,2.1219159546941424,0.0195044037767963,-0.3053224530660134,-3.9664985076702086,4.547342591188216,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,river,river,Yenisey,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,53,1.87007774947808,1.3709793968556527,0.0520034012840581,0.3546001985041132,-3.957384667260917,2.2475677454367338,,not_log_target,Comparator for log-target bias review.
hydroclimate_extension,river,river,Yukon,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,96,2.225746485010616,1.676510018793539,-0.0092808648735805,-0.6970282072265626,-2.5971263276916856,5.507463035824527,,not_log_target,Comparator for log-target bias review.
