model_id,feature_set,target_scale,fold_id,fold_year,n_test,rmse,mae,bias,r2,rivers_in_fold,overall_rmse,flags
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2003,2003,5,2.098532293736701,1.7156138480781962,-0.6475994080252298,0.497966508452369,Kolyma;Lena;Mackenzie;Ob;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2004,2004,41,2.146207630375007,1.810978178385926,-0.7686571207814856,0.5950998942184247,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2005,2005,41,1.6365361270076264,1.3010009775816604,-0.061062714813291626,0.7040445719233033,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2006,2006,10,2.0999753677587054,1.7773701219479388,1.1776988278709055,0.6086666360342792,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2007,2007,1,1.7095792870114979,1.7095792870114979,1.7095792870114979,,Mackenzie,2.2420822729715915,n_test_lt_5
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2009,2009,27,2.6264519839767297,2.0123762299210237,-0.26261575624682154,0.5167045704109229,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2010,2010,29,2.7840576435962903,2.1833117749585194,1.3125759329609463,0.507400315440861,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2011,2011,29,3.3136057217742168,2.226051364011405,1.8340338581874487,0.49263160893696123,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2012,2012,21,1.7885212084802464,1.2954133877747147,-0.06571859561683209,0.7500727493535142,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2013,2013,30,2.428862714385535,1.8253681369815171,0.0484642919405949,0.4527459733085849,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2014,2014,31,2.746151943125432,1.7753956436991556,0.5483435938471899,0.6426280926701933,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2015,2015,33,1.9928058435234355,1.6781301932724448,-0.38670528970061435,0.6320490698489072,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2016,2016,34,1.9581506053531041,1.5376481383300495,-0.6148433297115427,0.22962791354635936,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2017,2017,32,2.237196040114794,1.5691053592487298,-0.24528097527546605,0.2779624089443742,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2018,2018,32,2.1467331079312553,1.6774957152068541,-0.38653437739730223,0.3556348526380225,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2019,2019,24,2.2188175999221063,1.719993356637537,-0.06662742496602592,0.6432498882808626,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2020,2020,29,1.7105608593372124,1.2964070820076599,-0.2483457615808686,0.6623537215318844,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
ridge_alpha_1,F3_q_season_river_fixed,raw,loyo_2021,2021,34,2.0261009675957484,1.591637863790343,-0.8069328956058842,0.21752444929699832,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.2420822729715915,
