model_id,feature_set,target_scale,validation_scheme,n_test_total,n_folds,ablation_id,sample_scope,common_subset_n,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,rmse_log_space_mean,mae_log_space_mean
ridge_alpha_1,F2_q_season,log,leave_one_year_out,545,21,,feature_specific_complete_case,545,10900,2.7433161381070246,2.011679486927228,1.518330944326527,0.39833033419884323,0.5100837425289109,-0.1070606631613078,0.6225964975096285,0.6639789539229635,0.36813715171419614,0.3080320795707082
ridge_alpha_1,F2_q_season,log,river_year_groupkfold,545,5,,feature_specific_complete_case,545,2180,2.746663382276298,2.0112702533405153,1.4414425977934346,0.3968611896846711,0.5199388630707784,-0.09239585270356976,0.6239654838962733,0.6626590466342688,0.38673384300515,0.315426160907699
ridge_alpha_1,F2_q_season,raw,leave_one_year_out,545,21,,feature_specific_complete_case,545,10900,2.7970951849699657,2.2137070961098155,1.840787569130761,0.3745092508469414,0.0064643904950356474,-0.5813324513946334,0.5985719039866139,0.6120601493417869,,
ridge_alpha_1,F2_q_season,raw,river_year_groupkfold,545,5,,feature_specific_complete_case,545,2180,2.818126933953489,2.217820978844271,1.867370102440927,0.3650675827498995,0.03251187719959656,-0.545005253502219,0.5973962948501009,0.6050526224521325,,
ridge_alpha_1,F3_q_season_river_fixed,log,leave_one_year_out,545,21,,feature_specific_complete_case,545,10900,2.2575336920083684,1.631888427889924,1.2169547507263454,0.5925494758604946,0.3032517476183607,0.040880916579956406,0.8028445925470511,0.7746012458456987,0.3102087047426937,0.2557749810854314
ridge_alpha_1,F3_q_season_river_fixed,log,river_year_groupkfold,545,5,,feature_specific_complete_case,545,2180,2.2377544127480347,1.620431447063863,1.1919545981451085,0.5996579173494299,0.3159015203847663,0.04043768305386575,0.8061570999910416,0.7797449916440377,0.30589884901574976,0.24752374597860075
ridge_alpha_1,F3_q_season_river_fixed,raw,leave_one_year_out,545,21,,feature_specific_complete_case,545,10900,2.2578457483025893,1.7161097019291147,1.348592637069455,0.5924368252375442,0.0027765228668463746,-0.19957507623623538,0.7873907589745398,0.7697209791143423,,
ridge_alpha_1,F3_q_season_river_fixed,raw,river_year_groupkfold,545,5,,feature_specific_complete_case,545,2180,2.2495269891461085,1.7193703793899577,1.3805183134383983,0.5954345270059191,0.020701666840468775,-0.23109230418897164,0.7911199337884237,0.7716795226678723,,
ridge_alpha_1,F4_reduced_hydroclimate,log,leave_one_year_out,511,21,,feature_specific_complete_case,511,10220,2.614169810768542,1.9179647897296161,1.458349744060781,0.4585445569452087,0.46346526376764424,-0.12284738432161602,0.6922273997667021,0.7000612828413898,0.3361297904649157,0.27976350051058696
ridge_alpha_1,F4_reduced_hydroclimate,log,river_year_groupkfold,511,5,,feature_specific_complete_case,511,2044,2.6429006401795405,1.9292359192266602,1.4169548457166332,0.4465775072489103,0.4925537603639828,-0.09729179085932138,0.6772477595303041,0.6920035934135442,0.3602855598274079,0.2926957054871012
ridge_alpha_1,F4_reduced_hydroclimate,raw,leave_one_year_out,511,21,,feature_specific_complete_case,511,10220,2.7000042482369917,2.1245843936247777,1.8094540404874158,0.42240419695222187,0.025698792836038847,-0.5437039377424178,0.6724841410299092,0.6500677890720934,,
ridge_alpha_1,F4_reduced_hydroclimate,raw,river_year_groupkfold,511,5,,feature_specific_complete_case,511,2044,2.694089678215316,2.117113702896037,1.7895313169821998,0.4249319626499738,0.035665190712357915,-0.5114578341967446,0.6713366311472194,0.6520196840783024,,
