model_id,feature_set,target_scale,doc_quantile,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags
ridge_alpha_1,F3_q_season_river_fixed,raw,Q1,129,1.8946795426400782,1.514375134471739,-0.9097205039001169,-0.993957608358544,-3.6593019176533095,2.1066436712802634,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,Q2,132,1.6721098573378792,1.2581341086331375,-0.5941516550196181,-0.5072217678862265,-3.4595477627491107,1.7082055240053167,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,Q3,123,1.9016352251005872,1.4629802506962708,-0.532616607859843,-0.1488995267469857,-3.5919243394447844,2.2113376465758185,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,Q4,127,3.189323902686713,2.4489346630490627,2.067306432697719,1.861387971578182,-1.424777277964868,6.242910750106882,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Q1,129,1.4043594441673237,1.0841390178122527,-0.9087728001172608,-0.8502169548472311,-2.7559607385094074,0.6083900470684487,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Q2,132,1.2199754450240705,0.8455913766838821,-0.24491803853801547,-0.022753323986875795,-2.570981746240111,1.2091260910623824,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Q3,123,1.963300044321985,1.5648475592214366,0.02577582464019767,0.3972915749631145,-3.643670495950748,2.710749360958585,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Q4,127,3.531844733542837,2.7926037323037787,2.304630848313843,2.3174460150656726,-1.6597283226497443,7.344162007499572,systematic_positive_bias;high_rmse_relative_to_overall
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Q1,129,1.866513609543418,1.4807258209448215,-0.8810002984638843,-0.935065800205142,-3.4701332318687164,1.8925967412573133,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Q2,132,1.681538336532921,1.2687898966983657,-0.6117455537236776,-0.5097828256065222,-3.4757343341405997,1.6461996552892717,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Q3,123,1.89955549987141,1.4807328614018023,-0.49394560007947286,-0.21956390319593044,-3.549925512411473,2.2641554995683055,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Q4,127,3.1985373159226302,2.4421282272230065,2.0492866002964156,1.8267270738468966,-1.405018971609813,6.322947350650391,systematic_positive_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Q1,129,1.8769772916410328,1.5160728527726088,-0.9913587037045316,-1.006909430897859,-3.5858193635126465,1.7911726554826746,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Q2,132,1.6442911811931193,1.2510994252093826,-0.6920752844119189,-0.5816576713697952,-3.363353339186551,1.4992118288143021,systematic_negative_bias
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Q3,123,1.7911723906467558,1.3766747825995411,-0.44731658867388596,-0.15926780027918763,-3.4141477030826604,2.190263840977019,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Q4,127,3.298557239205385,2.508109952899854,2.203986209291672,1.841232057138166,-1.1080151370505054,6.501990594831473,systematic_positive_bias
