model_id,feature_set,target_scale,month,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags
ridge_alpha_1,F3_q_season_river_fixed,raw,1,25,1.432114452559512,1.2269601713381675,-0.6477614592866152,-1.1606487979508633,-2.412065909652428,1.226049362778074,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,2,25,1.829580751969425,1.5911560557707216,-0.5734588201684839,-0.993957608358544,-3.0951629026068415,2.1030372900154064,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,3,33,1.7471172700380355,1.3535434338006238,-0.586858261131221,-0.6728770035344849,-3.6801132499096085,1.7801780901032767,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,4,29,1.852839822703125,1.3835095441413898,-0.2555625087627844,-0.27461557704578876,-3.85799096266084,2.8537493191992453,
ridge_alpha_1,F3_q_season_river_fixed,raw,5,33,4.202200659656029,3.3718906881559074,0.9496088230892356,0.3609228090780281,-4.960720719199738,8.267419873901472,systematic_positive_bias;high_rmse_relative_to_overall
ridge_alpha_1,F3_q_season_river_fixed,raw,6,113,2.436756907091911,1.7741078420156062,0.3239395855703838,0.03913282963837883,-2.837424916004858,4.7507353133194705,
ridge_alpha_1,F3_q_season_river_fixed,raw,7,47,2.1317975115569276,1.6677297112116727,-0.398944398328264,-0.6839325722525276,-3.3382271007216615,2.7090204278656174,
ridge_alpha_1,F3_q_season_river_fixed,raw,8,67,2.146908566832291,1.6460792702087437,-0.4900758213445563,-0.5395729526142805,-3.530133133615189,2.9213894401580207,
ridge_alpha_1,F3_q_season_river_fixed,raw,9,50,1.7734330449723883,1.4074252363773956,-0.08468077337750428,-0.10470720844185166,-3.007976216073195,2.909654329530022,
ridge_alpha_1,F3_q_season_river_fixed,raw,10,35,1.4472428626759917,1.0381150019435885,-0.32043914754281194,-0.044025522867490174,-2.797434769392709,1.3432116246315475,
ridge_alpha_1,F3_q_season_river_fixed,raw,11,28,2.178043530182081,1.801259918884974,1.4455986631552253,1.4781986770062838,-0.7735949039757986,3.5819684359473474,systematic_positive_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,12,26,1.90158085160824,1.5226923443284628,0.6606962216390866,0.6009912523065122,-2.4500760400756985,3.522548269608186,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,1,25,1.27186595911251,1.0524098722775004,-0.42061252778679786,-0.7719203578792451,-1.7886081312700552,1.2213891737077622,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,2,25,1.2342281042870054,1.0208801982909865,-0.2751670752662328,-0.3881941101195183,-1.7599607086497844,1.8191192984611433,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,3,33,1.580760535621249,1.0877757570696822,-0.16653334981542475,-0.255196114722787,-2.7336249142838263,1.8993577871973315,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,4,29,1.331961386443264,1.0362176914341754,0.09764399722709734,0.3466630602849232,-2.4078859758967868,1.935356220510988,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,5,33,4.454092056336423,3.404176489150715,1.365794044599242,-0.029415249028986512,-4.24323951561508,8.869646888308905,systematic_positive_bias;high_rmse_relative_to_overall
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,6,113,2.6341760739757865,1.945677794390561,0.7276778081785722,0.46683862526218434,-3.149795255093207,5.269287574206505,systematic_positive_bias
