model_id,feature_set,target_scale,q_quantile,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flags
ridge_alpha_1,F3_q_season_river_fixed,raw,Q1,128,1.6554274708064804,1.3510578333532268,0.11156415188078338,-0.13416338415077922,-2.140610024497689,3.0772227500953746,
ridge_alpha_1,F3_q_season_river_fixed,raw,Q2,128,2.0088355313064397,1.6442153677414493,-0.5692479841091017,-0.6199257559003817,-3.789988735076194,2.677246294005948,systematic_negative_bias
ridge_alpha_1,F3_q_season_river_fixed,raw,Q3,128,2.0294134635417347,1.3444157839951352,0.3525780964835738,0.01458987257332689,-2.077902649019906,4.012994262109296,
ridge_alpha_1,F3_q_season_river_fixed,raw,Q4,127,3.0407756080983535,2.3378675404551563,0.11580822752340297,-0.20853407154873693,-4.161140180004485,5.755648405285815,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Q1,128,1.3137354068070635,0.9923472675045113,0.11396094125975215,-0.06623532361707363,-1.5430636220159213,2.264732946177435,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Q2,128,1.8205528342985184,1.447551475407335,-0.03818490528283538,-0.05831258145456486,-2.907861689305285,3.182278374835391,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Q3,128,2.3186059457427546,1.463081311933835,0.8532624837693393,0.26529327689921844,-1.3804887546499076,5.010168390963576,systematic_positive_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,log,Q4,127,3.042864921976219,2.354547021941908,0.21559638847981843,-0.028477571744625507,-4.204862589912661,6.04127263211907,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Q1,128,1.6096665414984197,1.2962721051958126,0.11230643222375694,-0.21454118332348582,-2.125615874091857,3.0404675718148053,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Q2,128,2.012670012844516,1.647013118100873,-0.544276728482692,-0.5122612790984824,-3.6878368560448527,2.5609332599419132,systematic_negative_bias
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Q3,128,2.0361475429648,1.383257483335769,0.3328908314594734,0.02664072711110288,-2.1152496399158305,4.0484526780219205,
ridge_alpha_1,F6_reduced_hydroclimate_river_fixed,raw,Q4,127,3.054542149845618,2.3384004537547685,0.14005361676247405,-0.1060014305647119,-4.112802865675563,5.714761518868067,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Q1,128,1.572719476134479,1.27715712759522,0.04049711026163813,-0.20435061719383807,-2.142360749552963,2.8029243809221382,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Q2,128,1.9760497290881087,1.6091477731350992,-0.4873553133603181,-0.48133113206929856,-3.627668114795815,2.712529668542428,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Q3,128,2.084542296602002,1.4256190493881764,0.2400177461703806,-0.11031114588702717,-2.0576425269639125,4.1296762819710855,
ridge_alpha_10,F6_reduced_hydroclimate_river_fixed,raw,Q4,127,3.093286203142146,2.3358521165209654,0.25293445936786424,-0.21615248824254873,-3.902371598052059,5.989091371761656,
