ablation_id,sample_scope,model_id,feature_set,target_scale,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_test,rmse,mae,bias_mean,r2,rmse_log_space,mae_log_space
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2003,2003,2003,,506,5,Kolyma;Lena;Mackenzie;Ob;Yukon,2.962461237249069,2.732925296442688,-0.06462648221343929,-0.0004761265621620048,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2004,2004,2004,,470,41,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.3788341596081652,2.7570578619615977,0.20090601971977223,-0.0035480548118718147,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2005,2005,2005,,470,41,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.0860979431593343,2.404665230928905,0.6888354436948636,-0.05243316658135311,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2006,2006,2006,,501,10,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.753328101550024,3.157544111776447,1.6788602794411176,-0.25011951813265787,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2007,2007,2007,,510,1,Mackenzie,1.2664725490196078,1.2664725490196078,-1.2664725490196078,,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2009,2009,2009,,484,27,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.162300889855713,3.088819482705847,1.746822237526782,-0.21378202226356957,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2010,2010,2010,,482,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.767533307107137,3.866181642581199,2.644718200028616,-0.44452530754251884,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2011,2011,2011,,482,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,5.56296974772203,4.052367076835026,3.0505058663614246,-0.4299970472850343,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2012,2012,2012,,490,21,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.608820203570785,2.8008265306122446,-0.4739476190476188,-0.017550363445504535,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2013,2013,2013,,481,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.324405364190422,2.585586001386001,-0.5212633402633409,-0.025205620607820167,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2014,2014,2014,,480,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.596108999010349,3.29306498655914,0.14822372311827994,-0.001041134217093953,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2015,2015,2015,,478,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.548615787176837,3.156346836566502,-1.341538798022061,-0.166750215377669,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2016,2016,2016,,477,34,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.672105307697498,2.2438103341965716,-1.4706704895794802,-0.43454935709382614,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2017,2017,2017,,479,32,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.7282027134049223,2.3981351774530273,-0.7150203549060543,-0.07375450205971923,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2018,2018,2018,,479,32,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.871254237667068,2.5285043058455114,-1.0450634133611696,-0.15270780025326447,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2019,2019,2019,,487,24,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.721615002931216,2.8519683436002734,-0.22454004106776138,-0.0036534949306314957,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2020,2020,2020,,482,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.969108525373464,2.4453293747317217,-0.38688124195163925,-0.01727190550168034,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2021,2021,2021,,477,34,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.5429192689203886,2.049761376248613,-1.1046082130965598,-0.23257613258797782,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2022,2022,2022,,501,10,Mackenzie;Yukon,3.275458684555478,2.5396249500998005,-1.0686061876247503,-0.11911480950115627,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2023,2023,2023,,499,12,Mackenzie;Yukon,2.6966474804699314,2.369069973279893,-0.8223899465597851,-0.10254215354896767,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_year_out,loyo_2024,2024,2024,,505,6,Mackenzie;Yukon,3.0248241271350014,2.895323432343233,-2.895323432343233,-10.93426361783396,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,river_year_groupkfold,river_year_gkf_1,Kolyma_2003;Kolyma_2009;Kolyma_2013;Kolyma_2014;Lena_2004;Lena_2006;Lena_2009;Lena_2018;Lena_2021;Mackenzie_2007;Mackenzie_2023;Mackenzie_2024;Ob_2004;Ob_2009;Ob_2016;Ob_2019;Yenisey_2021;Yukon_2006;Yukon_2014;Yukon_2016;Yukon_2017;Yukon_2021,,,408,103,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.1546441384604145,2.453680968018275,-0.43124921473443684,-0.01904358206171075,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,river_year_groupkfold,river_year_gkf_2,Kolyma_2004;Kolyma_2010;Kolyma_2011;Kolyma_2018;Lena_2011;Lena_2017;Mackenzie_2009;Mackenzie_2015;Mackenzie_2016;Mackenzie_2018;Ob_2003;Ob_2005;Ob_2011;Ob_2015;Yenisey_2014;Yenisey_2017;Yenisey_2020;Yukon_2004;Yukon_2011;Yukon_2022;Yukon_2024,,,409,102,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.224906021166226,3.297403015484923,0.7351256292247947,-0.031220552356688636,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,river_year_groupkfold,river_year_gkf_3,Kolyma_2012;Kolyma_2020;Kolyma_2021;Lena_2010;Lena_2012;Lena_2020;Mackenzie_2003;Mackenzie_2005;Mackenzie_2011;Mackenzie_2017;Ob_2006;Ob_2012;Ob_2017;Ob_2021;Yenisey_2005;Yenisey_2013;Yenisey_2016;Yukon_2005;Yukon_2009;Yukon_2018;Yukon_2023,,,409,102,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.597178825635896,2.8703735078383437,0.14978699841794932,-0.0017369121631773954,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,river_year_groupkfold,river_year_gkf_4,Kolyma_2005;Kolyma_2016;Kolyma_2017;Lena_2016;Lena_2019;Mackenzie_2004;Mackenzie_2006;Mackenzie_2010;Mackenzie_2012;Mackenzie_2014;Mackenzie_2019;Mackenzie_2020;Mackenzie_2022;Ob_2014;Ob_2020;Yenisey_2006;Yenisey_2012;Yenisey_2015;Yenisey_2018;Yukon_2010;Yukon_2015;Yukon_2020,,,409,102,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.2594914649976374,2.6488507598638478,-1.0490382568675398,-0.11555060771298775,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,river_year_groupkfold,river_year_gkf_5,Kolyma_2006;Kolyma_2015;Kolyma_2019;Lena_2003;Lena_2005;Lena_2013;Lena_2014;Lena_2015;Mackenzie_2013;Mackenzie_2021;Ob_2010;Ob_2013;Ob_2018;Yenisey_2004;Yenisey_2009;Yenisey_2010;Yenisey_2011;Yenisey_2019;Yukon_2003;Yukon_2012;Yukon_2013;Yukon_2019,,,409,102,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.544259091645771,2.691577208878661,0.5985380411333239,-0.029356091362440884,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_river_out,loro_Kolyma,Kolyma,,Kolyma,426,85,Kolyma,3.5266492825706344,3.1215975973487993,-1.8040304059652035,-0.3544181194736853,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_river_out,loro_Lena,Lena,,Lena,424,87,Lena,5.18826314115756,3.3239914335285197,2.843490457601388,-0.42933117773909824,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_river_out,loro_Mackenzie,Mackenzie,,Mackenzie,408,103,Mackenzie,2.854934884766727,2.658849823910146,-2.6341280934703972,-5.72483718747063,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_river_out,loro_Ob,Ob,,Ob,424,87,Ob,4.0531041121087235,3.4031581001951854,3.044798525265669,-1.2953732064644958,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_river_out,loro_Yenisey,Yenisey,,Yenisey,458,53,Yenisey,2.8488178924075473,2.4276361539095324,0.5949803081486369,-0.04560840379159026,,
A0,same_sample_common_subset,linear_regression,F0_intercept_only,raw,leave_one_river_out,loro_Yukon,Yukon,,Yukon,415,96,Yukon,3.583606594121355,3.0569845883534135,-1.3963156626506021,-0.17899384772033144,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2003,2003,2003,,506,5,Kolyma;Lena;Mackenzie;Ob;Yukon,2.962461237249069,2.732925296442688,-0.06462648221343929,-0.0004761265621620048,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2004,2004,2004,,470,41,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.3788341596081652,2.7570578619615977,0.20090601971977223,-0.0035480548118718147,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2005,2005,2005,,470,41,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.0860979431593343,2.404665230928905,0.6888354436948636,-0.05243316658135311,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2006,2006,2006,,501,10,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.753328101550024,3.157544111776447,1.6788602794411176,-0.25011951813265787,,
A0,same_sample_common_subset,ridge_alpha_0.1,F0_intercept_only,raw,leave_one_year_out,loyo_2007,2007,2007,,510,1,Mackenzie,1.2664725490196078,1.2664725490196078,-1.2664725490196078,,,
