candidate_key,model_id,feature_set,target_scale,validation_scheme,doc_behavior_group,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,extreme_high,56,4.413660758800418,3.7087224686488276,3.40034258975294,-1.6661495568006175,3.5877804710305403,3.40034258975294,0.4254330248841336,0.45304418588140954
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,high,81,1.931387472676889,1.673459811468118,1.5269784020604398,-5.253694336409388,0.9593058000727586,1.2668552811789144,0.2332055549218642,0.23821089973191434
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,low,138,1.9039060176505698,1.5835381212105986,1.4269282955555624,-12.810435955336576,-1.001770962300079,-0.988456790715659,0.19513030720121793,0.21070434119054693
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,mid,270,1.8106046286148458,1.3864862796633304,1.0637473090138085,-1.0558543285347444,-0.5145457711448009,-0.2608306549791308,0.5329159719708759,0.5383220872809029
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,extreme_high,56,4.415937700621521,3.7109803293111208,3.4003379797086435,-1.6689011200232895,3.5909055557924083,3.4003379797086435,0.4254330248841336,0.45296404722189415
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,high,81,1.9307361241595102,1.6728328441632407,1.529031636205401,-5.2494770079465125,0.9605253728086648,1.2702664814787514,0.23416645812455741,0.2383362297780381
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,low,138,1.9042611077962168,1.5842724909850108,1.4291134862722656,-12.815587897688465,-1.0031476646192943,-0.9887900501065086,0.19478976166414683,0.21060609233623415
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,mid,270,1.8094226715158142,1.3855093866612977,1.0637912158079201,-1.053171093935787,-0.5148311707855301,-0.2623677316883768,0.5330626316854997,0.5383396171761172
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,extreme_high,56,5.49988273166039,4.914995393140338,4.445040088951866,-3.1399344761653962,4.914995393140338,4.445040088951866,0.3985570919506077,0.42043916429426026
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,high,81,2.068027537528513,1.7259522825667062,1.620928123745049,-6.169856520429822,1.610155810487632,1.620928123745049,0.2487947962926166,0.2568941030861955
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,low,138,2.260452159040338,1.9795022108213352,1.8781342089108786,-18.46735797513109,-1.6862884459567586,-1.835653476276675,0.20773506315388282,0.1886993445986719
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,mid,270,1.5177801155627622,1.2402804394350722,1.0901365198945334,-0.4446505384911743,-0.6294157050420607,-0.7208776880711314,0.4655817833250257,0.47112555476051177
B0_F3_finalized:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_year_out,extreme_high,56,4.614343018211167,3.9170363652998055,3.4276986175807087,-1.9141128082032792,3.8547774482338646,3.4276986175807087,0.41808146562114623,0.44627541659760633
B0_F3_finalized:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_year_out,high,81,1.8950563777504712,1.6358892114791206,1.4942413845253686,-5.020632233164953,1.0707060489422062,1.3728703881910445,0.23700394875839267,0.24801135283493977
