candidate_key,model_id,feature_set,target_scale,validation_scheme,n_test_total,n_train_total,n_folds,stress_test,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
B0_F3_finalized:linear_regression:raw:leave_one_river_out,linear_regression,B0_F3_finalized,raw,leave_one_river_out,545,2725,6,True,3.250827018787782,2.6098132632068007,2.152049306631625,0.15512176753307527,0.009447986412853849,-0.7819554898744796,0.4947776565138937,0.5045392794995667
B0_F3_finalized:linear_regression:raw:leave_one_year_out,linear_regression,B0_F3_finalized,raw,leave_one_year_out,545,10900,21,False,2.2578799097854763,1.7176481820356215,1.3555678219819258,0.5924244921826768,0.002656376471736856,-0.17614628700903312,0.7867804178204908,0.7697696655439191
B0_F3_finalized:linear_regression:raw:leave_recent_years_out,linear_regression,B0_F3_finalized,raw,leave_recent_years_out,65,480,1,False,1.8928610303888562,1.4582804008555414,1.1008752350469742,0.4020000349609828,-0.17441957826441434,-0.1883104380143168,0.6628496503496504,0.6697468398983627
B0_F3_finalized:linear_regression:raw:river_year_groupkfold,linear_regression,B0_F3_finalized,raw,river_year_groupkfold,545,2180,5,False,2.249100425243292,1.720333041970094,1.3901782021082933,0.5955879429604369,0.02040260867174814,-0.19568947809432125,0.7902229925005773,0.7718375148057018
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_river_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_river_out,545,2725,6,True,3.250356415261441,2.609452683852873,2.1513018182553623,0.15536636614992216,0.009807603295071788,-0.7787018381191357,0.49465607756422286,0.5044435769727023
B0_F3_finalized:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_one_year_out,545,10900,21,False,2.2578609929695856,1.717488985271793,1.3563586841640474,0.5924313215968645,0.0026687568666440677,-0.17601508600717342,0.7868191525773218,0.76976668301454
B0_F3_finalized:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,B0_F3_finalized,raw,leave_recent_years_out,65,480,1,False,1.8928204817110807,1.4583386540869747,1.0998362209623984,0.4020256552762437,-0.1750778327586127,-0.19090673819195647,0.6651223776223776,0.6696549428180912
B0_F3_finalized:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,B0_F3_finalized,raw,river_year_groupkfold,545,2180,5,False,2.249121929082042,1.720170908001282,1.388598021030985,0.5955802096879347,0.020433737181389182,-0.2002286358277967,0.790361881623875,0.7718243130948533
B0_F3_finalized:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_river_out,545,2725,6,True,3.142261332381581,2.5054901486801304,2.1553073260404094,0.21061112405379,0.05085129917828972,-0.6128920851995878,0.4775354633118789,0.4718718169928011
B0_F3_finalized:ridge_alpha_100:raw:leave_one_year_out,ridge_alpha_100,B0_F3_finalized,raw,leave_one_year_out,545,10900,21,False,2.4857249876917513,1.8772273406322493,1.5158374985148555,0.5060163715235663,0.005527186719207512,-0.4006098513844041,0.756462371514619,0.7314976690314027
B0_F3_finalized:ridge_alpha_100:raw:leave_recent_years_out,ridge_alpha_100,B0_F3_finalized,raw,leave_recent_years_out,65,480,1,False,2.027005260438839,1.6075250024248968,1.2892707968314756,0.31423794671230776,-0.5384737728372316,-0.9461582409864748,0.5831293706293706,0.6036273227405561
B0_F3_finalized:ridge_alpha_100:raw:river_year_groupkfold,ridge_alpha_100,B0_F3_finalized,raw,river_year_groupkfold,545,2180,5,False,2.5277881293696858,1.9186259073707914,1.576552154547258,0.4891566552377441,0.021142185490364677,-0.4511077395484975,0.7437206381218393,0.7213116947775389
B0_F3_finalized:ridge_alpha_10:raw:leave_one_river_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_river_out,545,2725,6,True,3.2148169840139262,2.580544250954912,2.160900971847757,0.1737358540956333,0.033774663521361256,-0.610648458675028,0.4925923860938184,0.4969479681043361
B0_F3_finalized:ridge_alpha_10:raw:leave_one_year_out,ridge_alpha_10,B0_F3_finalized,raw,leave_one_year_out,545,10900,21,False,2.2681901201557233,1.7156729546633707,1.3185169894015294,0.5886937503597196,0.0035882839547116837,-0.26428166870963654,0.7917550355334422,0.7679585521122898
B0_F3_finalized:ridge_alpha_10:raw:leave_recent_years_out,ridge_alpha_10,B0_F3_finalized,raw,leave_recent_years_out,65,480,1,False,1.8954744469661686,1.473145143188661,1.1673868040108473,0.40034761371267613,-0.23670415140480816,-0.21623593953842413,0.665340909090909,0.6610343425117339
B0_F3_finalized:ridge_alpha_10:raw:river_year_groupkfold,ridge_alpha_10,B0_F3_finalized,raw,river_year_groupkfold,545,2180,5,False,2.2669385053296023,1.7255974607486106,1.3809765265071867,0.5891475526754404,0.022492386534869156,-0.2595825810379031,0.7946665919107894,0.7685457448940289
B0_F3_finalized:ridge_alpha_1:raw:leave_one_river_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_river_out,545,2725,6,True,3.2462514660370356,2.6062289302884762,2.162438070840326,0.15749843312862188,0.012903518056086201,-0.7503225678674346,0.49441025085866874,0.5036049032467299
B0_F3_finalized:ridge_alpha_1:raw:leave_one_year_out,ridge_alpha_1,B0_F3_finalized,raw,leave_one_year_out,545,10900,21,False,2.2578457483025893,1.7161097019291147,1.348592637069455,0.5924368252375442,0.0027765228668463746,-0.19957507623623538,0.7873907589745398,0.7697209791143423
B0_F3_finalized:ridge_alpha_1:raw:leave_recent_years_out,ridge_alpha_1,B0_F3_finalized,raw,leave_recent_years_out,65,480,1,False,1.8925352117933576,1.4592413880919983,1.0902652270561237,0.40220588498029775,-0.18097605675708633,-0.1983080641989048,0.6632867132867133,0.6688322535336455
B0_F3_finalized:ridge_alpha_1:raw:river_year_groupkfold,ridge_alpha_1,B0_F3_finalized,raw,river_year_groupkfold,545,2180,5,False,2.2495269891461085,1.7193703793899577,1.3805183134383983,0.5954345270059191,0.020701666840468775,-0.23109230418897164,0.7911199337884237,0.7716795226678723
R1_nonlinear_Q:linear_regression:raw:leave_one_river_out,linear_regression,R1_nonlinear_Q,raw,leave_one_river_out,545,2725,6,True,2.883804893872365,2.2823714157948127,1.8530602521790538,0.3351278392999386,-0.2723191717429764,-0.8229685370817954,0.5153103024418946,0.6032395022440661
R1_nonlinear_Q:linear_regression:raw:leave_one_year_out,linear_regression,R1_nonlinear_Q,raw,leave_one_year_out,545,10900,21,False,2.1353755279057873,1.5731690395105566,1.1952267791347788,0.6354518301965624,-0.001973563209121718,-0.20107237862472793,0.8047830725259957,0.7972202915112965
R1_nonlinear_Q:linear_regression:raw:leave_recent_years_out,linear_regression,R1_nonlinear_Q,raw,leave_recent_years_out,65,480,1,False,1.8394887962101976,1.4771283612478865,1.1910267370690941,0.4352477209158362,-0.10093965128708848,-0.5179192353942641,0.6881555944055944,0.6815026118293179
R1_nonlinear_Q:linear_regression:raw:river_year_groupkfold,linear_regression,R1_nonlinear_Q,raw,river_year_groupkfold,545,2180,5,False,2.1169972708179237,1.566499639979626,1.2010598322763668,0.6416998450535869,0.005634464182380648,-0.2462001547103947,0.805971321425264,0.801088410921528
R1_nonlinear_Q:ridge_alpha_0.1:raw:leave_one_river_out,ridge_alpha_0.1,R1_nonlinear_Q,raw,leave_one_river_out,545,2725,6,True,2.8808601108132423,2.2703015090595198,1.8383426049829286,0.33648500782916313,-0.23755773378810582,-0.7575471017431239,0.5194293082965372,0.6047445420499631
R1_nonlinear_Q:ridge_alpha_0.1:raw:leave_one_year_out,ridge_alpha_0.1,R1_nonlinear_Q,raw,leave_one_year_out,545,10900,21,False,2.1353618483174235,1.5736087872225328,1.1912646860230502,0.6354565009000177,-0.0018233116855785978,-0.2205734916787172,0.8050757145405237,0.797203933101227
R1_nonlinear_Q:ridge_alpha_0.1:raw:leave_recent_years_out,ridge_alpha_0.1,R1_nonlinear_Q,raw,leave_recent_years_out,65,480,1,False,1.8387928249947982,1.4746168583878385,1.180408315840924,0.43567498850814856,-0.10370859587596251,-0.5091208079899703,0.6872377622377622,0.6817765778330707
R1_nonlinear_Q:ridge_alpha_0.1:raw:river_year_groupkfold,ridge_alpha_0.1,R1_nonlinear_Q,raw,river_year_groupkfold,545,2180,5,False,2.117028044362215,1.567169999706456,1.203755631144766,0.6416894281806126,0.00622774811102338,-0.2388069333614249,0.8062311593634325,0.8010698082240686
R1_nonlinear_Q:ridge_alpha_100:raw:leave_one_river_out,ridge_alpha_100,R1_nonlinear_Q,raw,leave_one_river_out,545,2725,6,True,3.0746380705354763,2.4580219965726786,2.106207061622456,0.2442217309980258,0.037749315646605816,-0.5514886894096493,0.5015434509295728,0.510584677936058
