scope,group_value,n,interval_source,is_production_prediction_interval,q02_5,q05,q10,q25,q50,q75,q90,q95,q97_5,empirical_80pct_interval_lower,empirical_80pct_interval_upper,empirical_90pct_interval_lower,empirical_90pct_interval_upper,empirical_95pct_interval_lower,empirical_95pct_interval_upper
overall,overall,545,leave_one_year_out_cv_residuals,False,-3.8544899404837776,-3.391539187460106,-2.7034239673662808,-1.4770486780232783,-0.19957507623623538,1.2756103864825086,2.748758327726896,3.8169655784744916,5.439233758478699,-2.7034239673662808,2.748758327726896,-3.391539187460106,3.8169655784744916,-3.8544899404837776,5.439233758478699
river,Kolyma,85,leave_one_year_out_cv_residuals,False,-3.5168558749320566,-3.280316265950989,-2.6108627194938547,-1.8533952964211395,0.1445985845650899,1.6041876529433052,2.6387260353474904,3.5109543854758565,3.962333641678616,-2.6108627194938547,2.6387260353474904,-3.280316265950989,3.5109543854758565,-3.5168558749320566,3.962333641678616
river,Lena,87,leave_one_year_out_cv_residuals,False,-4.728177343530302,-4.1091334267503905,-3.5114470933863293,-2.300195213350545,-0.16503388654323814,1.5280562629467922,4.069282992041501,5.7003506033717715,6.551824835245627,-3.5114470933863293,4.069282992041501,-4.1091334267503905,5.7003506033717715,-4.728177343530302,6.551824835245627
river,Mackenzie,103,leave_one_year_out_cv_residuals,False,-1.9668090197090353,-1.6474946352199922,-1.338779538451704,-0.6856348166639079,-0.09203719262963794,0.5767279711766287,1.326015137028506,1.9905695015642002,2.2074483756782026,-1.338779538451704,1.326015137028506,-1.6474946352199922,1.9905695015642002,-1.9668090197090353,2.2074483756782026
river,Ob,87,leave_one_year_out_cv_residuals,False,-4.165095387151748,-3.9230014306281613,-3.33520932318244,-1.6429480166090702,-0.13198439600077627,1.7394115730071569,3.229664828910373,4.3817235102977605,4.7082796827217654,-3.33520932318244,3.229664828910373,-3.9230014306281613,4.3817235102977605,-4.165095387151748,4.7082796827217654
river,Yenisey,87,leave_one_year_out_cv_residuals,False,-3.5855044894409684,-3.0524071858235424,-2.8259790967502063,-1.7000416487056347,0.1256084284486434,1.3939039556281738,2.7660647134496843,3.0002466866690174,3.4735934476693475,-2.8259790967502063,2.7660647134496843,-3.0524071858235424,3.0002466866690174,-3.5855044894409684,3.4735934476693475
river,Yukon,96,leave_one_year_out_cv_residuals,False,-2.8568381332796102,-2.6462657543117194,-2.05032530390967,-1.3186932431684157,-0.7694973858770076,0.9038927796869427,2.284568078077296,5.509302019325801,6.103862181889516,-2.05032530390967,2.284568078077296,-2.6462657543117194,5.509302019325801,-2.8568381332796102,6.103862181889516
season_window,early_season,146,leave_one_year_out_cv_residuals,False,-4.225481780027977,-3.6823135183413687,-2.6949484773140977,-1.3336733995522434,0.27416064722426814,2.0772166544222457,4.567762883164979,6.12128770713528,7.264289121515786,-2.6949484773140977,4.567762883164979,-3.6823135183413687,6.12128770713528,-4.225481780027977,7.264289121515786
season_window,spring_freshet_provisional,193,leave_one_year_out_cv_residuals,False,-4.299032682876129,-3.6792883921681865,-2.737263253479965,-1.4770486780232783,0.10486196826582717,1.757220260157128,4.075281343857199,5.943593765477335,6.51090876813962,-2.737263253479965,4.075281343857199,-3.6792883921681865,5.943593765477335,-4.299032682876129,6.51090876813962
season_window,summer,114,leave_one_year_out_cv_residuals,False,-4.244310489441289,-3.7589347149617565,-2.9841015802313224,-1.956058174854456,-0.7196640737548479,0.623069687840806,1.9091561674686852,2.7797575458872745,4.567703144727307,-2.9841015802313224,1.9091561674686852,-3.7589347149617565,2.7797575458872745,-4.244310489441289,4.567703144727307
season_window,late_season,87,leave_one_year_out_cv_residuals,False,-3.391833922909776,-3.131531397994198,-2.4149635755416656,-1.187668984299265,-0.14335075948808118,0.7846888574350057,1.6603110113117336,2.6163192816736887,3.4301051959550777,-2.4149635755416656,1.6603110113117336,-3.131531397994198,2.6163192816736887,-3.391833922909776,3.4301051959550777
