model_role,feature_set,model_id,target_scale,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_fold,rmse,mae,bias_mean,bias_median,r2,overall_rmse,small_fold_n,high_rmse,high_bias,unstable_fold
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2003,2003,2003,,540,5,Kolyma;Lena;Mackenzie;Ob;Yukon,1.6669429839185521,1.6669429839185521,-1.6669429839185521,-1.6669429839185521,,2.2578457483025893,False,False,True,True
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2004,2004,2004,,503,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.8194256212081203,1.3860109288474527,-1.267801248402169,-1.0116300449901612,0.40788066742965934,2.2578457483025893,False,False,True,True
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2005,2005,2005,,503,42,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,5.777550013636427,5.1509649564028,-4.469077298816717,-4.34753347631409,-14.793975703393626,2.2578457483025893,False,True,True,True
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2006,2006,2006,,534,11,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2007,2007,2007,,544,1,Mackenzie,,,,,,2.2578457483025893,True,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2009,2009,2009,,517,28,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,2.9998344921704434,2.634113003368397,-0.9659534875904386,-1.68421814057242,-0.2160820243804733,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2010,2010,2010,,515,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,6.702638448160644,5.489707729718161,5.401340938180949,5.413683889613983,-0.575119523760669,2.2578457483025893,False,True,True,True
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2011,2011,2011,,515,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,5.399190751217666,3.833717347525339,2.5655848104824486,1.5460835094411225,-1.0095448056054153,2.2578457483025893,False,True,True,True
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2012,2012,2012,,522,23,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2013,2013,2013,,512,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2014,2014,2014,,510,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2015,2015,2015,,509,36,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2016,2016,2016,,508,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2017,2017,2017,,510,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2018,2018,2018,,510,35,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2019,2019,2019,,519,26,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2020,2020,2020,,514,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2021,2021,2021,,508,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2022,2022,2022,,535,10,Mackenzie;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2023,2023,2023,,533,12,Mackenzie;Yukon,,,,,,2.2578457483025893,False,False,False,False
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2024,2024,2024,,539,6,Mackenzie;Yukon,,,,,,2.2578457483025893,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2003,2003,2003,,506,5,Kolyma;Lena;Mackenzie;Ob;Yukon,1.2454166915221445,1.2454166915221445,-1.2454166915221445,-1.2454166915221445,,2.2407770032345224,False,False,True,True
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2004,2004,2004,,470,41,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,1.6536098913188149,1.1804139062708727,-1.1061791366058542,-0.8959052825930005,0.5108897643253862,2.2407770032345224,False,False,True,True
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2005,2005,2005,,470,41,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,5.608667327534222,4.894070697784826,-4.243851795967962,-4.125605954407834,-13.8841281417202,2.2407770032345224,False,True,True,True
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2006,2006,2006,,501,10,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2007,2007,2007,,510,1,Mackenzie,,,,,,2.2407770032345224,True,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2009,2009,2009,,484,27,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,3.7818585728132414,3.4699429394458927,-2.2397081651021344,-3.1792168541133012,-0.9327640898325689,2.2407770032345224,False,True,True,True
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2010,2010,2010,,482,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,6.7619130132782885,6.379551962240228,4.111705232152415,5.38763764348281,-0.6031017455599352,2.2407770032345224,False,True,True,True
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2011,2011,2011,,482,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,4.231932411254437,3.7191786282229913,2.7723540218859846,2.9397516259033623,-0.2597179009751298,2.2407770032345224,False,True,True,True
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2012,2012,2012,,490,21,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2013,2013,2013,,481,30,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2014,2014,2014,,480,31,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2015,2015,2015,,478,33,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2016,2016,2016,,477,34,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2017,2017,2017,,479,32,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2018,2018,2018,,479,32,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2019,2019,2019,,487,24,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2020,2020,2020,,482,29,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2021,2021,2021,,477,34,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2022,2022,2022,,501,10,Mackenzie;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2023,2023,2023,,499,12,Mackenzie;Yukon,,,,,,2.2407770032345224,False,False,False,False
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,loyo_2024,2024,2024,,505,6,Mackenzie;Yukon,,,,,,2.2407770032345224,False,False,False,False
