month,n,rmse,mae,bias_mean,bias_median,p05_residual,p95_residual,flag_abs_bias_gt_1,flag_rmse_gt_1_25x_overall,flag_n_lt_20
1,29,1.4267719290971121,1.2511813461263128,-0.4721269768714623,-0.7628350431700328,-2.178996764119097,1.5659991277952232,False,False,False
2,30,1.8782636307836467,1.6215593705454456,-0.5477233590489263,-0.8529724774914111,-2.988250420716597,2.32297590794955,False,False,False
3,39,1.8819427112075133,1.469126143846116,-0.6707124397132497,-0.5931242983985432,-3.4540641758500388,1.9938024924325786,False,False,False
4,33,1.8622840397770783,1.445570179818686,-0.43133746900222397,-0.4214286447380129,-3.60130146935185,2.6294601015121253,False,False,False
5,33,4.0942950769285575,3.2333963925553673,1.1214179897044132,0.3003570861628795,-4.227537514100664,8.404106799137868,True,True,False
6,113,2.569632960586844,1.9491949878525994,0.482615428573189,0.2318872677928283,-2.8869350290236286,4.791601976980209,False,False,False
7,47,2.2448752498181284,1.7747340898403081,-0.5216414049047966,-0.7500523594557604,-3.5833479318222197,2.6937410263048567,False,False,False
8,67,2.205876782216249,1.7314864094365552,-0.6365503127205087,-0.7096003543869003,-3.798085213389271,2.601370144517986,False,False,False
9,50,1.7618876987450622,1.4043674084689377,-0.13008150742992197,-0.14826465434432823,-3.06730236034369,2.779365368141502,False,False,False
10,37,1.5264192273297261,1.1748632651873911,-0.24171549778681184,-0.09316090240925767,-2.7827298105858658,1.8196321478698372,False,False,False
11,34,2.082644813439147,1.685360491750697,1.2462126471746156,1.3065664696780885,-1.0812862822825988,3.605578990636603,True,False,False
12,33,1.8241035936118726,1.4537950806668885,0.6281366172277671,0.5728364177238894,-1.9796024303060318,3.495610187346792,False,False,False
