model_role,feature_set,model_id,target_scale,validation_scheme,group_type,group_value,n,rmse,mae,bias_mean,bias_median,residual_std,p05_residual,p25_residual,p50_residual,p75_residual,p95_residual,river,year,month,doc_quantile,q_quantile,season_window
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,overall,overall,511,2.2407770032345224,1.6649203993655768,0.00998950652544637,-0.21956390319593044,2.2429504787920407,-3.3589541813755845,-1.3180487928916438,-0.21956390319593044,1.124444431765507,3.9117385402356155,,,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,overall,overall,511,2.2159252904772724,1.56283545754769,0.2862968138247705,0.04195190703057605,2.1995059440730027,-3.047650853865642,-0.96233679984922,0.04195190703057605,1.2269476815925733,4.1260872955185866,,,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,overall,overall,545,2.2578457483025893,1.7161097019291147,0.0027765228668463746,-0.19957507623623538,2.2599183126165587,-3.391539187460106,-1.4770486780232783,-0.19957507623623538,1.2756103864825086,3.8169655784744916,,,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Kolyma,85,2.1515672305635154,1.7331775684620907,0.034020691264970926,-0.33734643002116904,2.1640657060183965,-2.943187250368467,-1.646195022486527,-0.33734643002116904,1.3957273533492662,3.3892782780828496,Kolyma,,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Lena,87,3.0787072497403947,2.2775086116842647,0.017531447526084976,-0.24404912791602484,3.096504772041652,-3.783790950773107,-2.014662142157526,-0.24404912791602484,1.1311765861456258,5.63323867199583,Lena,,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Mackenzie,103,1.0518628011023181,0.8456060547969058,-0.027907351714188965,-0.16081531153910733,1.056634329324422,-1.8004183406650485,-0.6631705196183266,-0.16081531153910733,0.7181909547245011,1.7459326824099748,Mackenzie,,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Ob,87,2.5658503894790345,2.1219159546941424,0.019504403776796325,-0.30532245306601347,2.580650446558637,-3.9664985076702086,-1.7426143766785565,-0.30532245306601347,1.802275223733016,4.547342591188216,Ob,,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Yenisey,53,1.87007774947808,1.3709793968556527,0.05200340128405813,0.3546001985041132,1.887243518353188,-3.957384667260917,-0.8525722645168816,0.3546001985041132,1.1419232525746432,2.2475677454367338,Yenisey,,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Yukon,96,2.2257464850106157,1.676510018793539,-0.009280864873580597,-0.6970282072265626,2.2374108226488603,-2.5971263276916856,-1.4619287413191129,-0.6970282072265626,0.9215741028255402,5.507463035824527,Yukon,,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,river,Kolyma,85,1.9076682051049687,1.3125138850546343,0.21445545547187392,-0.006766884302187748,1.9068254010979402,-2.151065200981291,-0.9541268178076052,-0.006766884302187748,0.9640064693623307,3.2874044616678613,Kolyma,,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,river,Lena,87,2.9950265132538494,2.2953965554351776,0.23706706770374375,0.18722701066667113,3.0029375594338545,-3.959817965514377,-1.8889239400160358,0.18722701066667113,1.9763812513294137,5.548793498512616,Lena,,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,river,Mackenzie,103,0.8852339475014976,0.7130820110786689,0.050655458040223256,0.08687106841718784,0.8881051437990698,-1.26828893466739,-0.6634181071137735,0.08687106841718784,0.6797658269298732,1.5318841711644327,Mackenzie,,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,river,Ob,87,2.4785329469577766,2.009911634755309,0.26403174611304886,0.056973019927386126,2.478716176842672,-3.452164602529345,-1.550614767018991,0.056973019927386126,2.0122728826027,4.362691880502743,Ob,,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,river,Yenisey,53,1.8300910610036552,1.3995582412301801,0.3533474244192354,0.47357321860827994,1.8128392580570858,-3.068319060223545,-0.5206618826602067,0.47357321860827994,1.2848632763995207,2.862399126403787,Yenisey,,,,,
log_target_sensitivity,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,log,leave_one_year_out,river,Yukon,96,2.555146113436398,1.7172853344203223,0.6305045382804687,-0.1666241893025271,2.4891313768563377,-1.7681044959168175,-1.0054038106152434,-0.1666241893025271,1.7470350674820554,6.953546671497985,Yukon,,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Kolyma,85,2.267645856108342,1.8986780356632025,0.03619142905181599,0.1445985845650899,2.280813274650452,-3.280316265950989,-1.8533952964211395,0.1445985845650899,1.6041876529433052,3.5109543854758565,Kolyma,,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Lena,87,3.1287941689984615,2.368098480969091,0.019230370561828667,-0.16503388654323814,3.146872817609818,-4.1091334267503905,-2.300195213350545,-0.16503388654323814,1.5280562629467922,5.7003506033717715,Lena,,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Mackenzie,103,1.0758988800867748,0.8334737310418789,-0.019831073428639632,-0.09203719262963794,1.0809763572171023,-1.6474946352199922,-0.6856348166639079,-0.09203719262963794,0.5767279711766287,1.9905695015642002,Mackenzie,,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Ob,87,2.488975290829234,2.038204999742703,0.022576660918626944,-0.13198439600077627,2.503301265604432,-3.9230014306281613,-1.6429480166090702,-0.13198439600077627,1.7394115730071569,4.3817235102977605,Ob,,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Yenisey,87,2.04336554333327,1.7024971348384597,-0.032668821276481685,0.1256084284486434,2.054948558702141,-3.0524071858235424,-1.7000416487056347,0.1256084284486434,1.3939039556281738,3.0002466866690174,Yenisey,,,,,
primary_baseline,F3_q_season_river_fixed,ridge_alpha_1,raw,leave_one_year_out,river,Yukon,96,2.2082406554472547,1.6310281944771845,-0.0032863565788432045,-0.7694973858770076,2.219830091302944,-2.6462657543117194,-1.3186932431684157,-0.7694973858770076,0.9038927796869427,5.509302019325801,Yukon,,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2003,5,2.03397910919628,1.6080601178462768,-0.7258056037129649,-0.7337844938363149,2.1243461471314387,-3.333453833136145,-1.2454166915221445,-0.7337844938363149,0.2969518093615928,1.586337942649668,,2003.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2004,41,2.1712028414111013,1.864114952573746,-0.751252041767382,-1.1278086338162163,2.0623980464496374,-2.955007742312333,-2.7273282627506177,-1.1278086338162163,0.9183577963246821,2.0177262578897217,,2004.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2005,41,1.6628328285937617,1.3248624719520603,-0.028798365019166994,-0.20222905734252183,1.6832374347583547,-2.072990442447935,-1.4258625992940424,-0.20222905734252183,0.9438960435480519,2.9291464179057645,,2005.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2006,10,2.0100644119426523,1.6765305940143223,1.1421668682853687,1.4005970332550444,1.7435002422169652,-1.3039517878026199,-0.06641247648090975,1.4005970332550444,2.571013755795917,3.0967396195880137,,2006.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2007,1,1.671161779248449,1.671161779248449,1.671161779248449,1.671161779248449,,1.671161779248449,1.671161779248449,1.671161779248449,1.671161779248449,1.671161779248449,,2007.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2009,27,2.6681942989695746,2.0955683333521984,-0.3151241933594142,-0.8469366905113667,2.699991838413303,-3.480741081278417,-2.4753148671748644,-0.8469366905113667,0.8561311051087661,5.503398798486817,,2009.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2010,29,2.8085165722117473,2.208618326580751,1.360833615261949,1.4287966941658485,2.5002929759106833,-1.6951750615998045,-0.7775644105032526,1.4287966941658485,2.8260538798760386,5.196926933983389,,2010.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2011,29,3.3450091787636476,2.25749481531599,1.837457260126186,0.9484541857053568,2.8446207346590158,-0.8877418434393142,-0.16017413127064017,0.9484541857053568,3.0338998272374305,7.558653453722919,,2011.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2012,21,1.7956085126939736,1.3077747449697132,-0.051359642235036716,-0.4027667210662429,1.8391983916665926,-2.0428273087882225,-0.9464179625211568,-0.4027667210662429,0.7631661334328346,1.984316312071134,,2012.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2013,30,2.3717380466799973,1.7651248340044121,0.026156855381821116,-0.26359446313163515,2.412136807963082,-2.9067272204827423,-1.2556011742189885,-0.26359446313163515,1.4506447963115552,3.604067859299473,,2013.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2014,31,2.7500680270834823,1.7349244667341113,0.5697118992308817,-0.1258362615719566,2.7348819454674143,-2.4935281874716533,-0.6028532329998852,-0.1258362615719566,1.1021202546805347,5.155666536248797,,2014.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2015,33,2.006096348291483,1.6168966303110008,-0.34611175274321754,-0.7796388560390421,2.0066511595579426,-3.2711872825941017,-1.5639634368300692,-0.7796388560390421,0.6468924652641457,3.3511987597468345,,2015.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2016,34,1.9450501581365736,1.5156712779363937,-0.5884737430728495,-0.6274734957771395,1.881772522134158,-3.633591763200787,-1.4187788947835176,-0.6274734957771395,0.5979415389399929,2.4140279197172885,,2016.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2017,32,2.2419592013874143,1.584304152447386,-0.23917837947588716,0.28062140707350114,2.2648334869453737,-5.0518605754636345,-0.8781225425130559,0.28062140707350114,0.8595445768676799,2.6488384594304866,,2017.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2018,32,2.1141968653538683,1.6069982266168061,-0.3895155272840787,0.08287522929165525,2.111255499148707,-4.423809353649828,-1.4953388332006146,0.08287522929165525,0.8153381362925698,2.624418624740232,,2018.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2019,24,2.198173577095899,1.7144905331132037,-0.03407430957434362,-0.49182769363732337,2.245181743348173,-2.6680266263200005,-1.4322898878933634,-0.49182769363732337,1.0268441599911269,3.7903794992764537,,2019.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2020,29,1.6736814658040617,1.2870757837001354,-0.22981588238112383,-0.3412475627909677,1.687172560467672,-2.547267243007132,-1.1844370774843664,-0.3412475627909677,0.4530775188654719,2.5343487936576294,,2020.0,,,,
hydroclimate_extension,F6_reduced_hydroclimate_river_fixed,ridge_alpha_1,raw,leave_one_year_out,year,2021,34,1.9862547730617162,1.5706259280648163,-0.8274013759745602,-0.6140875287846321,1.8328724727295316,-4.218017587737424,-2.1997215348435564,-0.6140875287846321,0.42821647397431584,1.956034598373225,,2021.0,,,,
