river,year,n_days_expected,date_min,date_max,n_days_with_flux,annual_flux_kgC,annual_flux_MgC,annual_flux_TgC,annual_flux_80_lower_TgC,annual_flux_80_upper_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,annual_flux_95_lower_TgC,annual_flux_95_upper_TgC,n_outside_training_logQ_days,n_outside_training_doy_days,n_outside_training_year_days,n_point_prediction_clipped_days,n_interval_lower_clipped_days,n_high_confidence_days,n_low_confidence_days,n_medium_confidence_days,flux_from_high_confidence_days_TgC,flux_from_low_confidence_days_TgC,flux_from_medium_confidence_days_TgC,coverage_rate,fraction_flux_from_low_confidence_days,annual_confidence_tier,notes
Kolyma,2000,366,2000-01-01,2000-12-31,366.0,594859762.4241829,594859.7624241828,0.5948597624241829,0.4095630160497076,0.7845736408492694,0.393465951880514,0.8815092643578185,0.38666244476307543,0.9249605515537365,66.0,31.0,366.0,13.0,101.0,0.0,97.0,269.0,0.0,0.003771812368122533,0.5910879500560603,1.0,0.0063406749058829886,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2001,365,2001-01-01,2001-12-31,365.0,696699023.5713663,696699.0235713662,0.6966990235713663,0.4998817747939594,0.896849564110531,0.48267215122988133,0.999117872595924,0.4754234255091078,1.0449595299990728,2.0,30.0,365.0,0.0,36.0,0.0,32.0,333.0,0.0,0.05663699850185808,0.6400620250695082,1.0,0.08129335134062589,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2002,365,2002-01-01,2002-12-31,365.0,895630328.7720871,895630.3287720871,0.895630328772087,0.6558100269589106,1.1396559148718057,0.6348522001144443,1.2643424825440601,0.626012579391866,1.3202331001034815,10.0,30.0,365.0,0.0,50.0,0.0,40.0,325.0,0.0,0.2590059828623994,0.6366243459096877,1.0,0.28918849054330004,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2003,365,2003-01-01,2003-12-31,365.0,597721730.0829397,597721.7300829397,0.5977217300829397,0.41938569896585876,0.7794204793267577,0.4040486504846414,0.8722607169250208,0.397564418946027,0.9138762518667609,0.0,30.0,0.0,0.0,67.0,268.0,30.0,67.0,0.5893192317172864,0.003014259823292111,0.0053882385423611855,1.0,0.005042914907701036,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2004,366,2004-01-01,2004-12-31,366.0,870411686.0165823,870411.6860165823,0.8704116860165823,0.6202671235552399,1.124749090265867,0.5982809446311348,1.2547045530244112,0.5889663871194407,1.312956947042405,1.0,31.0,0.0,0.0,26.0,308.0,32.0,26.0,0.8370349059834251,0.03206513575081923,0.0013116442823379326,1.0,0.03683904555275968,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2005,365,2005-01-01,2005-12-31,365.0,519839588.533181,519839.588533181,0.519839588533181,0.33992821162709036,0.7027370964905764,0.3240604111574656,0.7961898481774322,0.31732914290548625,0.83807994188933,0.0,30.0,0.0,0.0,0.0,335.0,30.0,0.0,0.5136248229246256,0.006214765608555346,0.0,1.0,0.011955160294912132,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2006,365,2006-01-01,2006-12-31,365.0,862550302.2947358,862550.3022947358,0.8625503022947358,0.6079949029517824,1.1213307584146825,0.5855436585963572,1.2535564293780184,0.5760196323372422,1.312826441740338,0.0,30.0,0.0,0.0,0.0,335.0,30.0,0.0,0.8557442680860298,0.0068060342087060376,0.0,1.0,0.007890593963736618,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2007,365,2007-01-01,2007-12-31,365.0,1148199752.5946229,1148199.7525946228,1.1481997525946228,0.846363632364469,1.4550456850252307,0.81974232907225,1.611830744864532,0.8084493251035996,1.6821094764239966,8.0,30.0,0.0,0.0,0.0,327.0,38.0,0.0,0.9076496292774211,0.24055012331720166,0.0,1.0,0.2095019814920035,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2008,366,2008-01-01,2008-12-31,366.0,846859719.3710968,846859.7193710968,0.8468597193710968,0.6094558168331173,1.0882040017630954,0.5885172979858672,1.2115205386875663,0.5796349839291857,1.2667970414630254,4.0,31.0,0.0,0.0,0.0,331.0,35.0,0.0,0.713635822314059,0.1332238970570378,0.0,1.0,0.1573151892924767,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2009,365,2009-01-01,2009-12-31,252.0,532606961.11195904,532606.9611119591,0.532606961111959,0.3579360886378356,0.710354334715397,0.34257897676723714,0.8011755894928119,0.3360643473594287,0.8418861175937534,0.0,9.0,0.0,0.0,18.0,225.0,9.0,18.0,0.5289368174455552,0.0031203881819480686,0.0005497554844557961,0.6904109589041096,0.005858707095065799,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2010,365,2010-01-01,2010-12-31,282.0,564095706.8062238,564095.7068062237,0.5640957068062238,0.3893702994001641,0.7417211696366798,0.3740323879505959,0.8324801332581205,0.367570654560536,0.8731627394165395,0.0,30.0,0.0,0.0,9.0,243.0,30.0,9.0,0.5552817711169064,0.00634771784417603,0.0024662178451413793,0.7726027397260274,0.01125290933362231,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2011,365,2011-01-01,2011-12-31,365.0,925437339.7715197,925437.3397715196,0.9254373397715197,0.6699656245989613,1.1854314038871665,0.6475039750064396,1.3182771762829053,0.6379786315619471,1.3778251484339454,1.0,30.0,0.0,0.0,36.0,298.0,31.0,36.0,0.8966452208446999,0.027887423741991654,0.0009046951848280931,1.0,0.030134318709116224,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2012,366,2012-01-01,2012-12-31,366.0,589818689.9476297,589818.6899476297,0.5898186899476296,0.4112284136316811,0.7722468872601622,0.39561778701552697,0.8654598414142458,0.38902345214178247,0.9072424461444027,10.0,31.0,0.0,5.0,71.0,262.0,41.0,63.0,0.5843602025645327,0.0029245088806034484,0.002533978502493475,1.0,0.0049583184297925815,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2013,365,2013-01-01,2013-12-31,365.0,848561619.2498134,848561.6192498135,0.8485616192498134,0.6015991936247599,1.0997689414872278,0.5799394510755221,1.2281250671072752,0.5707815196175646,1.2856605600025173,23.0,30.0,0.0,0.0,52.0,265.0,53.0,47.0,0.843297715153341,0.0024853074237033185,0.002778596672769211,1.0,0.002928847319185259,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2014,365,2014-01-01,2014-12-31,365.0,1007457271.0430716,1007457.2710430716,1.0074572710430716,0.7421359978559342,1.2777655365264027,0.7188728822636626,1.4158814217302778,0.7090686298982445,1.4777917161823757,23.0,30.0,0.0,0.0,69.0,243.0,53.0,69.0,0.7900319024752636,0.21334185667415587,0.0040835118936522925,1.0,0.21176268493578118,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2015,365,2015-01-01,2015-12-31,365.0,515700281.40280735,515700.28140280733,0.5157002814028073,0.3541633748880718,0.6802884411785508,0.34013791340336175,0.7643859042763095,0.33422535765042444,0.8020825001122722,0.0,30.0,0.0,0.0,68.0,267.0,30.0,68.0,0.5088562596276076,0.0029927892132436446,0.0038512325619561045,1.0,0.005803349971232637,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
Kolyma,2016,366,2016-01-01,2016-12-31,366.0,549616541.7640911,549616.5417640912,0.5496165417640911,0.3714238058397659,0.7313072247312007,0.3559121021113015,0.8241433408093692,0.34936663423869085,0.8657570282842356,9.0,31.0,0.0,0.0,75.0,251.0,40.0,75.0,0.5422687150234969,0.003843439164711972,0.0035043875758822406,1.0,0.006992946668555092,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only
