scope,group_value,daily_confidence_tier,n_days,fraction_days,flux_TgC,fraction_flux
overall,overall,high,34556,0.6683558014041738,326.1006943648903,0.6916097391697276
overall,overall,medium,13484,0.2607972458077868,110.23742064212799,0.2337967230812932
overall,overall,low,3663,0.07084695278803937,35.171575929913544,0.07459353774897921
river,Kolyma,high,5480,0.5891839587141168,13.457961898025717,0.6606852160613373
river,Kolyma,medium,2844,0.3057735727341146,5.285440343088418,0.25947556706673086
river,Kolyma,low,977,0.10504246855176863,1.6263011681056216,0.07983921687193164
river,Lena,high,6162,0.6589669554058389,118.81751559266758,0.7195797118776879
river,Lena,medium,2549,0.2725911667201369,43.85642264799421,0.265602186812407
river,Lena,low,640,0.06844187787402417,2.4467754640401544,0.01481810130990538
river,Mackenzie,high,7431,0.7872656001695095,31.081098944106998,0.8084801351274936
river,Mackenzie,medium,1329,0.14079881343362644,5.080155342526069,0.1321447702084184
river,Mackenzie,low,679,0.07193558639686408,2.2826079601562745,0.05937509466408796
river,Ob,high,6450,0.6850042480883602,75.28073854201854,0.6828136982905618
river,Ob,medium,2246,0.2385301614273577,28.500494166154233,0.25850606943552107
river,Ob,low,720,0.07646559048428207,6.469541010171524,0.05868023227391715
river,Yenisey,high,3331,0.6355657317305857,57.51316261358943,0.5625594260042269
river,Yenisey,medium,1722,0.32856325128792213,22.62629392126374,0.22131690107998842
river,Yenisey,low,188,0.03587101698149208,22.095365165845315,0.21612367291578458
river,Yukon,high,5702,0.6367392518146286,29.950216774481998,0.8535301707004067
river,Yukon,medium,2794,0.3120044667783361,4.888614221101311,0.13931717963991946
river,Yukon,low,459,0.05125628140703518,0.2509851615946531,0.0071526496596737415
annual,Kolyma_2000,high,366,1.0,0.5948597624241829,1.0
annual,Kolyma_2001,high,365,1.0,0.6966990235713663,1.0
annual,Kolyma_2002,low,365,1.0,0.895630328772087,1.0
annual,Kolyma_2003,high,365,1.0,0.5977217300829397,1.0
annual,Kolyma_2004,high,366,1.0,0.8704116860165823,1.0
