prediction_id,river,date,year,month,doy,Q_m3s,DOC_predicted_mgC_L,prediction_status,missing_predictor_reason,flux_status,missing_flux_reason,model_spec_id,model_fit_id,freeze_id
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-01,Kolyma,2009-01-01,2009,1,1,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-02,Kolyma,2009-01-02,2009,1,2,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-03,Kolyma,2009-01-03,2009,1,3,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-04,Kolyma,2009-01-04,2009,1,4,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-05,Kolyma,2009-01-05,2009,1,5,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-06,Kolyma,2009-01-06,2009,1,6,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-07,Kolyma,2009-01-07,2009,1,7,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-08,Kolyma,2009-01-08,2009,1,8,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-09,Kolyma,2009-01-09,2009,1,9,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2009-01-10,Kolyma,2009-01-10,2009,1,10,,,missing_predictor,missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q,not_calculated,missing_DOC_interval_80;missing_DOC_interval_90;missing_DOC_interval_95;missing_DOC_prediction;missing_Kolyma__x__log_Q;missing_Q_m3s;missing_log_Q;missing_or_nonpositive_Q_m3s,production_candidate_r4_river_specific_q_and_season_linear,production_candidate_r4_linear_fit_data_freeze_gold_20260526_v1,data_freeze_gold_20260526_v1
