scope,flag_type,river,year,date,flux_id,value,threshold,notes
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-05-25,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-05-25,2281676.5815306883,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-05-26,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-05-26,4961318.384874261,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-05-27,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-05-27,5626204.974999386,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-05-28,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-05-28,6702819.334603333,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-05-29,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-05-29,8144089.676225243,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-05-30,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-05-30,9980559.065650241,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-05-31,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-05-31,13775543.601537766,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-01,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-01,17592317.866422523,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-02,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-02,18743386.53126116,1799283.6853553497,Threshold is five times the river median daily flux.
daily,daily_flux_extremely_high_relative_to_river_distribution,Kolyma,2000,2000-06-03,flux_production_candidate_r4_river_specific_q_and_season_linear_Kolyma_2000-06-03,17963566.14119759,1799283.6853553497,Threshold is five times the river median daily flux.
