river,year,n_days_expected,date_min,date_max,n_days_with_flux,may_july_flux_kgC,may_july_flux_MgC,may_july_flux_TgC,may_july_flux_80_lower_TgC,may_july_flux_80_upper_TgC,may_july_flux_90_lower_TgC,may_july_flux_90_upper_TgC,may_july_flux_95_lower_TgC,may_july_flux_95_upper_TgC,n_outside_training_logQ_days,n_outside_training_doy_days,n_outside_training_year_days,n_point_prediction_clipped_days,n_interval_lower_clipped_days,n_high_confidence_days,n_low_confidence_days,n_medium_confidence_days,flux_from_high_confidence_days_TgC,flux_from_low_confidence_days_TgC,flux_from_medium_confidence_days_TgC,coverage_rate,fraction_flux_from_low_confidence_days,may_july_confidence_tier,notes,annual_total_flux_TgC,annual_coverage_rate,may_july_flux_fraction_of_annual,window_label
Kolyma,2000,92,2000-05-01,2000-07-31,92.0,417098971.8043138,417098.97180431377,0.4170989718043138,0.3098805625775098,0.5264428523232308,0.3004346823559331,0.582312867331811,0.29642781168973914,0.6073565404409436,16.0,0.0,92.0,13.0,20.0,0.0,16.0,76.0,0.0,3.127983277957793e-06,0.4170958438210358,1.0,7.4993790189090125e-06,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,0.5948597624241829,1.0,0.7011719369024807,provisional_may_july_freshet_window_not_final_snowmelt
Kolyma,2001,92,2001-05-01,2001-07-31,92.0,584626955.3563432,584626.9553563432,0.5846269553563431,0.4481050647734074,0.7234279617926399,0.4360867568744544,0.7943492998318574,0.43099213930038077,0.8261397120242238,2.0,0.0,92.0,0.0,10.0,0.0,2.0,90.0,0.0,0.0530118811302831,0.53161507422606,1.0,0.09067642304992793,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,0.6966990235713663,1.0,0.8391384738268647,provisional_may_july_freshet_window_not_final_snowmelt
Kolyma,2002,92,2002-05-01,2002-07-31,92.0,722220942.4749943,722220.9424749943,0.7222209424749944,0.5614205688219337,0.8858264830880562,0.5473012936318834,0.9694218701015732,0.5413133296176076,1.0068934108820158,10.0,0.0,92.0,0.0,20.0,0.0,10.0,82.0,0.0,0.2556974419531497,0.46652350052184466,1.0,0.3540432392847744,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,0.895630328772087,1.0,0.8063828560441475,provisional_may_july_freshet_window_not_final_snowmelt
Kolyma,2003,92,2003-05-01,2003-07-31,92.0,511205075.1067723,511205.0751067723,0.5112050751067724,0.3840070397788342,0.6405931032730979,0.3728542370633117,0.706704814703831,0.3681272926587641,0.7363393170303887,0.0,0.0,0.0,0.0,21.0,71.0,0.0,21.0,0.5103155988128778,0.0,0.0008894762938945656,1.0,0.0,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,0.5977217300829397,1.0,0.855255965072305,provisional_may_july_freshet_window_not_final_snowmelt
Kolyma,2004,92,2004-05-01,2004-07-31,92.0,602358052.1660749,602358.0521660749,0.6023580521660749,0.458350762696394,0.7487965393741021,0.44572566531801505,0.8236203012464531,0.4403803874743918,0.8571599706530026,1.0,0.0,0.0,0.0,24.0,67.0,1.0,24.0,0.5724358899613539,0.02870089427441485,0.0012212679303061544,1.0,0.047647564718702864,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,0.8704116860165823,1.0,0.6920381031678834,provisional_may_july_freshet_window_not_final_snowmelt
Kolyma,2005,92,2005-05-01,2005-07-31,92.0,292668728.5020063,292668.72850200627,0.2926687285020063,0.20788178790328452,0.3788629448407116,0.20040376022662068,0.4229044781907479,0.19723151147143198,0.44264604733609153,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.2926687285020063,0.0,0.0,1.0,0.0,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,0.519839588533181,1.0,0.562998153580074,provisional_may_july_freshet_window_not_final_snowmelt
Kolyma,2006,92,2006-05-01,2006-07-31,92.0,511302989.16002804,511302.98916002805,0.511302989160028,0.3851981647103401,0.6395008748628969,0.37407598763051486,0.7050044747378654,0.36935785687170974,0.7343663917247896,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.511302989160028,0.0,0.0,1.0,0.0,high,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,0.8625503022947358,1.0,0.5927804880477735,provisional_may_july_freshet_window_not_final_snowmelt
Kolyma,2007,92,2007-05-01,2007-07-31,92.0,849148137.3359212,849148.1373359212,0.8491481373359211,0.662829586901209,1.0385591637354947,0.6463966873651728,1.1353400428986768,0.6394256988436929,1.1787219661110648,8.0,0.0,0.0,0.0,0.0,84.0,8.0,0.0,0.61779669192855,0.23135144540737113,0.0,1.0,0.2724512193281171,low,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,1.1481997525946228,1.0,0.7395473961887508,provisional_may_july_freshet_window_not_final_snowmelt
Kolyma,2008,92,2008-05-01,2008-07-31,92.0,636915957.9987854,636915.9579987853,0.6369159579987853,0.49001550044616715,0.7862546383324882,0.4770591927938821,0.8625602740206423,0.4715630068209332,0.896764191744044,4.0,0.0,0.0,0.0,0.0,88.0,4.0,0.0,0.5160400735538273,0.12087588444495807,0.0,1.0,0.18978309920943856,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,0.8468597193710968,1.0,0.7520914543813443,provisional_may_july_freshet_window_not_final_snowmelt
Kolyma,2009,92,2009-05-01,2009-07-31,89.0,333483337.7316467,333483.3377316467,0.3334833377316467,0.24231147922124885,0.4263457983657583,0.23431880263968938,0.47379451744120676,0.23092823504181853,0.4950633538607085,0.0,0.0,0.0,0.0,18.0,71.0,0.0,18.0,0.3329335822471909,0.0,0.0005497554844557961,0.967391304347826,0.0,medium,DOC_flux_from_guarded_daily_concentration_predictions;DOC_uncertainty_only,0.532606961111959,0.6904109589041096,,provisional_may_july_freshet_window_not_final_snowmelt
