river,period,mean_annual_flux_TgC,median_annual_flux_TgC,min_annual_flux_TgC,max_annual_flux_TgC,mean_annual_flux_90_lower_TgC,mean_annual_flux_90_upper_TgC,mean_coverage_rate,mean_fraction_flux_from_low_confidence_days,n_years,confidence_summary
Kolyma,full_prediction_period,0.7834501311238368,0.7789683595646194,0.5157002814028073,1.2622504898001545,0.5375057442975979,1.1310886253930794,0.9793466807165436,0.06557741847538118,26,high:19;low:4;medium:3
Lena,full_prediction_period,6.350796680950073,6.553555045054269,4.423662754833697,8.167522508833459,4.073220928815815,9.48976580349014,0.9846188395031871,0.014688957786948401,26,high:24;low:1;medium:1
Mackenzie,full_prediction_period,1.4786100864149745,1.4994197709838049,0.7345800655910971,2.193086665294724,1.087586435649973,1.8759387719363383,0.9962824645137297,0.05518302799611568,26,high:21;low:1;medium:4
Ob,full_prediction_period,4.240414373782473,4.010663167729569,2.721498794319929,6.014554945067764,2.997616487879324,5.935045153096358,0.9936948297604035,0.05573176637103006,26,high:20;low:2;medium:4
Yenisey,full_prediction_period,3.932108526949942,3.9902630040095874,0.8118524062248996,4.925728616807294,3.0905230914795387,5.047316057042344,1.0,0.20367075256679315,26,high:7;low:11;medium:8
Yukon,full_prediction_period,1.349608313737614,1.3736530970522125,0.0,1.8696873336400532,0.8146174555784673,1.9985535948951174,0.952054794520548,0.00696399236085671,26,high:24;low:2
Kolyma,training_overlap_period,0.7812658995707225,0.7789683595646194,0.5157002814028073,1.2622504898001545,0.5351649581104786,1.1290623586888673,0.9755915317559153,0.05726402243771173,22,high:16;low:3;medium:3
Lena,training_overlap_period,6.302448693698276,6.553555045054269,4.423662754833697,7.486992388815694,4.0284538825168426,9.4364690378773,0.9985096870342772,0.015603750735432865,22,high:21;medium:1
Mackenzie,training_overlap_period,1.5095703075988482,1.4994197709838049,0.781065014076653,2.193086665294724,1.1121159151678925,1.9134334268509137,0.9997509339975094,0.06016256118402914,22,high:18;medium:4
Ob,training_overlap_period,4.131361117278847,3.949965746338033,2.721498794319929,5.771512611062653,2.9107655287677106,5.795717708843659,1.0,0.0487699253726599,22,high:18;medium:4
Yenisey,training_overlap_period,3.9992200373508067,3.9902630040095874,2.5422334501736255,4.925728616807294,3.1382024301010634,5.140177661706966,1.0,0.17886894076519727,22,high:7;low:8;medium:7
Yukon,training_overlap_period,1.4043548993664907,1.3742418723100975,0.9354817786977866,1.8696873336400532,0.8435394899822044,2.0841192266519353,1.0,0.00742756356980974,22,high:22
Kolyma,early_hindcast_period,0.7290630382558788,0.6966990235713663,0.5948597624241829,0.895630328772087,0.5036634344082799,1.0483232064992676,1.0,0.12560750559660297,3,high:2;low:1
Lena,early_hindcast_period,6.0997733115021235,5.7790380728334805,5.4538635853954265,7.066418276277466,3.9332390214176183,9.08609872155643,1.0,0.00944489185566349,3,high:3
Mackenzie,early_hindcast_period,1.4995784713411957,1.5728859893787734,1.3378204838596184,1.5880289407851949,1.1010692197143601,1.904513458795834,1.0,0.030192410344948146,3,high:3
Ob,early_hindcast_period,4.848350265235762,4.817518007038791,3.712977843600731,6.014554945067764,3.4828012344195414,6.710359723516857,0.9453551912568307,0.02943771506948874,3,high:2;low:1
Yenisey,early_hindcast_period,4.480042824251949,4.66742299701097,3.987191525016431,4.785513950728447,3.566513683703189,5.690584895871063,1.0,0.40528393530330514,3,low:3
Yukon,early_hindcast_period,0.8953983236906881,1.2715325070985593,0.0,1.4146624639735046,0.5520033068519514,1.3183055486911366,0.5844748858447488,0.004586726272417712,3,high:1;low:2
Kolyma,recent_extension_period,0.9946645038962282,0.9946645038962282,0.9946645038962282,0.9946645038962282,0.6905299700821739,1.4239627495671825,1.0,0.06838186994044353,1,high:1
Lena,recent_extension_period,8.167522508833459,8.167522508833459,8.167522508833459,8.167522508833459,5.4780416695878,11.873295892773758,0.6328767123287671,0.010295710714144847,1,low:1
Mackenzie,recent_extension_period,0.7345800655910971,0.7345800655910971,0.7345800655910971,0.7345800655910971,0.5074895340625818,0.9653323032372009,0.9088235294117647,0.020605150815522114,1,low:1
Ob,recent_extension_period,4.81577834250235,4.81577834250235,4.81577834250235,4.81577834250235,3.4527833487141675,6.674305215394209,1.0,0.2877744222397974,1,low:1
Yenisey,recent_extension_period,0.8118524062248996,0.8118524062248996,0.8118524062248996,0.8118524062248996,0.6136058651350365,1.07455423793449,1.0,0.14447106399236698,1,medium:1
Yukon,recent_extension_period,1.5078134000430934,1.5078134000430934,1.5078134000430934,1.5078134000430934,0.9661751448757983,2.156853834857068,1.0,0.00151995794076803,1,high:1
