variable,group_type,group_value,n,min,p05,p25,median,mean,p75,p95,max,std
DOC_mgC_L,overall,overall,547,2.1,2.7,4.0,5.6,6.651400365630713,8.5805,13.3,23.5,3.5378566692195514
DOC_mgC_L,river,Kolyma,87,2.349,2.5979,3.2,4.3,5.334528735632182,6.2,11.400000000000002,18.4,3.0277491057583474
DOC_mgC_L,river,Lena,87,3.2,4.8,6.6,7.7,9.223367816091953,10.655000000000001,18.020000000000003,23.5,4.364816214237254
DOC_mgC_L,river,Mackenzie,103,2.3,3.2946,4.0,4.6,4.7608155339805815,5.4,6.6962,8.1,1.1063023799281826
DOC_mgC_L,river,Ob,87,4.0,4.7,7.550000000000001,9.6,9.390402298850576,11.0,13.270000000000001,16.6,2.690738583915464
DOC_mgC_L,river,Yenisey,87,2.2,2.8,3.3499999999999996,5.2,5.912298850574713,8.3805,11.220000000000002,13.0,2.928873031599564
DOC_mgC_L,river,Yukon,96,2.1,2.4,3.0,5.1,5.7299999999999995,7.225,13.225,15.9,3.3177096157947346
DOC_mgC_L,month,1,29,2.3,2.6782,3.1,3.524,4.739586206896552,6.6,8.76,9.9,2.2901754692169236
DOC_mgC_L,month,2,30,2.4,2.545,2.903,3.9499999999999997,4.674400000000001,5.85625,8.649999999999997,10.6,2.096766962862522
DOC_mgC_L,month,3,39,2.1,2.2,2.8945,3.5,4.220205128205128,4.8919999999999995,7.500000000000002,12.7,2.093063420713979
DOC_mgC_L,month,4,33,2.2,2.4,3.0,3.7,4.125272727272728,5.137,6.74,7.3,1.4403720498695656
DOC_mgC_L,month,5,33,2.371,2.5,3.1,7.374,8.987545454545453,13.9,17.86,23.4,5.944174417501711
DOC_mgC_L,month,6,113,4.039,4.76,6.9,9.4,9.62461946902655,11.4,17.019999999999992,23.5,3.630912415629812
DOC_mgC_L,month,7,47,2.349,3.0300000000000002,4.3885000000000005,5.8,6.766531914893618,8.149999999999999,12.430999999999997,16.6,3.1828532581772806
DOC_mgC_L,month,8,67,2.6,2.83,4.1535,5.4,6.075238805970149,6.949999999999999,12.149999999999999,16.0,2.856775115986515
DOC_mgC_L,month,9,50,2.7,3.335,4.45,5.6665,6.177619999999999,7.4285,10.209999999999999,14.8,2.402365449013169
DOC_mgC_L,month,10,37,3.0,3.36,5.2,6.6,6.263567567567568,7.2,8.659999999999998,11.8,1.8347656759340103
DOC_mgC_L,month,11,36,2.6,3.1500000000000004,4.42,5.7775,6.232222222222223,7.85,10.625,11.6,2.3814296679709153
DOC_mgC_L,month,12,33,2.554,2.96,4.1,4.6,5.626727272727273,7.3,10.386,11.1,2.4264864165178124
DOC_mgC_L,season_window,early_season,146,2.371,3.025,6.525,9.325500000000002,9.480623287671232,12.025,17.5,23.5,4.2487999882164065
DOC_mgC_L,season_window,late_season,87,2.7,3.2600000000000002,4.669499999999999,6.0,6.2141724137931025,7.35,9.9632,14.8,2.167795071017513
DOC_mgC_L,season_window,spring_freshet_provisional,193,2.349,3.0,5.4,8.561,8.819678756476684,11.03,16.639999999999997,23.5,4.17425975229123
DOC_mgC_L,season_window,summer,114,2.349,2.8649999999999998,4.318,5.4145,6.360245614035088,8.075,12.3805,16.6,3.0012429712984257
