river,month,row_count
Kolyma,1,3
Kolyma,2,5
Kolyma,3,4
Kolyma,4,5
Kolyma,5,4
Kolyma,6,19
Kolyma,7,8
Kolyma,8,11
Kolyma,9,10
Kolyma,10,5
Kolyma,11,8
Kolyma,12,5
Lena,1,4
Lena,2,5
Lena,3,5
Lena,4,6
Lena,5,8
Lena,6,16
Lena,7,4
Lena,8,11
Lena,9,6
Lena,10,9
Lena,11,8
Lena,12,5
Mackenzie,1,6
Mackenzie,2,7
Mackenzie,3,11
Mackenzie,4,7
Mackenzie,5,1
Mackenzie,6,21
Mackenzie,7,12
Mackenzie,8,13
Mackenzie,9,10
Mackenzie,10,4
Mackenzie,11,5
Mackenzie,12,6
Ob,1,4
Ob,2,5
Ob,3,5
Ob,4,5
Ob,5,5
Ob,6,19
Ob,7,8
Ob,8,10
Ob,9,6
Ob,10,6
Ob,11,6
Ob,12,8
Yenisey,1,4
Yenisey,2,5
Yenisey,3,6
Yenisey,4,4
Yenisey,5,4
Yenisey,6,21
Yenisey,7,6
Yenisey,8,10
Yenisey,9,7
Yenisey,10,7
Yenisey,11,6
Yenisey,12,7
Yukon,1,8
Yukon,2,3
Yukon,3,8
Yukon,4,6
Yukon,5,11
Yukon,6,17
Yukon,7,9
Yukon,8,12
Yukon,9,11
Yukon,10,6
Yukon,11,3
Yukon,12,2
