river,year,row_count
Kolyma,2003,1
Kolyma,2004,7
Kolyma,2005,7
Kolyma,2006,2
Kolyma,2009,5
Kolyma,2010,5
Kolyma,2011,5
Kolyma,2012,4
Kolyma,2013,5
Kolyma,2014,6
Kolyma,2015,6
Kolyma,2016,6
Kolyma,2017,6
Kolyma,2018,6
Kolyma,2019,4
Kolyma,2020,6
Kolyma,2021,6
Lena,2003,1
Lena,2004,7
Lena,2005,7
Lena,2006,2
Lena,2009,5
Lena,2010,5
Lena,2011,5
Lena,2012,3
Lena,2013,6
Lena,2014,6
Lena,2015,6
Lena,2016,6
Lena,2017,6
Lena,2018,6
Lena,2019,4
Lena,2020,6
Lena,2021,6
Mackenzie,2003,1
Mackenzie,2004,7
Mackenzie,2005,7
Mackenzie,2006,1
Mackenzie,2007,1
Mackenzie,2009,4
Mackenzie,2010,5
Mackenzie,2011,5
Mackenzie,2012,5
Mackenzie,2013,6
Mackenzie,2014,6
Mackenzie,2015,6
Mackenzie,2016,6
Mackenzie,2017,6
Mackenzie,2018,6
Mackenzie,2019,4
Mackenzie,2020,5
Mackenzie,2021,7
Mackenzie,2022,5
Mackenzie,2023,6
Mackenzie,2024,4
Ob,2003,1
Ob,2004,7
Ob,2005,7
Ob,2006,2
Ob,2009,5
Ob,2010,5
Ob,2011,5
Ob,2012,4
Ob,2013,5
Ob,2014,6
Ob,2015,6
Ob,2016,6
Ob,2017,6
Ob,2018,6
Ob,2019,4
Ob,2020,6
Ob,2021,6
Yenisey,2004,7
Yenisey,2005,7
Yenisey,2006,2
Yenisey,2009,5
Yenisey,2010,5
Yenisey,2011,5
Yenisey,2012,4
Yenisey,2013,6
Yenisey,2014,6
Yenisey,2015,6
Yenisey,2016,6
Yenisey,2017,6
Yenisey,2018,6
Yenisey,2019,4
Yenisey,2020,6
Yenisey,2021,6
Yukon,2003,1
Yukon,2004,7
Yukon,2005,7
Yukon,2006,2
Yukon,2009,5
Yukon,2010,6
Yukon,2011,5
Yukon,2012,3
Yukon,2013,5
Yukon,2014,5
Yukon,2015,6
Yukon,2016,7
Yukon,2017,5
Yukon,2018,5
Yukon,2019,6
Yukon,2020,2
Yukon,2021,6
Yukon,2022,5
Yukon,2023,6
Yukon,2024,2
