river,variable,n,spearman_r,p_value,interpretation_flag
Kolyma,Q_m3s,85,0.7846991691016294,1.009457506545609e-21,strong
Kolyma,log_Q,85,0.7846991691016294,1.009457506545609e-21,strong
Kolyma,temperature_2m_C,87,0.5969646106801154,2.8002261395261284e-10,moderate
Kolyma,snow_cover_fraction,64,-0.5058820861028219,1.3507699893578231e-05,moderate
Kolyma,surface_runoff_m,87,0.2536233772079529,0.017484667680354313,weak
Lena,Q_m3s,87,0.6407363105574407,3.3975021038063786e-12,strong
Lena,log_Q,87,0.6407363105574407,3.3975021038063786e-12,strong
Lena,temperature_2m_C,87,0.3133875411638428,0.002956398157873414,moderate
Lena,snow_cover_fraction,59,-0.40449112655002895,0.001325528850812267,moderate
Lena,surface_runoff_m,87,0.28016173521536897,0.008333309241832478,weak
Mackenzie,Q_m3s,103,0.5425797512205175,1.216569710371622e-09,moderate
Mackenzie,log_Q,103,0.5425797512205175,1.216569710371622e-09,moderate
Mackenzie,temperature_2m_C,103,0.31342477894328513,0.0011811734529077018,moderate
Mackenzie,snow_cover_fraction,74,-0.44604058635734023,5.290325382059521e-05,moderate
Mackenzie,surface_runoff_m,103,0.048140472144965654,0.629964280748231,weak;sign_uncertain
Ob,Q_m3s,87,0.57896705243137,1.3841018498528015e-09,moderate
Ob,log_Q,87,0.57896705243137,1.3841018498528015e-09,moderate
Ob,temperature_2m_C,87,0.6226893410229394,2.310354805181903e-11,strong
Ob,snow_cover_fraction,54,-0.3353787897456985,0.012721336444327094,moderate
Ob,surface_runoff_m,87,0.3389736049685758,0.001217794906336376,moderate
Yenisey,Q_m3s,87,0.8242503050010295,7.97282545979457e-27,strong
Yenisey,log_Q,87,0.8242503050010295,7.97282545979457e-27,strong
Yenisey,temperature_2m_C,53,0.26534685536898256,0.05457044960968947,weak
Yenisey,snow_cover_fraction,62,-0.23412723449072656,0.06689932028396865,weak
Yenisey,surface_runoff_m,53,0.4416265167689509,0.0007981050261251764,moderate
Yukon,Q_m3s,96,0.8335560791570941,5.898466822672837e-31,strong
Yukon,log_Q,96,0.8335560791570941,5.898466822672837e-31,strong
Yukon,temperature_2m_C,96,0.45940996476537155,1.6788060726814278e-06,moderate
Yukon,snow_cover_fraction,77,-0.5005957569639343,2.2215848558952993e-06,moderate
Yukon,surface_runoff_m,96,0.22731899762095217,0.025670508434853585,weak
