river,season_window,n,min,p05,p25,median,mean,p75,p95,max,std
Kolyma,early_season,23,2.5,2.71,6.050000000000001,8.9,8.60413043478261,10.7,14.489999999999997,18.4,3.903984751092003
Kolyma,late_season,15,3.2,3.2,3.5105,4.0,4.417333333333334,5.2,6.319999999999999,6.6,1.0994497108402306
Kolyma,spring_freshet_provisional,31,2.349,2.5629999999999997,4.550000000000001,7.3,7.586129032258064,9.8,13.649999999999999,18.4,3.8985990538648236
Kolyma,summer,19,2.349,2.5983,3.95,4.4,4.746421052631579,5.25,8.159999999999998,8.7,1.6229154601035982
Lena,early_season,24,4.8,6.6,12.775,14.65,14.362125,17.525,22.75499999999999,23.5,5.019780753158709
Lena,late_season,15,5.9,6.18,6.6899999999999995,7.0,7.207866666666666,7.718999999999999,8.349999999999998,8.7,0.7654184538693911
Lena,spring_freshet_provisional,28,4.8,6.47,8.10125,14.02,13.51057142857143,17.5,21.894999999999992,23.5,5.141035696408461
Lena,summer,15,4.4,4.96,6.45,7.1,7.548600000000001,8.5,11.059999999999999,11.2,1.9150787301980934
Mackenzie,early_season,22,3.1,4.04705,4.699999999999999,5.35,5.523863636363637,6.5465,7.38,8.1,1.2245118092512097
Mackenzie,late_season,14,3.1,3.36,4.1585,4.7795,4.677714285714286,5.15,6.000649999999999,6.325,0.883416134069367
Mackenzie,spring_freshet_provisional,34,3.1,3.83,4.525,5.35,5.489294117647059,6.556,7.595299999999999,8.1,1.2221009611968598
Mackenzie,summer,25,2.8,3.1639999999999997,3.9,4.6,4.8388,5.5,6.6088,7.958,1.2510358374829504
Ob,early_season,24,4.6,7.422899999999999,8.7,10.149999999999999,9.979333333333333,10.6325,12.285,15.7,2.1017231577646136
Ob,late_season,12,6.9,7.175000000000001,8.275,9.272,9.745333333333337,10.675,13.369999999999997,14.8,2.277927181106596
Ob,spring_freshet_provisional,32,4.6,7.5533,9.45275,10.3,10.532656249999999,11.850000000000001,14.324999999999998,16.6,2.3039004180061062
Ob,summer,18,8.7,8.955,10.2,11.9,11.73411111111111,12.5825,16.09,16.6,2.2151033142520595
Yenisey,early_season,25,2.5,2.8074,8.6,9.6,9.03992,10.6,12.559999999999999,13.0,3.0292700567408426
Yenisey,late_season,14,3.0,3.5908499999999997,5.125,5.65,5.758428571428572,6.60225,7.799999999999999,9.1,1.5153259976390818
Yenisey,spring_freshet_provisional,31,2.5,2.8185000000000002,8.1,9.5,8.713645161290323,10.5,12.5,13.0,2.870606457973496
Yenisey,summer,16,3.8,3.8105,4.800000000000001,5.65,5.858687499999999,6.31875,8.525,9.8,1.675056485365991
Yukon,early_season,28,2.371,3.2646,6.425,9.25,9.091357142857143,12.285,15.065,15.9,3.850617489820308
Yukon,late_season,17,2.7,3.98,5.2,5.9,6.070882352941176,7.2,7.7512,7.8,1.431042927481254
Yukon,spring_freshet_provisional,37,2.371,3.0,5.1,7.0,7.971027027027025,10.0,15.02,15.9,3.9213099036368395
Yukon,summer,21,2.6,2.7,3.8,4.372,4.558761904761905,5.4,5.8,8.0,1.3322791338440267
