variable,group_type,group_value,n,min,p05,p25,median,mean,p75,p95,max,std
Q_m3s,river,Kolyma,85,148.0,158.8,366.0,4360.0,5632.411764705882,7510.0,20019.999999999996,24300.0,6191.31026076856
Q_m3s,river,Lena,87,1000.0,2131.2,3480.0,22300.0,31542.689655172413,43700.0,106800.00000000001,163000.0,36675.42727904122
Q_m3s,river,Mackenzie,103,2470.0,3030.1,3865.0,10600.0,10651.553398058253,14776.5,24258.499999999996,28800.0,7059.1501942697
Q_m3s,river,Ob,87,3350.0,4364.0,5760.0,10800.0,17248.83908045977,31100.0,35040.0,36400.0,12113.706794346032
Q_m3s,river,Yenisey,87,5850.0,7380.0,9205.0,14700.0,24597.931034482757,25900.0,80930.00000000001,98200.0,23190.620053381597
Q_m3s,river,Yukon,96,1175.0,1412.25,2236.0,10321.5,9682.9375,13684.0,19892.5,33414.0,6717.246399831752
temperature_2m_C,river,Kolyma,87,-43.26134270415907,-36.20820709754679,-14.295908684566086,3.3007341932976684,-3.0545773048919753,11.089025240200257,16.379606691265494,21.434742155111653,17.71084160740125
temperature_2m_C,river,Lena,87,-47.754614147241526,-40.23221383854961,-21.560754093225427,-0.4220393858093762,-4.852792800110236,12.243560312796356,20.278540464760635,26.75441767374676,20.26221665646731
temperature_2m_C,river,Mackenzie,103,-32.360461095174124,-28.453585637410466,-18.26962020874021,5.177562077840173,-1.1522488778617141,12.452250556945842,18.643502883911175,26.133668365478524,16.77328622060181
temperature_2m_C,river,Ob,87,-37.93416852748138,-25.318383910808134,-8.840816405817106,2.439687279775661,-0.13509305200024796,11.004618256481006,16.480397607248737,24.30393245778188,14.207731773460214
temperature_2m_C,river,Yenisey,53,-7.795285288492835,-3.1430517581412345,3.777638545372952,8.408190299144223,7.332082824969426,12.25252537849724,15.530506107073608,24.129058102075703,6.386031333826508
temperature_2m_C,river,Yukon,96,-31.40090409803758,-20.2050464955411,-1.138815292831516,6.6058720241221485,3.1929865626093847,11.153643363390803,16.32406312291939,19.124288517560164,11.449122550742803
positive_degree_day_Cday,river,Kolyma,87,0.0,0.0,0.0,3.3007341932976684,5.581390917037122,11.089025240200257,16.379606691265494,21.434742155111653,6.348960082658362
positive_degree_day_Cday,river,Lena,87,0.0,0.0,0.0,0.0,6.138701754444039,12.243560312796356,20.278540464760635,26.75441767374676,7.706079372583851
positive_degree_day_Cday,river,Mackenzie,103,0.0,0.0,0.0,5.177562077840173,6.74075876328553,12.452250556945842,18.643502883911175,26.133668365478524,7.25881106355862
positive_degree_day_Cday,river,Ob,87,0.0,0.0,0.0,2.439687279775661,5.814311245036446,11.004618256481006,16.480397607248737,24.30393245778188,6.653012370568987
positive_degree_day_Cday,river,Yenisey,53,0.0,0.0,3.777638545372952,8.408190299144223,7.78437786137447,12.25252537849724,15.530506107073608,24.129058102075703,5.61695175508914
positive_degree_day_Cday,river,Yukon,96,0.0,0.0,0.0,6.6058720241221485,6.537315052855554,11.153643363390803,16.32406312291939,19.124288517560164,5.851933208629034
snow_cover_fraction,river,Kolyma,64,0.0,0.0,0.006772232594029275,0.10132895475019765,0.2611587404942226,0.5125164524614143,0.8596634364724718,0.9885448916408668,0.3168505242277294
snow_cover_fraction,river,Lena,59,0.0,0.0,0.0021018822472156,0.1030865298840321,0.26077761301760266,0.5992962595323628,0.8033549550654475,1.0,0.3153341506712469
snow_cover_fraction,river,Mackenzie,74,0.0,0.0,0.00011653624870768648,0.08123849332926525,0.24586303491349912,0.4925309266739673,0.8508606120197283,0.9994771241830064,0.31877429948592234
snow_cover_fraction,river,Ob,54,0.0,0.0,0.000533939171034125,0.0799468750634098,0.302105081491838,0.6451579480265568,0.9853110037216019,1.0,0.3635777850270361
snow_cover_fraction,river,Yenisey,62,0.0,1.7145012515859228e-06,0.0270964622720656,0.30591645896969805,0.38125553303781423,0.6907336956521738,0.9525401970489128,1.0,0.3494642734762164
snow_cover_fraction,river,Yukon,77,0.0,0.0,0.0129079845104185,0.1272033362278755,0.26034160957311986,0.5535020408163263,0.7268965936428291,0.9806475531389028,0.29120987760144845
snow_depletion_rate_7d,river,Kolyma,55,-0.999657020364416,-0.8790226696311785,-0.1821332745922353,-0.0041626217073323,-0.08296208411316118,0.0569103127701628,0.3274051987243127,0.9721132897603484,0.3809696946904818
snow_depletion_rate_7d,river,Lena,52,-1.0,-0.974201645524915,-0.09349978804715907,-0.00194265809217575,-0.08937869775833354,0.048964748257752926,0.42869027389723025,0.9869210977701544,0.411562315230898
snow_depletion_rate_7d,river,Mackenzie,66,-1.0,-0.9488145702544108,-0.055950786304644395,-0.0005736605467653,-0.06669690679658599,0.039277438509792574,0.7541456133325939,1.0,0.42164608047457774
snow_depletion_rate_7d,river,Ob,47,-0.98456813729284,-0.800830964519294,-0.1464774378977809,-0.0016511019181385,-0.03765917708823153,0.0539123387849856,0.9307995236680855,0.9950836159513508,0.45553535271008766
snow_depletion_rate_7d,river,Yenisey,50,-0.974085307007776,-0.9514285394046395,-0.16243065030844817,-0.00144856175991155,-0.04149494935801602,0.12921728473998287,0.7513079234403036,0.9262321144674084,0.4561111691160673
snow_depletion_rate_7d,river,Yukon,59,-0.9399866932801064,-0.818109145543621,-0.10763590866856934,-0.0149326005487604,-0.08643740990422527,0.02395338889675575,0.3158564938743793,0.9683514531883743,0.34151723346145285
surface_runoff_m,river,Kolyma,87,0.0,0.0,0.0,1.0345173978257453e-07,2.9854361282374608e-05,7.710066334954623e-06,6.614750486680831e-05,0.0008732695346591,0.00012175138107344589
