table_name,sensor,variable,n,min,p05,p25,median,mean,p75,p95,max,std
training_matrix_optical_matched_0d.csv,HLS,blue,15,-1.3100000000000002e-06,2.827553500839885e-09,1.545660125944232e-06,3.979410219179974e-06,3.862783455746963e-06,5.744133131795839e-06,8.137999999999994e-06,1.21e-05,3.2522981433336686e-06
training_matrix_optical_matched_0d.csv,HLS,green,15,7.000000000000001e-07,1.0971954261954264e-06,2.348641044201022e-06,6.280000000000001e-06,6.0625201338067515e-06,8.247551634080893e-06,1.2628444005270086e-05,1.788e-05,4.563241618731685e-06
training_matrix_optical_matched_0d.csv,HLS,red,15,9.4e-07,1.5868455759599334e-06,2.4975069180964153e-06,7.385019976228973e-06,6.953157050808519e-06,9.327130223573428e-06,1.4543058823529409e-05,1.648e-05,4.860626691619671e-06
training_matrix_optical_matched_0d.csv,HLS,nir,15,1.2000000000000004e-07,2.6700000000000005e-07,1.7408765806029482e-06,2.699782292429761e-06,5.336399729458098e-06,6.9725000000000014e-06,1.7139713814231695e-05,1.871849087741817e-05,5.590523765587619e-06
training_matrix_optical_matched_0d.csv,HLS,swir1,15,1.0000000000000001e-07,1.838083754918494e-07,4.132490268387626e-07,7.400216543958426e-07,3.277113158346982e-06,1.6544014587748261e-06,1.7408710011905186e-05,2.183335302600363e-05,6.408838109261435e-06
training_matrix_optical_matched_0d.csv,HLS,swir2,15,9.463208057185233e-08,2.453829469839684e-07,5.066432819285245e-07,8.074198134162597e-07,3.035134180589894e-06,1.32e-06,1.5578468784227808e-05,2.277216867469879e-05,6.256709064846609e-06
training_matrix_optical_matched_0d.csv,HLS,ndwi,15,-0.5672514619883041,-0.32862867013243974,-0.02754735398270735,0.158774373259053,0.16891445087337392,0.4013433252137618,0.6024717018459778,0.9393939393939394,0.35008452350934144
training_matrix_optical_matched_0d.csv,HLS,mndwi,15,-0.2731606375514482,-0.11488936773602271,0.26439527797154866,0.5178454565309389,0.4872836795389102,0.7944706590944092,0.9555914966421571,0.9666317701339722,0.3867476560249717
training_matrix_optical_matched_0d.csv,HLS,red_green_ratio,15,0.7822085889570551,0.796368071255107,1.103490807866858,1.214374693307245,1.1883318337548219,1.2754969536188052,1.4925710349005215,1.6875773179811628,0.23236255184002735
training_matrix_optical_matched_0d.csv,HLS,green_blue_ratio,15,-0.3544303797468354,0.7429715853766488,1.3459122026023862,1.471445444481483,1.425668829920805,1.6238055203457948,1.94359116881094,2.4305968900698987,0.5691971737499811
training_matrix_optical_matched_0d.csv,Landsat,blue,32,0.0051361103046617,0.007959601842675655,0.023787653532022248,0.0456582535902362,0.04143431474656227,0.05390110059607055,0.07015588138794286,0.0965798526850508,0.021203055728836216
training_matrix_optical_matched_0d.csv,Landsat,green,32,0.015435,0.019208677734656773,0.037425033070943275,0.05906112829614605,0.056955983139635166,0.07760866925813148,0.0873373178006868,0.1068822969727609,0.025025531148180454
training_matrix_optical_matched_0d.csv,Landsat,red,32,0.01252,0.01310314473684204,0.033137611566932026,0.06216242928418696,0.0587215305278313,0.08272079674928251,0.09856673435750299,0.1026581803802103,0.028329672969474223
training_matrix_optical_matched_0d.csv,Landsat,nir,32,0.004685,0.008076797620981586,0.022123805267453174,0.0350379092075613,0.03849069089573211,0.0545827221439356,0.0703801626748783,0.073075,0.020251425149766203
training_matrix_optical_matched_0d.csv,Landsat,swir1,32,0.0021453207193359,0.003227017375958215,0.004748377139255775,0.0095792222499217,0.011344540814843481,0.01214308970940535,0.028428731880294954,0.0509924999999999,0.009862503406153559
training_matrix_optical_matched_0d.csv,Landsat,swir2,32,0.0017220574669907,0.0020246155040287,0.0026751548637243498,0.006638043995367351,0.008763403995929488,0.010286158163265224,0.023543918582698407,0.0385899999999999,0.008006146817495069
training_matrix_optical_matched_0d.csv,Landsat,ndwi,32,-0.0867104600697425,-0.028950692648827343,0.09910706801004325,0.18942610490977965,0.2167101262970107,0.30755548094425456,0.516796977498492,0.698082597424835,0.1764897974979969
training_matrix_optical_matched_0d.csv,Landsat,mndwi,32,0.0713651552796363,0.26719894473152955,0.4241982040789086,0.7412922253777482,0.6418115906314548,0.8468215279835495,0.907774882893816,0.9114760260360416,0.24292191001903424
training_matrix_optical_matched_0d.csv,Landsat,red_green_ratio,32,0.4730106574798567,0.6992152311903731,0.9362577243839001,1.0198703178029098,1.014469283426206,1.1403292619554288,1.2526396389100818,1.3632651528046675,0.18539173532715758
training_matrix_optical_matched_0d.csv,Landsat,green_blue_ratio,32,0.8777185990843481,0.9997920559127587,1.242910288172099,1.3980949270615826,1.5464716595638965,1.4662005683987442,3.0552584538117404,3.612670674735704,0.6270727028727658
training_matrix_optical_matched_0d.csv,Sentinel-2,blue,29,0.0327508401030315,0.03876558888996518,0.0708999999999999,0.1046615384615384,0.2048635933260714,0.1595189189189189,0.6746918279782498,1.298567844563118,0.27447618241160093
training_matrix_optical_matched_0d.csv,Sentinel-2,green,29,0.0200221379906211,0.04600014194884948,0.0755746474571905,0.0965510766149223,0.18550058545917736,0.1596,0.6364118518518517,0.9822095258255716,0.21778433412517847
training_matrix_optical_matched_0d.csv,Sentinel-2,red,29,0.0171026250638461,0.04578691353107806,0.0752461833247022,0.1066962336594581,0.17416165753171803,0.1644399999999999,0.6484687181109478,0.8141852271281331,0.1951628673342955
training_matrix_optical_matched_0d.csv,Sentinel-2,nir,29,0.0014643296186185,0.02849918410764622,0.0508488888888888,0.0872129035318027,0.15495885813982527,0.1672,0.5773672160634429,0.7008,0.1753630124188812
training_matrix_optical_matched_0d.csv,Sentinel-2,swir1,29,0.0001087005314367,0.00216268656091814,0.0114,0.0339,0.07019656577995728,0.0894070660522272,0.2599330051267644,0.306,0.08464980560386594
training_matrix_optical_matched_0d.csv,Sentinel-2,swir2,29,0.000717817711853,0.00161654240896576,0.0093969567229807,0.0359,0.06592746497178029,0.0777121232876711,0.27666096224116926,0.2994,0.08531047824023195
training_matrix_optical_matched_0d.csv,Sentinel-2,ndwi,29,-0.157897321064981,-0.10797015200977292,0.0292683174200705,0.0878523485650716,0.1346067274303295,0.2230801628527306,0.4535222002981125,0.8554780752723878,0.20249886150089128
training_matrix_optical_matched_0d.csv,Sentinel-2,mndwi,29,-0.2304817937144249,0.01690369650240192,0.2149089855769839,0.572082406391108,0.5059573970004583,0.8261773170661828,0.9453762731518692,0.9886711543619556,0.3505419542189174
training_matrix_optical_matched_0d.csv,Sentinel-2,red_green_ratio,29,0.7586613505770644,0.8150500525651674,0.8818081329878624,0.9433682614147502,0.9703644910388038,1.0820233616759714,1.167605602506218,1.1932833760638517,0.126105198749692
