season_window,river,row_count
early_season,ALL,146
late_season,ALL,87
spring_freshet_provisional,ALL,193
summer,ALL,114
early_season,Kolyma,23
early_season,Lena,24
early_season,Mackenzie,22
early_season,Ob,24
early_season,Yenisey,25
early_season,Yukon,28
late_season,Kolyma,15
late_season,Lena,15
late_season,Mackenzie,14
late_season,Ob,12
late_season,Yenisey,14
late_season,Yukon,17
spring_freshet_provisional,Kolyma,31
spring_freshet_provisional,Lena,28
spring_freshet_provisional,Mackenzie,34
spring_freshet_provisional,Ob,32
spring_freshet_provisional,Yenisey,31
spring_freshet_provisional,Yukon,37
summer,Kolyma,19
summer,Lena,15
summer,Mackenzie,25
summer,Ob,18
summer,Yenisey,16
summer,Yukon,21
