river,year,annual_flux_TgC,annual_Q_volume_km3,annual_mean_DOC_mgC_L,flow_weighted_DOC_mgC_L,annual_flux_yield_gC_m2_yr,n_days_with_flux,coverage_rate,annual_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,caveat_reason
Kolyma,2000,0.5948597624241829,89.4112992,3.8699606789324856,6.653071454577217,,366.0,1.0,high,False,True,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2001,0.6966990235713663,94.33005119999999,4.462886097093397,7.385758988874228,,365.0,1.0,high,False,True,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2002,0.895630328772087,115.0081632,4.497036668122781,7.787537022172763,,365.0,1.0,low,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2003,0.5977217300829397,85.63380480000001,4.0669378476216975,6.979973988998088,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2004,0.8704116860165823,119.86807680000001,4.714287763007319,7.261413624487068,,366.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2005,0.519839588533181,86.19877439999999,4.931547137304992,6.030707421904841,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2006,0.8625503022947358,121.96206719999999,5.441855828015765,7.0722833918539525,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2007,1.1481997525946228,144.6151104,5.795466169705474,7.939694195293596,,365.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2008,0.8468597193710968,113.7444768,5.569461198683233,7.445282120029028,,366.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2009,0.532606961111959,83.7715392,5.017852239564201,6.3578509622509,,252.0,0.6904109589041096,low,False,False,coverage_lt_0_90
Kolyma,2010,0.5640957068062238,83.71408319999999,5.214575281180787,6.738360921406157,,282.0,0.7726027397260274,low,False,False,coverage_lt_0_90
Kolyma,2011,0.9254373397715197,122.5340352,4.495778979963946,7.552492156656893,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2012,0.5898186899476296,85.9775904,4.032817131976636,6.860144453962618,,366.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Kolyma,2013,0.8485616192498134,118.3928832,4.457179305998303,7.167336383018447,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2014,1.0074572710430716,127.395072,4.116056228577713,7.908133770222067,,365.0,1.0,medium,True,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2015,0.5157002814028073,77.56966080000001,3.826669724804676,6.64822143199068,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2016,0.5496165417640911,85.63000319999999,4.018852980830319,6.41850427682912,,366.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2017,1.2622504898001543,154.4899392,5.009423971816968,8.17043812908792,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2018,1.135503098137708,140.0573376,5.191502293518559,8.107415988305265,,365.0,1.0,low,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count
Kolyma,2019,0.6329624316865551,88.97100479999999,4.6961813772173295,7.1142551790822885,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2020,0.5675538891937405,86.9666976,4.274788180272978,6.526106025138299,,366.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2021,0.7180849553642874,103.41129600000001,5.051920973684394,6.9439701767618045,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2022,0.7495383593446343,108.5375808,5.592699186927262,6.9057957052294485,,365.0,1.0,high,True,True,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
