river,year,flux_10pct_date,flux_25pct_date,flux_50pct_date,flux_75pct_date,flux_90pct_date,flux_10pct_doy,flux_25pct_doy,flux_50pct_doy,flux_75pct_doy,flux_90pct_doy,peak_daily_flux_date,peak_daily_flux_doy,peak_daily_flux_TgC_day,flux_centroid_doy,active_flux_season_length,fraction_flux_before_may,fraction_flux_after_july,fraction_flux_after_september,cohort_core_2003_2024,cohort_high_confidence_only,caveat_reason
Kolyma,2000,2000-05-31,2000-06-05,2000-06-24,2000-08-16,2000-09-10,152,157,176,229,254,2000-06-02,154,0.0187433865312611,191.10591315060688,103,0.010495338363989627,0.2883327247335268,0.03981665772903558,False,True,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2001,2001-05-26,2001-05-30,2001-06-09,2001-07-02,2001-09-04,146,150,160,183,247,2001-05-27,147,0.0280513527246234,174.69752086549255,102,0.01540472481257574,0.14545680136054936,0.03467837251051753,False,True,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2002,2002-05-31,2002-06-05,2002-06-15,2002-07-13,2002-09-01,151,156,166,194,244,2002-06-01,152,0.0268519816939183,179.97931809921246,94,0.012178134519875466,0.18143900943597105,0.028045254482804212,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2003,2003-06-02,2003-06-10,2003-06-24,2003-07-09,2003-08-25,153,161,175,190,237,2003-06-03,154,0.0151526707966416,181.6394816140479,85,0.016295585789029836,0.1284484491386584,0.031284680797784604,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2004,2004-06-04,2004-06-11,2004-06-30,2004-08-15,2004-09-29,156,163,182,228,273,2004-06-04,156,0.0287008942744148,197.27408837307996,118,0.009609089337598301,0.2983528074945136,0.09306013563670174,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2005,2005-06-01,2005-06-10,2005-07-09,2005-08-26,2005-09-17,152,161,190,238,260,2005-06-05,156,0.0101948730595795,198.156379134889,109,0.0404077645769613,0.3965940818429542,0.05783156687708982,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2006,2006-06-03,2006-06-10,2006-07-02,2006-08-30,2006-09-19,154,161,183,242,262,2006-06-04,155,0.0197813233360475,198.1956347302949,109,0.028688992347798144,0.37853051960442075,0.05773061015011311,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2007,2007-05-25,2007-05-31,2007-06-15,2007-07-25,2007-09-12,145,151,166,206,255,2007-05-26,146,0.0376676682124659,182.5831431775272,111,0.028444302172023518,0.2320083016392181,0.05333494914843246,True,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2008,2008-05-28,2008-06-01,2008-06-13,2008-07-18,2008-09-27,149,153,165,200,271,2008-05-30,151,0.032145138131413,183.00777388684753,123,0.04034759822164746,0.20756094739699738,0.09005820631136459,True,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2009,2009-06-02,2009-06-10,2009-07-03,2009-09-07,2009-10-02,153,161,184,250,275,2009-06-01,152,0.012145987357392,204.53716083813654,123,0.002942512855399485,0.3709234669744271,0.1053433435012234,False,False,coverage_lt_0_90
Kolyma,2010,2010-05-28,2010-06-03,2010-06-23,2010-09-18,2010-10-02,148,154,174,261,275,2010-05-30,150,0.0165109425985168,197.9942169192794,128,0.03119986198702297,0.3890367171912683,0.12048407312010963,False,False,coverage_lt_0_90
Kolyma,2011,2011-06-07,2011-06-14,2011-06-27,2011-08-02,2011-09-20,158,165,178,214,263,2011-06-08,159,0.024508117132903,194.02720532070978,106,0.008475684862202983,0.2554186037854071,0.04557786098741891,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2012,2012-05-27,2012-05-31,2012-06-11,2012-08-22,2012-09-12,148,152,163,235,256,2012-05-28,149,0.0238856279239303,184.87089617780222,109,0.02216220002450181,0.2841739270223827,0.031171760763419532,True,True,large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Kolyma,2013,2013-05-28,2013-06-05,2013-06-29,2013-08-29,2013-09-14,148,156,180,241,257,2013-05-28,148,0.0240077124963424,195.90225853279554,110,0.0060479266005459805,0.3791839880547644,0.0388361231889182,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2014,2014-06-06,2014-06-13,2014-06-25,2014-07-21,2014-08-17,157,164,176,202,229,2014-06-12,163,0.0240034920992732,185.7297031674506,73,0.005949197776346081,0.20446090686292642,0.020272286138932862,True,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2015,2015-06-08,2015-06-13,2015-06-22,2015-07-14,2015-08-26,159,164,173,195,238,2015-06-10,161,0.0174908582184654,185.08170612547102,80,0.016173198636368284,0.19944319889402354,0.03282434917473724,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2016,2016-05-26,2016-06-01,2016-06-25,2016-08-26,2016-09-19,147,153,177,239,263,2016-05-30,151,0.0150734575369594,193.8171447813818,117,0.01209027904469302,0.34528113419171125,0.05655076713196135,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2017,2017-05-29,2017-06-07,2017-06-24,2017-07-17,2017-09-09,149,158,175,198,252,2017-05-26,146,0.0247196139826596,187.02981983902396,104,0.005210036979330879,0.19272500910028964,0.06710453633070858,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2018,2018-06-05,2018-06-11,2018-06-22,2018-07-15,2018-08-23,156,162,173,196,235,2018-06-12,163,0.0311622404320854,183.88613628464108,80,0.019043589202805526,0.19701739867761936,0.0352160294053374,False,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count
Kolyma,2019,2019-05-29,2019-06-02,2019-06-11,2019-07-08,2019-08-26,149,153,162,189,238,2019-05-31,151,0.0282043903399103,176.21121818776777,90,0.03066338521369687,0.19476040483674303,0.036526520317867954,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2020,2020-05-29,2020-06-05,2020-06-22,2020-07-31,2020-09-12,150,157,174,213,256,2020-05-28,149,0.0135672525997192,188.83048180949663,107,0.015060688926005851,0.24803359588394688,0.05298504348601968,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2021,2021-05-29,2021-06-04,2021-06-20,2021-08-09,2021-09-25,149,155,171,221,268,2021-05-28,148,0.0243505174574125,190.17750392579165,120,0.02065918158712898,0.28690426694770044,0.08513017613141191,True,True,large_logQ_or_doy_extrapolation_day_count
Kolyma,2022,2022-05-28,2022-06-04,2022-06-22,2022-08-12,2022-10-05,148,155,173,224,278,2022-05-27,147,0.0182866076471305,190.29348320357016,131,0.049107734252076075,0.27455475544137836,0.11321026712756413,True,True,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2023,2023-05-29,2023-06-05,2023-06-21,2023-08-16,2023-09-30,149,156,172,228,273,2023-05-29,149,0.023267168447017,191.24959636417145,125,0.04136789684562112,0.3142131283109189,0.09963944864036174,True,True,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2024,2024-05-29,2024-06-08,2024-07-16,2024-08-31,2024-10-05,150,160,198,244,279,2024-05-29,150,0.0209004533660507,203.48481321939414,130,0.05044272441546357,0.401008026720795,0.12337075881342739,True,True,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2025,2025-05-31,2025-06-06,2025-06-23,2025-08-23,2025-10-08,151,157,174,235,281,2025-05-31,151,0.0291828934408883,195.12253104730732,131,0.02776517456976143,0.3132543340802957,0.11122789443599686,False,True,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Lena,2000,2000-05-27,2000-06-03,2000-06-24,2000-08-08,2000-09-26,148,155,176,221,270,2000-05-29,150,0.1924691650379349,189.41527561817213,123,0.043171474466710005,0.27764971919217246,0.08581163286684994,False,True,outside_core_2003_2024_period;outside_training_year_range
Lena,2001,2001-05-30,2001-06-04,2001-06-12,2001-07-09,2001-08-31,150,155,163,190,243,2001-06-06,157,0.2158099305935071,175.45227507901132,94,0.04770893789833116,0.18693301605855325,0.04108420715704359,False,True,outside_core_2003_2024_period;outside_training_year_range
Lena,2002,2002-05-31,2002-06-05,2002-06-17,2002-07-21,2002-09-20,151,156,168,202,263,2002-05-31,151,0.1742272367396529,182.9848200980424,113,0.03765317483314928,0.206008734552331,0.06482359027921626,False,True,outside_core_2003_2024_period;outside_training_year_range
Lena,2003,2003-06-08,2003-06-14,2003-06-29,2003-08-07,2003-09-29,159,165,180,219,272,2003-06-10,161,0.1235838666738874,193.61934459435162,114,0.04971125133893105,0.27807642436368346,0.09461831302058753,True,True,meets_core_annual_criteria
Lena,2004,2004-06-07,2004-06-13,2004-07-03,2004-08-16,2004-10-04,159,165,185,229,278,2004-06-06,158,0.1603051884844207,199.06039120042647,120,0.023886257525107195,0.29522633030355044,0.10956179335002394,True,True,large_logQ_or_doy_extrapolation_day_count
Lena,2005,2005-05-28,2005-06-05,2005-06-29,2005-08-20,2005-09-24,148,156,180,232,267,2005-06-02,153,0.148903686459008,191.34915519644744,120,0.053957821665503024,0.3404183894960402,0.076513718423595,True,True,meets_core_annual_criteria
Lena,2006,2006-06-03,2006-06-10,2006-06-30,2006-09-06,2006-10-04,154,161,181,249,277,2006-06-05,156,0.1787358787285705,197.9457256103882,124,0.041888502920846254,0.3285075599852936,0.11990959308713273,True,True,meets_core_annual_criteria
