river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language
Kolyma,core_2003_2024,flux_centroid_doy,day/year,19,2003,2024,189.8717016616586,190.17750392579165,0.039847789773420454,109.63083657054982,0.8747366944429432,0.0015043466676643751,0.3123203684929763,0.12280701754385964,0.48933805877747416,0.020986692289948043,0.44072053808890893,flat_or_uncertain,False,no detectable trend
Kolyma,core_2003_2024,flux_25pct_doy,day/year,19,2003,2024,157.78947368421052,157.0,-0.1697659709044909,499.64452877925373,0.2882116752501912,0.06603650230545702,-0.15,-0.1201640156524167,0.4813214378078352,-0.10759017502285947,-2.259393675480049,flat_or_uncertain,False,no detectable trend
Kolyma,core_2003_2024,flux_50pct_doy,day/year,19,2003,2024,175.42105263157896,175.0,-0.05224541429475015,280.6268184693232,0.8713430966513632,0.0015876209332449272,-0.4,-0.2058859150120426,0.22019998190658874,-0.02978286443445103,-0.6254401531234716,flat_or_uncertain,False,no detectable trend
Kolyma,core_2003_2024,flux_75pct_doy,day/year,19,2003,2024,218.26315789473685,221.0,0.225426944971537,-235.67552182163192,0.7422246966829336,0.006531883186004535,0.4166666666666667,0.08211179002574179,0.6240645324651697,0.10328217879091398,2.168925754609194,flat_or_uncertain,False,no detectable trend
Kolyma,core_2003_2024,active_flux_season_length,days/year,19,2003,2024,108.26315789473684,109.0,0.6628716002530044,-1226.55091714105,0.2501300708012557,0.07697901656233638,0.875,0.23599744180159624,0.1607439850763518,0.612278094545799,12.857839985461778,flat_or_uncertain,False,no detectable trend
Kolyma,core_2003_2024,fraction_flux_after_july,fraction/year,19,2003,2024,0.2748240027984079,0.27455475544137836,0.0012554073782183165,-2.253170012498055,0.6597640431689893,0.011671705532039953,0.0012327149419022144,0.06432748538011696,0.7300327269910041,0.45680412388840635,9.592886601656533,flat_or_uncertain,False,no detectable trend
Lena,core_2003_2024,flux_centroid_doy,day/year,22,2003,2024,190.22231968996522,190.97419549832352,-0.24522900568816167,683.9909226430788,0.26659863946638584,0.061301736798659245,-0.35551292117448935,-0.16017316017316016,0.31397950542939346,-0.1289170514205953,-2.7072580798325014,flat_or_uncertain,False,no detectable trend
Lena,core_2003_2024,flux_25pct_doy,day/year,22,2003,2024,156.77272727272728,156.5,-0.189158667419537,537.643704121965,0.16834749323554435,0.09268045332282854,-0.18181818181818182,-0.16191594696114797,0.3059731308353435,-0.12065789165641674,-2.5338157247847515,flat_or_uncertain,False,no detectable trend
Lena,core_2003_2024,flux_50pct_doy,day/year,22,2003,2024,176.95454545454547,177.0,-0.1281761716544325,435.0372670807453,0.6366421457770878,0.011374912059605426,-0.3333333333333333,-0.2661545653495999,0.08900153550985114,-0.07243451776001837,-1.521124872960386,flat_or_uncertain,False,no detectable trend
Lena,core_2003_2024,flux_75pct_doy,day/year,22,2003,2024,223.72727272727272,225.5,-0.5217391304347827,1274.2490118577077,0.32918070090396334,0.04763362785408101,-0.6923076923076923,-0.12608814828680692,0.41313399093337544,-0.2332031871102239,-4.897266929314702,flat_or_uncertain,False,no detectable trend
Lena,core_2003_2024,active_flux_season_length,days/year,22,2003,2024,119.72727272727273,121.0,-0.045172219085262554,210.68153585544889,0.8806500669494838,0.0011550311714037384,0.07142857142857142,0.06182235697548114,0.6918078617782539,-0.03772926423218588,-0.7923145488759035,flat_or_uncertain,False,no detectable trend
