river,year,month,monthly_flux_TgC,monthly_fraction_of_annual,monthly_Q_volume_km3,monthly_flow_weighted_DOC,n_days_with_flux,n_low_confidence_days,fraction_flux_from_low_confidence_days,annual_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Kolyma,2000,1,0.002736992313890766,0.004601071524382364,0.7116767999999999,3.8458360788083046,31,21,0.7025378952308112,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,2,0.0020663794365706587,0.0034737253502400514,0.5188320000000001,3.9827524835990427,29,0,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,3,0.0010926161325118043,0.0018367625472920808,0.37592639999999994,2.9064628940978983,31,20,0.5542936236121958,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,4,0.0003472666027909731,0.0005837789420749962,0.27639359999999996,1.2564205639746107,30,30,1.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,5,0.05342399318821106,0.08980939132695187,6.060096,8.815700805434725,31,16,5.855015867005683e-05,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,6,0.26778976493946083,0.4501729346227072,29.372543999999998,9.117009576680257,30,0,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,7,0.0958852136766383,0.1611896109528155,16.10064,5.9553665988830184,31,0,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,8,0.0733485983316202,0.12330401712280675,14.694912000000002,4.991428212133684,31,0,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,9,0.0744836102452619,0.12521204988168133,14.341535999999998,5.193558782355194,30,0,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,10,0.019423653474815106,0.03265249173294138,5.026751999999998,3.8640564473473282,31,0,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,11,0.0018270527782134635,0.003071400847096845,1.0760256,1.697964043061302,30,0,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,12,0.0024346213041902443,0.004092765148996854,0.8559647999999999,2.8443007284765036,31,10,0.3667703086906504,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
