river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language,month
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.0061580656260910895,0.005400863011375872,0.00020943608253511076,-0.41558006688934773,0.14868105322251743,0.11865828125368594,0.00023291915475215624,0.21637426900584794,0.21092283459362027,3.4010043941031043,71.42109227616518,flat_or_uncertain,False,no detectable trend,1
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.008210795380574365,0.008353802079563771,0.00027224015653130597,-0.5399949092977292,0.13744848300668078,0.12506756381452208,0.0002846007031285435,0.20467836257309938,0.2377832201095029,3.31563684043801,69.62837364919821,flat_or_uncertain,False,no detectable trend,1
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,1.1623755789473684,1.031616,0.026185391726755214,-51.56673428766602,0.1683278761375001,0.10857195691899939,0.027863999999999972,0.21637426900584794,0.21092283459362027,2.2527479242525335,47.3077064093032,flat_or_uncertain,False,no detectable trend,1
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,4.81953021798783,5.073797393411135,0.0489152013630772,-93.68023842155604,0.21524010986119885,0.08882104462297613,0.061020908515153106,0.22807017543859648,0.18626710954292602,1.0149371235501758,21.31367959455369,flat_or_uncertain,False,no detectable trend,1
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.004751080915967797,0.0030329910449772447,9.40801817576775e-05,-0.18469669561291333,0.44169319262317663,0.03521676128518773,4.849243918597284e-05,0.13450292397660818,0.44673486746702856,1.9801847920856412,41.58388063379847,flat_or_uncertain,False,no detectable trend,2
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.006163933963391098,0.004684833365142517,0.00010607105600545057,-0.20742967670863727,0.4774722557033102,0.030104889738845807,3.842705143892331e-05,0.06432748538011696,0.7300327269910041,1.720833750579239,36.137508762164025,flat_or_uncertain,False,no detectable trend,2
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,0.8589524210526316,0.6557759999999999,0.01066536136622391,-20.617717361669833,0.49660237368624116,0.02760841938064121,0.006322447058823527,0.14619883040935672,0.40626461663128227,1.2416707962885407,26.07508672205936,flat_or_uncertain,False,no detectable trend,2
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,4.969462510697404,4.625041241183037,0.020537772350969638,-36.38712539183409,0.6319397547433777,0.013802428802535517,0.03351675327371876,0.14619883040935672,0.40626461663128227,0.41327955099287805,8.67887057085044,flat_or_uncertain,False,no detectable trend,2
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.003905687600466449,0.0024849192559812006,3.5080433866417006e-05,-0.06673522817475011,0.7278739173903703,0.007307415681394406,3.830271893000981e-05,0.08771929824561403,0.6288243928951247,0.8981884230123119,18.86195688325855,flat_or_uncertain,False,no detectable trend,3
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.005017281326362436,0.004157317913866698,3.5148101541989426e-05,-0.06575989577871733,0.7533844090059512,0.0059616923811612816,7.304590101114708e-05,0.06432748538011696,0.7300327269910041,0.70054077608345,14.71135629775245,flat_or_uncertain,False,no detectable trend,3
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,0.7954302315789474,0.6136992,0.004177950967741939,-7.617643664516137,0.7646796980286842,0.005413349861019567,0.0070107428571428475,0.08771929824561403,0.6288243928951247,0.5252441762803771,11.03012770188792,flat_or_uncertain,False,no detectable trend,3
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,4.408359189313101,4.049083420641904,0.008058321902161901,-11.818556388408707,0.8405005092390825,0.002450573913225375,0.02516367997315309,0.07602339181286549,0.6787251905778028,0.1827964001140644,3.838724402395352,flat_or_uncertain,False,no detectable trend,3
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.003315484126754125,0.001801034663959567,0.00014572013093009268,-0.2901188426830009,0.27537952207902117,0.069525023277632,-9.709823760488964e-07,-0.005847953216374269,1.0,4.395138850287707,92.29791585604184,flat_or_uncertain,False,no detectable trend,4
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.004145013940673711,0.00301316578152455,0.0001508710823705627,-0.2996617024539436,0.29226780822811077,0.06497197181828097,3.655047767697891e-05,0.07602339181286549,0.6787251905778028,3.6398208674309265,76.43623821604946,flat_or_uncertain,False,no detectable trend,4
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,0.8005551157894736,0.5925311999999999,0.017443853965844407,-34.32585818595827,0.3494077406063305,0.05165383902655376,0.00011181176470589753,0.005847953216374269,1.0,2.1789697700753576,45.75836517158251,flat_or_uncertain,False,no detectable trend,4
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,3.394415730056003,3.039560893940381,0.023951828453392936,-44.8370030397763,0.5992453518911358,0.01658799872974604,-0.003922333883752405,-0.017543859649122806,0.945006868714699,0.7056244832154889,14.818114147525266,flat_or_uncertain,False,no detectable trend,4
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.08931324166881113,0.09118735598068992,0.0019773607264461125,-3.8924668316905717,0.4259714287702032,0.03766218054035207,0.0022172619697180367,0.029239766081871343,0.8902671597910886,2.213961434496473,46.49319012442593,flat_or_uncertain,False,no detectable trend,5
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.11395009446428432,0.13740489536444547,0.0033441863407814554,-6.62018513702511,0.23936827022206025,0.08042297991167366,0.00011267380251005365,0.005847953216374269,1.0,2.9347815431865505,61.630412406917564,flat_or_uncertain,False,no detectable trend,5
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,8.985336252631578,9.5241312,0.19370855954459204,-381.0825315461101,0.3624630977905984,0.04899287573833847,0.17740800000000037,0.05263157894736842,0.7825415890122567,2.1558298331668966,45.27242649650483,flat_or_uncertain,False,no detectable trend,5
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,8.473268071822956,9.708929789241383,0.11616076321595205,-225.43782669882575,0.21089013860971056,0.09044598136378,0.05492427510942566,0.04093567251461988,0.8360309321120432,1.3709086297202562,28.78908122412538,flat_or_uncertain,False,no detectable trend,5
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.3402892639052974,0.3265094665293019,-0.003058121378456493,6.498379997576109,0.47719937936436096,0.03014164261331295,-0.0036447197178937777,-0.14619883040935672,0.40626461663128227,-0.898682886248086,-18.872340611209808,flat_or_uncertain,False,no detectable trend,6
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.43225604131077916,0.43568286214724694,-0.0032691708724092716,7.015333808593871,0.3516842624283216,0.05118067836153854,-0.0039702715873168575,-0.19298245614035084,0.2668987734001042,-0.7563042641337743,-15.882389546809259,flat_or_uncertain,False,no detectable trend,6
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,35.7427068631579,34.473600000000005,-0.2640121193168879,567.3797429191648,0.47780633110869275,0.030059938874898655,-0.3116766315789469,-0.15789473684210525,0.36800411866936666,-0.7386461252855492,-15.511568630996534,flat_or_uncertain,False,no detectable trend,6
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,9.355676555456839,9.354927291515075,-0.014929392324506489,39.41875815206833,0.5044281028265466,0.026631297921336047,-0.01916729511648492,-0.14619883040935672,0.40626461663128227,-0.15957576382649416,-3.3510910403563776,flat_or_uncertain,False,no detectable trend,6
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.1244796320435243,0.09997840747695672,-0.0010045112347950487,2.1472480448466063,0.6298893574581121,0.013967969300246286,-0.0012987121008105756,-0.14619883040935672,0.40626461663128227,-0.8069683516125926,-16.946335383864447,flat_or_uncertain,False,no detectable trend,7
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.1554328368155139,0.1575707162921623,-0.0018947532430398917,3.970867525168475,0.2598946639627468,0.07399740431693044,-0.0019850312089746414,-0.15789473684210525,0.36800411866936666,-1.2190173465654552,-25.599364277874564,flat_or_uncertain,False,no detectable trend,7
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,19.01552589473684,16.723583999999995,-0.10752089259962051,235.52864962428848,0.6409755671025485,0.01308704828343765,-0.170084571428571,-0.12280701754385964,0.48933805877747416,-0.5654373862433139,-11.874185111109592,flat_or_uncertain,False,no detectable trend,7
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,6.299067548573798,5.986060058937596,-0.026880852219035405,60.42861522753667,0.346130803231832,0.05234191352488508,-0.025324548473303694,-0.13450292397660818,0.44673486746702856,-0.4267433554530087,-8.961610464513182,flat_or_uncertain,False,no detectable trend,7
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.08227379708383774,0.0705495019511071,-8.28377465672281e-05,0.2490828593818455,0.9504329336882267,0.00023406236782383473,0.00016165874704011698,0.005847953216374269,1.0,-0.10068545454735205,-2.114394545494393,flat_or_uncertain,False,no detectable trend,8
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.10575667908068292,0.1077119979357871,-0.00027171836373528517,0.6529116578444729,0.8576927508585072,0.0019458557715519888,-0.00042223025239349386,-0.05263157894736842,0.7825415890122567,-0.25692785183618355,-5.395484888559856,flat_or_uncertain,False,no detectable trend,8
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,15.664911157894739,14.395968000000002,-0.008127939278937442,32.03201414800772,0.963917019760974,0.0001239683891978736,-0.014687999999999844,-0.005847953216374269,1.0,-0.05188627753462333,-1.08961182822709,flat_or_uncertain,False,no detectable trend,8
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,5.025262252794886,5.010377786597401,0.007099435595045808,-9.270759108597357,0.8010797119779409,0.0038380168180703546,0.008927099574095099,0.005847953216374269,1.0,0.14127492731543184,2.9667734736240687,flat_or_uncertain,False,no detectable trend,8
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.08219194644380097,0.0737918507509719,-0.0002279470479443426,0.5412053177254088,0.8784384194609963,0.0014161253273613727,0.0006562558994178784,0.05263157894736842,0.7825415890122567,-0.27733501615052053,-5.824035339160932,flat_or_uncertain,False,no detectable trend,9
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.10661995281486646,0.10784663248699929,-0.00021045927569378272,0.5304184732382415,0.906446465849515,0.0008363197737360982,0.00031296667076553423,0.029239766081871343,0.8902671597910886,-0.19739201728894173,-4.145232363067777,flat_or_uncertain,False,no detectable trend,9
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,15.111978442105265,14.347584,-0.024454861480075755,64.35634687514202,0.8996241976304247,0.000963353168493192,0.0872639999999989,0.06432748538011696,0.7300327269910041,-0.1618243539306487,-3.3983114325436223,flat_or_uncertain,False,no detectable trend,9
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,5.144060864661195,5.143155164728315,-0.0012918500485464303,7.745438909786796,0.9682761995340545,9.581101541434151e-05,0.010141017008241373,0.06432748538011696,0.7300327269910041,-0.025113428525335227,-0.5273819990320396,flat_or_uncertain,False,no detectable trend,9
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.03394679651590986,0.028957389128791897,0.0007480894279666649,-1.472469072642227,0.3051422420880063,0.06170702426625434,0.0007987889323435638,0.1695906432748538,0.33200659870531884,2.2037114094582018,46.27793959862224,flat_or_uncertain,False,no detectable trend,10
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.041803391447809424,0.03363998583336038,0.0009447009151221803,-1.8605259250034862,0.20034472413739593,0.09454262021513322,0.001252803919226426,0.19298245614035084,0.2668987734001042,2.259866681634235,47.45720031431893,flat_or_uncertain,False,no detectable trend,10
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,7.232489431578948,6.7625280000000005,0.10561657867172673,-205.44594740948762,0.3127729853749182,0.05984962796540666,0.11573672727272735,0.1695906432748538,0.33200659870531884,1.4603074041225284,30.666455486573092,flat_or_uncertain,False,no detectable trend,10
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,4.322074393048692,4.282036115605488,0.026685888682814702,-49.414878291398175,0.4498157325872184,0.03400269204953867,0.04189355142213582,0.1695906432748538,0.33200659870531884,0.6174324237855399,12.966080899496339,flat_or_uncertain,False,no detectable trend,10
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.008821459135247485,0.007024521294776701,0.0003470554213812007,-0.6900385630776336,0.08556056344317278,0.16388359015836082,0.00037596485534983475,0.2631578947368421,0.12479690758619734,3.9342178664580314,82.61857519561865,flat_or_uncertain,False,no detectable trend,11
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.011017000430974285,0.009824055492819802,0.0004392616408461083,-0.8735172300307154,0.047447924528030976,0.2117153168862933,0.00046748382167829516,0.3216374269005848,0.0580602517452597,3.987125566511958,83.72963689675112,increasing,True,detectable increasing trend,11
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,2.385954189473684,2.1561984,0.05592511332068313,-110.22956347628089,0.10005100600516367,0.1510715943418843,0.0648576,0.25146198830409355,0.14329021416472087,2.343930724546711,49.222545215480935,flat_or_uncertain,False,no detectable trend,11
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,3.331242803078405,3.257826967489749,0.050168920878714454,-97.6931210295329,0.1345953635048193,0.12678150982071776,0.06926062299101965,0.27485380116959063,0.10816832184111735,1.5060121355415252,31.62625484637203,flat_or_uncertain,False,no detectable trend,11
Kolyma,core_2003_2024,monthly_flux_TgC,Tg C/year,19,2003,2024,0.00769270411848857,0.006925940290090601,0.000286457804288643,-0.5691428533595895,0.10553460747146333,0.14669865754636024,0.00035402511474939195,0.21637426900584794,0.21092283459362027,3.7237595503013448,78.19895055632824,flat_or_uncertain,False,no detectable trend,12
Kolyma,core_2003_2024,monthly_fraction_of_annual,fraction/year,19,2003,2024,0.009626979024069606,0.01008253860413281,0.00035362246167907143,-0.7024569885465237,0.0796959184735253,0.16968861643093985,0.0003957713149229415,0.3099415204678362,0.06835950866699914,3.673244335475708,77.13813104498988,flat_or_uncertain,False,no detectable trend,12
Kolyma,core_2003_2024,monthly_Q_volume_km3,km3/year,19,2003,2024,1.6705621894736844,1.6168896000000001,0.04026304485768501,-79.4064955081594,0.13139842058486984,0.1287467740224526,0.05323256470588237,0.21637426900584794,0.21092283459362027,2.4101494162495083,50.613137741239676,flat_or_uncertain,False,no detectable trend,12
Kolyma,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,19,2003,2024,4.121294052873829,4.283496096512942,0.050101113173608866,-96.76652647461435,0.212365813031066,0.08989064422263184,0.06602041751062855,0.21637426900584794,0.21092283459362027,1.2156646075441462,25.528956758427075,flat_or_uncertain,False,no detectable trend,12
Lena,core_2003_2024,monthly_flux_TgC,Tg C/year,22,2003,2024,0.11095064370178419,0.09742727006218502,-0.0008626342049370897,1.8478646153426144,0.3936244954120486,0.03661635326391988,-0.0005615456238377003,-0.11688311688311688,0.4680001686472355,-0.777493645963604,-16.327366565235685,flat_or_uncertain,False,no detectable trend,1
Lena,core_2003_2024,monthly_fraction_of_annual,fraction/year,22,2003,2024,0.01774693771444921,0.01708688147581141,-1.0580276127274605e-05,0.03905032369671663,0.948091392146134,0.00021726387670724894,-6.64255441577069e-05,-0.047619047619047616,0.7805448221723992,-0.05961747484277444,-1.251966971698263,flat_or_uncertain,False,no detectable trend,1
Lena,core_2003_2024,monthly_Q_volume_km3,km3/year,22,2003,2024,11.540919272727272,10.5341904,-0.0641936876341051,140.7949093239979,0.4068576951553563,0.03465138657141282,-0.045252000000000514,-0.11688311688311688,0.4680001686472355,-0.5562268144947805,-11.680763104390392,flat_or_uncertain,False,no detectable trend,1
Lena,core_2003_2024,monthly_flow_weighted_DOC,mg C/L/year,22,2003,2024,9.491429005391277,9.250691132898584,-0.014598242982559491,38.88499125077481,0.5256849507121367,0.020433265321580962,-0.014039238752251274,-0.09956709956709957,0.5394123595200279,-0.15380447953903953,-3.2298940703198302,flat_or_uncertain,False,no detectable trend,1
Lena,core_2003_2024,monthly_flux_TgC,Tg C/year,22,2003,2024,0.08156811645851626,0.08144243376057125,0.00028828946140496404,-0.4989027140803789,0.7006282158788384,0.0075492203828165065,-0.00012664669510838167,-0.05627705627705628,0.7380940484479567,0.3534340057387272,7.422114120513271,flat_or_uncertain,False,no detectable trend,2
