river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language
Kolyma,core_2003_2024,annual_flux_TgC,Tg C/year,19,2003,2024,0.7871391591842106,0.8083983597846045,-0.000530137198591105,1.8546680653997725,0.9453088061670409,0.0002850300211226485,0.0022025438502259603,0.029239766081871343,0.8902671597910886,-0.0673498697664258,-1.414347265094942,flat_or_uncertain,False,no detectable trend
Kolyma,core_2003_2024,annual_Q_volume_km3,km3/year,19,2003,2024,109.42677776842105,113.444064,0.04987004174573053,9.00426212675525,0.950689522282687,0.0002316425463994733,0.20857499999999884,0.07602339181286549,0.6787251905778028,0.0455738922069606,0.9570517363461725,flat_or_uncertain,False,no detectable trend
Kolyma,core_2003_2024,annual_mean_DOC_mgC_L,mg C/L/year,19,2003,2024,4.828794205756308,4.714287763007319,0.019623699744185878,-34.6871401212201,0.43059747473835863,0.036929215644392235,0.03322620356998366,0.1695906432748538,0.33200659870531884,0.40638923317114783,8.534173896594103,flat_or_uncertain,False,no detectable trend
Kolyma,core_2003_2024,flow_weighted_DOC_mgC_L,mg C/L/year,19,2003,2024,7.108321936462016,7.0722833918539525,-0.005776809693022463,18.740992402516724,0.7650625155021823,0.00539526726215533,-0.008554214339476533,-0.07602339181286549,0.6787251905778028,-0.08126826197038738,-1.7066335013781346,flat_or_uncertain,False,no detectable trend
Lena,core_2003_2024,annual_flux_TgC,Tg C/year,22,2003,2024,6.302448693698276,6.553555045054269,-0.02872175559542411,64.13370358508473,0.35862572776221757,0.042277510503021955,-0.04176188755071131,-0.2207792207792208,0.16029274039086885,-0.455723751057943,-9.570198772216802,flat_or_uncertain,False,no detectable trend
Lena,core_2003_2024,annual_Q_volume_km3,km3/year,22,2003,2024,590.266412509091,601.064928,-2.3856490895539215,5393.770854325912,0.3074518708297391,0.05199100152584309,-3.254817599999986,-0.18614718614718614,0.23937855648715442,-0.404164804060773,-8.487460885276231,flat_or_uncertain,False,no detectable trend
Lena,core_2003_2024,annual_mean_DOC_mgC_L,mg C/L/year,22,2003,2024,8.358719656512452,8.368162296194614,-0.0071157637587850485,22.686309984826146,0.6576583169534389,0.010016773950218908,-0.018017297556308282,-0.11688311688311688,0.4680001686472355,-0.08512982910296565,-1.7877264111622788,flat_or_uncertain,False,no detectable trend
Lena,core_2003_2024,flow_weighted_DOC_mgC_L,mg C/L/year,22,2003,2024,10.641952863298265,10.73460371972564,-0.004254761839188442,19.208915826504192,0.7697957208032771,0.004380658983755768,-0.003597209128972555,-0.047619047619047616,0.7805448221723992,-0.039981025041580215,-0.8396015258731845,flat_or_uncertain,False,no detectable trend
Mackenzie,core_2003_2024,annual_flux_TgC,Tg C/year,22,2003,2024,1.5095703075988482,1.4994197709838049,-0.01052002129724784,22.691633189607376,0.34573723921203925,0.04454964184692499,-0.022131015932843882,-0.20346320346320346,0.19701520944492798,-0.6968884618551613,-14.634657698958387,flat_or_uncertain,False,no detectable trend
Mackenzie,core_2003_2024,annual_Q_volume_km3,km3/year,22,2003,2024,293.7263589818181,294.461568,-1.6771955315640883,3670.7595617861098,0.30829006986322516,0.0518159067177012,-3.4267025454545528,-0.2207792207792208,0.16029274039086885,-0.5710061355671209,-11.991128846909538,flat_or_uncertain,False,no detectable trend
