river,year,season_window,seasonal_flux_TgC,seasonal_fraction_of_annual,seasonal_Q_volume_km3,seasonal_flow_weighted_DOC,n_days_with_flux,fraction_flux_from_low_confidence_days,annual_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Kolyma,2000,winter,0.005895987882973229,0.009911559421914497,1.6064352,3.6702307587466363,91,0.42884602630760155,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,spring_transition,0.0003472666027909731,0.0005837789420749962,0.27639359999999996,1.2564205639746107,30,1.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,may_july,0.4170989718043102,0.7011719369024746,51.53328,8.093778851342547,92,7.499379018909077e-06,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,late_summer,0.14783220857688212,0.2485160670044881,29.036448,5.091263524274217,61,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2000,fall_winter,0.023685327557218815,0.03981665772903508,6.9587423999999976,3.4036793138397803,92,0.03770042044491538,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2001,winter,0.008797319496506034,0.012627144862942214,2.0666015999999994,4.2569015220486675,90,0.25997772633977523,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2001,spring_transition,0.0019351372388008783,0.0027775799496332332,0.6172416,3.1351374223656965,30,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2001,may_july,0.5846269553563391,0.839138473826859,65.41629119999999,8.937023861058377,92,0.09067642304992839,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2001,late_summer,0.0771792232125858,0.11077842885002975,18.8854848,4.086695365775772,61,0.0,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2001,fall_winter,0.024160388267121215,0.03467837251051687,7.344431999999999,3.2896197101593723,92,0.055380328999444846,high,False,True,False,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2002,winter,0.008851991295482704,0.009883532313626339,2.0786112,4.258608486033311,90,0.26213202450286416,low,False,False,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2002,spring_transition,0.0020551153283839265,0.002294602206248976,0.6394463999999997,3.213897722129528,30,0.0,low,False,False,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2002,may_july,0.7222209424749909,0.8063828560441436,77.10655679999999,9.366530843133102,92,0.3540432392847754,low,False,False,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2002,late_summer,0.1373840991802881,0.15339375495316498,27.705024,4.958815382375811,61,0.0,low,False,False,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2002,fall_winter,0.025118180492930478,0.028045254482803872,7.478524799999999,3.3587079223076013,92,0.039340051336923684,low,False,False,False,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
