river,analysis_cohort,metric,unit,n_years,year_min,year_max,mean_value,median_value,slope_ols_per_year,intercept_ols,slope_ols_p_value,slope_ols_r2,slope_theilsen_per_year,kendall_tau,kendall_p_value,slope_percent_per_year,total_change_percent_over_period,trend_direction,detectable_trend,trend_language,season_window
Kolyma,core_2003_2024,seasonal_flux_TgC,Tg C/year,19,2003,2024,0.05046095976964591,0.0421794544246725,0.0013816026536365086,-2.73165048907945,0.18432878043768328,0.10123428401945848,0.00142553100470292,0.21637426900584794,0.21092283459362027,2.7379634869085323,57.49723322507917,flat_or_uncertain,False,no detectable trend,fall_winter
Kolyma,core_2003_2024,seasonal_fraction_of_annual,fraction/year,19,2003,2024,0.06244737090285332,0.05655076713196036,0.00173758501764736,-3.436500143580725,0.09614099843406347,0.15433793240885715,0.0018266377320865562,0.22807017543859648,0.18626710954292602,2.7824790580062144,58.4320602181305,flat_or_uncertain,False,no detectable trend,fall_winter
Kolyma,core_2003_2024,seasonal_Q_volume_km3,km3/year,19,2003,2024,11.289005810526318,10.1992608,0.2018047368500949,-395.08200639392794,0.1940064225541942,0.0971193859818474,0.23762303999999995,0.22807017543859648,0.18626710954292602,1.7876218706692857,37.54005928405499,flat_or_uncertain,False,no detectable trend,fall_winter
Kolyma,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,19,2003,2024,4.137460412732713,4.1355403349110835,0.0340616254664209,-64.45189697386012,0.2965707246063687,0.06386181216389068,0.04103750257988761,0.20467836257309938,0.2377832201095029,0.8232495799016927,17.288241177935546,flat_or_uncertain,False,no detectable trend,fall_winter
Kolyma,core_2003_2024,seasonal_flux_TgC,Tg C/year,19,2003,2024,0.1644657435276387,0.1586909858456536,-0.0003107847945115701,0.7902881771072532,0.8918469345323472,0.0011192916386425983,-0.0013445727214620635,-0.06432748538011696,0.7300327269910041,-0.18896627823248935,-3.9682918428822767,flat_or_uncertain,False,no detectable trend,late_summer
Kolyma,core_2003_2024,seasonal_fraction_of_annual,fraction/year,19,2003,2024,0.2123766318955494,0.20177409081628447,-0.00048217763942906723,1.1833301310827131,0.8549648111704851,0.00202193934389821,0.0003944114060472602,0.017543859649122806,0.945006868714699,-0.22703893320344715,-4.76781759727239,flat_or_uncertain,False,no detectable trend,late_summer
Kolyma,core_2003_2024,seasonal_Q_volume_km3,km3/year,19,2003,2024,30.776889599999997,30.768768000000005,-0.032582800759013195,96.38836102314971,0.913677730090662,0.0007115855312851621,-0.12172800000000016,-0.07602339181286549,0.6787251905778028,-0.10586775071322735,-2.2232227649777747,flat_or_uncertain,False,no detectable trend,late_summer
Kolyma,core_2003_2024,seasonal_flow_weighted_DOC,mg C/L/year,19,2003,2024,5.178670006232146,5.201646063623536,0.00400854177460815,-2.893267272531425,0.867246846919314,0.0016911990212678887,-0.007357061315396684,-0.029239766081871343,0.8902671597910886,0.07740485046902328,1.6255018598494886,flat_or_uncertain,False,no detectable trend,late_summer
Kolyma,core_2003_2024,seasonal_flux_TgC,Tg C/year,19,2003,2024,0.5540821376176329,0.5113029891600231,-0.0020852718868054265,4.75316121073214,0.7454051126421467,0.006366477854628135,-0.0002244298562304488,-0.017543859649122806,0.945006868714699,-0.37634706936617646,-7.9032884566897055,flat_or_uncertain,False,no detectable trend,may_july
Kolyma,core_2003_2024,seasonal_fraction_of_annual,fraction/year,19,2003,2024,0.7016389725905773,0.6936638729531033,-0.0018197377746677055,4.36601619673723,0.5515626177848892,0.021246420980275574,-0.0030027370822363064,-0.12280701754385964,0.48933805877747416,-0.2593552875133071,-5.446461037779448,flat_or_uncertain,False,no detectable trend,may_july
Kolyma,core_2003_2024,seasonal_Q_volume_km3,km3/year,19,2003,2024,63.74356901052633,60.7023936,-0.1778244523719168,421.8258609973441,0.7608472571782792,0.005596184000734167,-0.017025882352941956,-0.017543859649122806,0.945006868714699,-0.2789684593006577,-5.858337645313813,flat_or_uncertain,False,no detectable trend,may_july
