river,year,annual_flux_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,coverage_rate,annual_confidence_tier,fraction_flux_from_low_confidence_days,n_low_confidence_days,n_outside_training_logQ_days,n_outside_training_doy_days,n_outside_training_year_days,n_point_prediction_clipped_days,cohort_core_2003_2024,cohort_full_2000_2025,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,exclusion_or_caveat_reason
Kolyma,2000,0.5948597624241829,0.393465951880514,0.8815092643578185,1.0,high,0.0063406749058829,97.0,66.0,31.0,366.0,13.0,False,True,True,True,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present
Kolyma,2001,0.6966990235713663,0.4826721512298813,0.999117872595924,1.0,high,0.0812933513406258,32.0,2.0,30.0,365.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2002,0.895630328772087,0.6348522001144443,1.26434248254406,1.0,low,0.2891884905433,40.0,10.0,30.0,365.0,0.0,False,True,False,True,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2003,0.5977217300829397,0.4040486504846414,0.8722607169250208,1.0,high,0.005042914907701,30.0,0.0,30.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2004,0.8704116860165823,0.5982809446311348,1.2547045530244112,1.0,high,0.0368390455527596,32.0,1.0,31.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2005,0.519839588533181,0.3240604111574656,0.7961898481774322,1.0,high,0.0119551602949121,30.0,0.0,30.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2006,0.8625503022947358,0.5855436585963572,1.2535564293780184,1.0,high,0.0078905939637366,30.0,0.0,30.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2007,1.1481997525946228,0.81974232907225,1.611830744864532,1.0,medium,0.2095019814920035,38.0,8.0,30.0,0.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2008,0.8468597193710968,0.5885172979858672,1.2115205386875665,1.0,medium,0.1573151892924767,35.0,4.0,31.0,0.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2009,0.532606961111959,0.3425789767672371,0.8011755894928119,0.6904109589041096,low,0.0058587070950657,9.0,0.0,9.0,0.0,0.0,False,True,False,False,True,coverage_lt_0_90
Kolyma,2010,0.5640957068062238,0.3740323879505959,0.8324801332581205,0.7726027397260274,low,0.0112529093336223,30.0,0.0,30.0,0.0,0.0,False,True,False,False,True,coverage_lt_0_90
Kolyma,2011,0.9254373397715197,0.6475039750064396,1.3182771762829053,1.0,high,0.0301343187091162,31.0,1.0,30.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2012,0.5898186899476296,0.3956177870155269,0.8654598414142458,1.0,high,0.0049583184297925,41.0,10.0,31.0,0.0,5.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Kolyma,2013,0.8485616192498134,0.5799394510755221,1.2281250671072752,1.0,high,0.0029288473191852,53.0,23.0,30.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2014,1.0074572710430716,0.7188728822636626,1.4158814217302778,1.0,medium,0.2117626849357811,53.0,23.0,30.0,0.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2015,0.5157002814028073,0.3401379134033617,0.7643859042763095,1.0,high,0.0058033499712326,30.0,0.0,30.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2016,0.5496165417640911,0.3559121021113015,0.8241433408093692,1.0,high,0.006992946668555,40.0,9.0,31.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2017,1.2622504898001543,0.9117516931478336,1.7575398382568836,1.0,high,0.0038484522709079,33.0,3.0,30.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2018,1.135503098137708,0.8174380219504167,1.5845220300222262,1.0,low,0.3862879047956379,46.0,16.0,30.0,0.0,0.0,False,True,False,True,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count
Kolyma,2019,0.6329624316865551,0.4314001348755774,0.918200365154086,1.0,high,0.0963302947909284,32.0,2.0,30.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2020,0.5675538891937405,0.3703915464211935,0.8463660837922181,1.0,high,0.0117894691407736,62.0,31.0,31.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2021,0.7180849553642874,0.4832171854764617,1.0496179579930174,1.0,high,0.0118588904366848,30.0,0.0,30.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Kolyma,2022,0.7495383593446343,0.5030221132461951,1.097506051971583,1.0,high,0.0141149234146774,30.0,0.0,30.0,365.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2023,0.8083983597846045,0.5507564071062268,1.172096066158247,1.0,high,0.0138796940651908,30.0,0.0,30.0,365.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2024,0.9346810172539346,0.6308632086852611,1.3635321923785206,1.0,high,0.0134618967489162,31.0,0.0,31.0,366.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Kolyma,2025,0.9946645038962282,0.6905299700821739,1.4239627495671825,1.0,high,0.0683818699404435,32.0,2.0,30.0,365.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Lena,2000,7.066418276277466,4.564844923862966,10.51327828437928,1.0,high,0.0119843777524446,25.0,0.0,25.0,366.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2001,5.4538635853954265,3.515445725101406,8.128070847588306,1.0,high,0.0064181515292311,24.0,0.0,24.0,365.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2002,5.7790380728334805,3.7194264152884826,8.616947032701702,1.0,high,0.0099321462853146,24.0,0.0,24.0,365.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;outside_training_year_range
Lena,2003,4.734650096995691,2.8825694509241373,7.286589141502121,1.0,high,0.011833844063021,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2004,5.880009442538224,3.7256970648544496,8.85801742095304,1.0,high,0.0161593555382571,46.0,21.0,25.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Lena,2005,6.652625550753337,4.233496441719416,9.985887544576476,1.0,high,0.0122664039937253,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2006,7.004697718086287,4.527105542632183,10.418514617645142,1.0,high,0.016536532763394,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2007,7.486992388815694,4.86606249134632,11.098311017112575,1.0,high,0.0124823534582026,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2008,7.476925346513558,4.847891855441296,11.099409728828707,1.0,high,0.0118218555735421,25.0,0.0,25.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2009,7.193357622149724,4.685701580535355,10.648598826879052,1.0,high,0.01254510722147,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2010,5.670996581843936,3.5864486825945834,8.545315808615596,1.0,high,0.0124518504119236,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2011,4.906607670787668,2.997043920788726,7.538197901415353,1.0,high,0.0185217029275328,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2012,6.850384360073212,4.3876323481875215,10.243753341817351,1.0,high,0.0073500973348582,25.0,0.0,25.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2013,7.236421063511426,4.701146217011222,10.729717580087064,1.0,high,0.0121256404236884,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2014,6.78379058734266,4.439468234538528,10.013978083615925,1.0,high,0.0856816349171507,26.0,2.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2015,6.517510777279808,4.263497548369036,9.623263422496525,1.0,high,0.007483897639399,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2016,6.834065842591718,4.402699059865969,10.184278313447514,1.0,high,0.0139120881080358,25.0,0.0,25.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2017,6.445062408865316,4.15710564344693,9.597585067205454,1.0,high,0.0158012896428812,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2018,7.131941414940964,4.575935205113561,10.65425512973646,1.0,high,0.0110360436363992,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2019,4.423662754833697,2.700880038573888,6.7974451752426175,1.0,high,0.0142639791769034,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2020,6.186729927596507,4.03704479131766,9.151540388453745,1.0,high,0.0124927391373136,25.0,0.0,25.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2021,5.660341208702292,3.521222221433922,8.607783738288719,1.0,high,0.0076450827457768,24.0,0.0,24.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Lena,2022,6.589599312828729,4.153613796887896,9.94608735948444,1.0,high,0.0073727528169112,24.0,0.0,24.0,365.0,0.0,True,True,True,False,False,outside_training_year_range
Lena,2023,5.890770476920316,3.768832691085595,8.815225498953117,1.0,high,0.0097947487497831,24.0,0.0,24.0,365.0,0.0,True,True,True,False,False,outside_training_year_range
Lena,2024,5.09672870739132,3.164890588702346,7.758563726943583,0.9672131147540984,medium,0.0137035158993528,13.0,0.0,13.0,354.0,0.0,True,True,False,False,False,outside_training_year_range
Lena,2025,8.167522508833459,5.4780416695878,11.873295892773758,0.6328767123287671,low,0.0102957107141448,22.0,0.0,22.0,231.0,0.0,False,True,False,False,True,coverage_lt_0_90
Mackenzie,2000,1.3378204838596184,0.9705516077962184,1.7110113624003094,1.0,high,0.021897945573653,21.0,0.0,21.0,366.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;outside_training_year_range
Mackenzie,2001,1.5728859893787734,1.1598216159152186,1.9926107917606488,1.0,high,0.0222023453446891,20.0,0.0,20.0,365.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;outside_training_year_range
Mackenzie,2002,1.5880289407851949,1.172834435431643,2.009918222226544,1.0,high,0.0464769401165023,22.0,2.0,20.0,365.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;outside_training_year_range
Mackenzie,2003,1.5275953578994892,1.1246719087025845,1.9370157193582729,1.0,high,0.0236075530544713,20.0,0.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2004,1.2236853327335306,0.8833295390563747,1.5695291706874592,1.0,high,0.0631002661341706,23.0,2.0,21.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2005,1.6940282972452965,1.2605347664569273,2.134511665535647,1.0,high,0.0582146725950256,24.0,4.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2006,1.6190004974322822,1.1996731620945698,2.0450892483990093,1.0,high,0.0755346094427696,32.0,12.0,20.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2007,1.7518931710819536,1.3050050623222902,2.205987097322023,1.0,high,0.0248471076439991,20.0,0.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2008,1.7023368527905034,1.2646251464482867,2.1471064123248604,1.0,high,0.0305241442379017,21.0,0.0,21.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2009,1.785957901923476,1.333626382582129,2.2455830106558112,1.0,high,0.0704609329483949,25.0,5.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2010,1.471146842490147,1.0771718178190597,1.8714744911491443,1.0,high,0.0306407676797644,27.0,7.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2011,1.4712441840681203,1.0804456513537413,1.8683441216378809,1.0,high,0.0253373113538634,20.0,0.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2012,1.598309291519434,1.183764815436375,2.0195380623367063,1.0,medium,0.1224471041892169,30.0,9.0,21.0,0.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2013,1.6330390029291462,1.2123274325981537,2.0605343088939065,1.0,medium,0.1760548424061565,38.0,18.0,20.0,0.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2014,1.3589460359541097,0.9910540203202548,1.7327701018376649,1.0,high,0.032422524867919,30.0,10.0,20.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2015,1.3128870724813828,0.9526247169540716,1.6789584543132785,1.0,high,0.0240333648610444,20.0,0.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2016,1.4238023634115673,1.0413139171264416,1.8124582191181344,1.0,high,0.0247015916601049,21.0,0.0,21.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2017,1.4307360516027368,1.0483949141091258,1.8192422232470131,1.0,high,0.045560740529991,22.0,2.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2018,1.276179810508374,0.926084099830358,1.6319206161047142,1.0,high,0.0273768812068147,26.0,6.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2019,1.1100524413553532,0.7894453786803012,1.4358291112123402,1.0,high,0.0289730786464574,20.0,0.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2020,2.193086665294724,1.6623569394623343,2.7323741071656724,1.0,medium,0.1055751231443848,32.0,11.0,21.0,0.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2021,2.005616538749908,1.5077806322392564,2.5114797671050915,1.0,high,0.0726447502352644,25.0,5.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Mackenzie,2022,1.8226606726830896,1.3671061305127945,2.285560773660846,1.0,medium,0.1685261870497312,35.0,15.0,20.0,0.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2023,1.0172773689433805,0.7210300362683192,1.3183015219599776,0.9945205479452056,high,0.0349769899218896,37.0,18.0,20.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2024,0.781065014076653,0.5341836633198866,1.0319271866946382,1.0,high,0.0580158022393047,55.0,34.0,21.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Mackenzie,2025,0.7345800655910971,0.5074895340625818,0.9653323032372008,0.9088235294117648,low,0.0206051508155221,13.0,0.0,13.0,309.0,0.0,False,True,False,True,False,outside_core_2003_2024_period;coverage_lt_0_95;annual_confidence_tier_low;outside_training_year_range
Ob,2000,3.712977843600731,2.62472075442118,5.196882813224987,0.8360655737704918,low,0.0151170538398331,18.0,0.0,18.0,306.0,0.0,False,True,False,False,True,coverage_lt_0_90
Ob,2001,4.817518007038791,3.4560650508261097,6.673942217568614,1.0,high,0.0356946933089321,70.0,51.0,19.0,365.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Ob,2002,6.014554945067764,4.367617898011335,8.260254139756968,1.0,high,0.0375013980597009,23.0,4.0,19.0,365.0,0.0,False,True,True,True,False,outside_core_2003_2024_period;outside_training_year_range
Ob,2003,3.925575699706013,2.7613271010967555,5.513099731051248,1.0,high,0.0766388530042372,26.0,7.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2004,3.480424714362392,2.433868617448516,4.907467835553435,1.0,high,0.0305016922146815,21.0,1.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2005,3.5354676231389224,2.4590121081006413,5.0032804260392085,1.0,high,0.0152675626034379,19.0,0.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2006,3.596825489156057,2.5197007349245606,5.065550840547462,1.0,high,0.0197086113204495,19.0,0.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2007,5.140499281886072,3.685715971849952,7.124185126851748,1.0,high,0.0179258868726422,19.0,0.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2008,4.064104539431131,2.861230840423221,5.704296252892739,1.0,high,0.0237503119072204,20.0,0.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2009,3.942709696648059,2.766475144280295,5.546577307580122,1.0,high,0.0149862984738529,19.0,0.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2010,3.569067182977504,2.486648866919656,5.045010629044549,1.0,high,0.0342121081279126,54.0,35.0,19.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Ob,2011,3.957221796028007,2.757664884309361,5.592890867559998,1.0,medium,0.1055261268918369,29.0,10.0,19.0,0.0,0.0,True,True,False,False,False,meets_core_annual_criteria
Ob,2012,2.721498794319929,1.8301090137347609,3.936963171657303,1.0,high,0.0272861184694559,20.0,0.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2013,3.6749925604503457,2.567566639996415,5.1850354016058455,1.0,high,0.0344813153911118,51.0,32.0,19.0,0.0,0.0,True,True,True,False,False,large_logQ_or_doy_extrapolation_day_count
Ob,2014,4.946947539556345,3.526403601159364,6.883945911279429,1.0,high,0.0272438954521263,19.0,0.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2015,5.771512611062653,4.163648187747683,7.963933898240201,1.0,high,0.022352384636198,19.0,0.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2016,4.655906590068793,3.284441897358448,6.525982414441677,1.0,high,0.0306126478354607,21.0,1.0,20.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2017,4.661911721049173,3.309588241029765,6.505887333515209,1.0,high,0.024805246668051,20.0,1.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2018,4.471495130533907,3.1825486276847728,6.229052366020994,1.0,medium,0.1649138947194861,37.0,18.0,19.0,0.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Ob,2019,4.425031253665647,3.1255743454511484,6.196920068436254,1.0,high,0.0269677527262309,19.0,0.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2020,4.689206590767031,3.3176651797693477,6.559387025207679,1.0,medium,0.1593385449411546,39.0,19.0,20.0,0.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count
Ob,2021,3.763209051739778,2.619418663087434,5.322837065014902,1.0,high,0.0177226085199467,19.0,0.0,19.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Ob,2022,3.695153207425641,2.5835972858366585,5.210827557229044,1.0,high,0.0327535859829122,21.0,2.0,19.0,365.0,0.0,True,True,True,False,False,outside_training_year_range
Ob,2023,3.188036330702168,2.1909313074408945,4.5476498944145884,1.0,high,0.0195907188695536,19.0,0.0,19.0,365.0,0.0,True,True,True,False,False,outside_training_year_range
Ob,2024,5.013147175459088,3.603704373239977,6.935008470376877,1.0,medium,0.1463521925705584,39.0,19.0,20.0,366.0,0.0,True,True,False,False,False,large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Ob,2025,4.81577834250235,3.4527833487141675,6.674305215394209,1.0,low,0.2877744222397974,40.0,38.0,2.0,344.0,0.0,False,True,False,True,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
Yenisey,2000,3.987191525016431,3.134004030068409,5.117773256644044,1.0,low,0.3198057446101485,11.0,11.0,0.0,208.0,0.0,False,True,False,True,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range
Yenisey,2001,4.66742299701097,3.726912620868604,5.9137186307011405,1.0,low,0.4344898626665448,14.0,14.0,0.0,211.0,0.0,False,True,False,True,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range
Yenisey,2002,4.785513950728447,3.838624400172556,6.040262800268008,1.0,low,0.4615561986332222,17.0,17.0,0.0,195.0,0.0,False,True,False,True,False,outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range
Yenisey,2003,4.1574746357351975,3.313866735551783,5.275362188297374,1.0,low,0.4484653899542953,15.0,15.0,0.0,201.0,0.0,False,True,False,True,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range
Yenisey,2004,4.296356514834206,3.4093200866565394,5.471792379663631,1.0,low,0.379185512267881,14.0,14.0,0.0,0.0,0.0,False,True,False,True,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
Yenisey,2005,3.9894128837586975,3.128889802512738,5.129715198386338,1.0,low,0.3631129248975848,12.0,12.0,0.0,0.0,0.0,False,True,False,True,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
Yenisey,2006,3.7860978760569424,2.956727822696532,4.885118474273075,1.0,low,0.3008469130702919,10.0,10.0,0.0,0.0,0.0,False,True,False,True,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
Yenisey,2007,4.755622259608573,3.770781109309149,6.060661796259876,1.0,medium,0.1109349913422287,5.0,5.0,0.0,0.0,0.0,True,True,False,False,False,meets_core_annual_criteria
Yenisey,2008,4.468990523099104,3.5305632058506253,5.712525839338212,1.0,medium,0.1184557523878944,5.0,5.0,0.0,0.0,0.0,True,True,False,False,False,meets_core_annual_criteria
Yenisey,2009,3.900111368309247,3.0529130545791627,5.022756674576078,1.0,high,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,False,False,meets_core_annual_criteria
Yenisey,2010,3.900471358715519,3.028336694348581,5.05616049491472,1.0,medium,0.1616534728220565,6.0,6.0,0.0,0.0,0.0,True,True,False,False,False,meets_core_annual_criteria
Yenisey,2011,4.63316525491252,3.687826391586701,5.885859247033088,1.0,low,0.3471502457216314,14.0,14.0,0.0,0.0,0.0,False,True,False,True,False,low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low
