river,year,may_july_flux_TgC,annual_flux_TgC,may_july_flux_fraction_of_annual,may_july_coverage_rate,confidence_tier,core_may_july_interpretation_allowed,caveat_reason,window_label
Kolyma,2000,0.4170989718043138,0.5948597624241829,0.7011719369024807,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Kolyma,2001,0.5846269553563431,0.6966990235713663,0.8391384738268647,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Kolyma,2002,0.7222209424749944,0.895630328772087,0.8063828560441475,1.0,low,False,annual_year_not_in_core_cohort;may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low,provisional May-July flux window
Kolyma,2003,0.5112050751067724,0.5977217300829397,0.855255965072305,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2004,0.6023580521660749,0.8704116860165823,0.6920381031678834,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2005,0.2926687285020063,0.519839588533181,0.562998153580074,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2006,0.511302989160028,0.8625503022947358,0.5927804880477735,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2007,0.8491481373359211,1.1481997525946228,0.7395473961887508,1.0,low,False,may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low,provisional May-July flux window
Kolyma,2008,0.6369159579987853,0.8468597193710968,0.7520914543813443,1.0,medium,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2009,0.3334833377316467,0.532606961111959,,0.967391304347826,medium,False,annual_year_not_in_core_cohort;annual_fraction_not_available,provisional May-July flux window
Kolyma,2010,0.3270420566488123,0.5640957068062238,,1.0,high,False,annual_year_not_in_core_cohort;annual_fraction_not_available,provisional May-July flux window
Kolyma,2011,0.6812197113045719,0.9254373397715197,0.7361057113523836,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2012,0.4091359168092018,0.5898186899476296,0.693663872953109,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2013,0.5216686019631955,0.8485616192498134,0.6147680853446875,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2014,0.7954780812232998,1.0074572710430716,0.7895898953607243,1.0,low,False,may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low,provisional May-July flux window
Kolyma,2015,0.4045068445213202,0.5157002814028073,0.7843836024695995,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2016,0.3531993014957501,0.5496165417640911,0.6426285867635911,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2017,1.0124068809375315,1.2622504898001543,0.8020649539203748,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2018,0.8901651770127829,1.135503098137708,0.7839390121195672,1.0,low,False,annual_year_not_in_core_cohort;may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low,provisional May-July flux window
Kolyma,2019,0.4902776413762194,0.6329624316865551,0.7745762099495446,1.0,medium,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2020,0.4182337046252013,0.5675538891937405,0.7369057151900387,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2021,0.4972282701514614,0.7180849553642874,0.6924365514651613,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2022,0.5069409078383945,0.7495383593446343,0.6763375103065344,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2023,0.5209472422775223,0.8083983597846045,0.6444189748434512,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2024,0.5127185699418376,0.9346810172539346,0.548549248863735,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Kolyma,2025,0.6554645035058768,0.9946645038962282,0.6589804913499361,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Lena,2000,4.79936152998918,7.066418276277466,0.6791788063411165,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Lena,2001,4.174158377103936,5.4538635853954265,0.7653580460431141,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Lena,2002,4.370906621595479,5.7790380728334805,0.7563380906145181,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Lena,2003,3.182690146436308,4.734650096995691,0.672212324297384,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2004,4.0036244128729,5.880009442538224,0.6808874121713409,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2005,4.028988291770754,6.652625550753337,0.6056237888384558,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2006,4.410185261459497,7.004697718086287,0.6296039370938591,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2007,4.981992561655322,7.486992388815694,0.6654197443953035,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2008,4.382385806603096,7.476925346513558,0.5861213805814678,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2009,4.881960497955924,7.193357622149724,0.6786761835562622,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2010,3.973948571227969,5.670996581843936,0.700749597337234,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2011,3.1531039697060708,4.906607670787668,0.6426240248387123,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2012,4.381777396411676,6.850384360073212,0.6396396415287926,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2013,4.466697827984471,7.236421063511426,0.6172523390750614,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2014,4.827657386717704,6.78379058734266,0.7116459926881071,1.0,medium,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2015,5.063632074478358,6.517510777279808,0.776927303615714,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2016,4.494119652166622,6.834065842591718,0.6576055536600294,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2017,4.345007757799754,6.445062408865316,0.6741606957634897,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2018,3.991734874557026,7.131941414940964,0.5596982143171557,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2019,3.113550484209125,4.423662754833697,0.70383993011379,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2020,4.691017104138124,6.186729927596507,0.7582385458937506,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2021,3.5724824183507677,5.660341208702292,0.631142591343854,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2022,3.5623793328478617,6.589599312828729,0.540606365232643,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2023,4.411952466273297,5.890770476920316,0.7489601714341207,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2024,3.320898037612733,5.09672870739132,0.6515744172917695,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Lena,2025,6.088796681520108,8.167522508833459,,0.8478260869565217,low,False,annual_year_not_in_core_cohort;may_july_coverage_lt_0_95;may_july_confidence_tier_low;annual_fraction_not_available,provisional May-July flux window
Mackenzie,2000,0.5961266362671316,1.3378204838596184,0.4455953870188199,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Mackenzie,2001,0.7639253451871808,1.5728859893787734,0.4856838641489206,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Mackenzie,2002,0.7266554977223548,1.5880289407851949,0.4575832839438447,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Mackenzie,2003,0.8112333657234286,1.5275953578994892,0.5310525208972291,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2004,0.6192880499505266,1.2236853327335306,0.5060843939079742,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2005,0.9005068088822354,1.6940282972452965,0.5315771940448534,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2006,0.8844304710778039,1.6190004974322822,0.5462817784679507,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2007,0.9163758668886832,1.7518931710819536,0.5230774809874609,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2008,0.8726532113672915,1.7023368527905034,0.5126207600668584,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2009,0.9596598987145216,1.785957901923476,0.5373362371425262,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2010,0.6936342156290914,1.471146842490147,0.4714921689632332,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2011,0.7219454312569082,1.4712441840681203,0.4907040170997754,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2012,0.8729590359768218,1.598309291519434,0.5461765383012587,1.0,medium,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2013,0.8444269726096691,1.6330390029291462,0.5170892863520339,1.0,low,False,may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low,provisional May-July flux window
Mackenzie,2014,0.7291034987902518,1.3589460359541097,0.5365213036427541,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2015,0.5995579617603417,1.3128870724813828,0.4566713880632286,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2016,0.7263553763960167,1.4238023634115673,0.510151826588909,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2017,0.7639929817625354,1.4307360516027368,0.5339859723997983,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2018,0.6825795004604414,1.276179810508374,0.5348615413282017,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2019,0.4526292966394426,1.1100524413553532,0.4077548769558947,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2020,1.0338128715926471,2.193086665294724,0.4713962689904529,1.0,medium,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2021,0.96456797877677,2.005616538749908,0.4809333988529936,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2022,1.0929795816449477,1.8226606726830896,0.5996615815691033,1.0,medium,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2023,0.5329960299339428,1.0172773689433805,0.5239436619803622,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2024,0.3850016089198021,0.781065014076653,0.4929187737014917,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Mackenzie,2025,0.2660749351895766,0.7345800655910971,,0.717391304347826,low,False,annual_year_not_in_core_cohort;may_july_coverage_lt_0_95;may_july_confidence_tier_low;annual_fraction_not_available,provisional May-July flux window
Ob,2000,2.2187131896996517,3.712977843600731,,1.0,high,False,annual_year_not_in_core_cohort;annual_fraction_not_available,provisional May-July flux window
Ob,2001,2.4520708393089263,4.817518007038791,0.5089904875760192,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Ob,2002,2.620187720218405,6.014554945067764,0.4356411644999752,1.0,high,False,annual_year_not_in_core_cohort,provisional May-July flux window
Ob,2003,2.39162183047743,3.925575699706013,0.609241042188166,1.0,medium,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2004,2.0862266455356258,3.480424714362392,0.5994172598897372,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2005,2.1250089669119467,3.5354676231389224,0.601054568568014,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2006,1.9465376847163025,3.596825489156057,0.5411821314614375,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2007,2.431751789329555,5.140499281886072,0.4730575097828501,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2008,2.2872946593946217,4.064104539431131,0.5628040905942797,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2009,2.232505553471828,3.942709696648059,0.5662363514538792,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2010,1.924388525426851,3.569067182977504,0.5391852903764689,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2011,2.345890824427184,3.957221796028007,0.5928125703699074,1.0,medium,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2012,1.4441116190201793,2.721498794319929,0.530630997167517,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2013,1.767865420948046,3.6749925604503457,0.4810527890514711,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2014,2.5073959467373665,4.946947539556345,0.5068571935901782,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2015,2.528562376988827,5.771512611062653,0.4381108640639818,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2016,2.6016400464289555,4.655906590068793,0.5587826980846957,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2017,2.522128979385972,4.661911721049173,0.5410074515135522,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2018,2.1347209132445077,4.471495130533907,0.4774065163724368,1.0,low,False,may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low,provisional May-July flux window
Ob,2019,2.2484701742407074,4.425031253665647,0.50812526405957,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2020,2.7977779365601854,4.689206590767031,0.5966420720445466,1.0,medium,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
Ob,2021,2.112710711186241,3.763209051739778,0.5614119976166375,1.0,high,True,provisional_may_july_core_interpretation_allowed,provisional May-July flux window
