river,window_id,window_label,n_years,mean_window_fraction_of_annual,median_window_fraction_of_annual,annual_flux_window_flux_correlation,annual_flux_window_fraction_correlation,ols_r2_annual_flux_vs_window_flux,annual_variability_explained_category,is_dynamic_window,notes
Kolyma,discharge_centered_freshet,Discharge-centered freshet,19,0.7262544632453078,0.7275100124686174,0.9247059523366583,0.40473832245244784,0.8550810982868462,strong,True,operational_window_definition;not_causal_proof
Kolyma,common_overlap_w1_w2,Common overlap W1/W2,19,0.5588285021877816,0.6078837878531359,0.7830716453541169,0.13241856860851903,0.613201201757604,moderate,True,operational_window_definition;not_causal_proof
Kolyma,q75_peak_contiguous,Q75 high-flow peak window,19,0.5588285021877816,0.6078837878531359,0.7830716453541169,0.13241856860851903,0.613201201757604,moderate,True,operational_window_definition;not_causal_proof
Kolyma,snow_depletion_assisted,Snow-depletion assisted,19,0.6777467012775645,0.7144717438666439,0.3809397038326482,-0.25404794382726364,0.14511505795610571,weak,True,operational_window_definition;not_causal_proof
Kolyma,fixed_may_july_reference,Fixed May-July reference,19,0.7016389725905773,0.6936638729531034,0.9259242794979979,0.10452990528066987,0.8573357713638868,strong,False,operational_window_definition;not_causal_proof
Lena,discharge_centered_freshet,Discharge-centered freshet,22,0.6903862491598736,0.7178108757038684,0.6449328286780778,-0.05082964341552831,0.4159383535067068,moderate,True,operational_window_definition;not_causal_proof
Lena,snow_depletion_assisted,Snow-depletion assisted,22,0.6743953977553345,0.7032534769237471,0.636578192435446,-0.043307883293613667,0.40523179508437956,moderate,True,operational_window_definition;not_causal_proof
Lena,common_overlap_w1_w2,Common overlap W1/W2,22,0.526195870890363,0.5215089157430315,0.4324970647799729,-0.320101060635964,0.18705371104329202,weak,True,operational_window_definition;not_causal_proof
Lena,q75_peak_contiguous,Q75 high-flow peak window,22,0.5321445832605669,0.5342024080649501,0.40216630797756536,-0.3555149187809657,0.16173773927230595,weak,True,operational_window_definition;not_causal_proof
Lena,fixed_may_july_reference,Fixed May-July reference,22,0.6606004615940128,0.6615126490276657,0.788072099100537,-0.3085769919072572,0.6210576333807264,moderate,False,operational_window_definition;not_causal_proof
Mackenzie,discharge_centered_freshet,Discharge-centered freshet,22,0.5419628945424506,0.5834708000547466,0.6185014817831469,-0.08112162855125028,0.3825440829679485,weak,True,operational_window_definition;not_causal_proof
Mackenzie,snow_depletion_assisted,Snow-depletion assisted,22,0.3520968788643422,0.4230789666320515,0.44123324119424906,0.21430209465618286,0.19468677313478247,weak,True,operational_window_definition;not_causal_proof
Mackenzie,common_overlap_w1_w2,Common overlap W1/W2,22,0.22695177956355808,0.23397245308704395,0.3051807929485516,0.006917681835633201,0.09313531638470676,weak,True,operational_window_definition;not_causal_proof
Mackenzie,q75_peak_contiguous,Q75 high-flow peak window,22,0.22695177956355808,0.23397245308704395,0.3051807929485516,0.006917681835633201,0.09313531638470676,weak,True,operational_window_definition;not_causal_proof
Mackenzie,fixed_may_july_reference,Fixed May-July reference,22,0.5119224077411033,0.5200833836697449,0.9466110059262762,0.2229070423907803,0.8960723965407565,strong,False,operational_window_definition;not_causal_proof
Ob,discharge_centered_freshet,Discharge-centered freshet,22,0.6369144417652457,0.6545342240083767,0.4327939375040605,-0.36192167143647136,0.18731059234026864,weak,True,operational_window_definition;not_causal_proof
Ob,common_overlap_w1_w2,Common overlap W1/W2,22,0.31487868533150687,0.3396992490187508,-0.13900635447455195,-0.6596424836585578,0.019322766584304797,weak,True,operational_window_definition;not_causal_proof
Ob,snow_depletion_assisted,Snow-depletion assisted,22,0.3003911884562353,0.13732239339284463,-0.12914822280878255,-0.26759021448462184,0.01667926345466694,weak,True,operational_window_definition;not_causal_proof
Ob,q75_peak_contiguous,Q75 high-flow peak window,22,0.31846579749688597,0.3463729687277093,-0.11209004335029,-0.6408826041903285,0.012564177818269899,weak,True,operational_window_definition;not_causal_proof
Ob,fixed_may_july_reference,Fixed May-July reference,22,0.5445741109992164,0.5499824147730655,0.8107443444779695,-0.5359883304667838,0.6573063921030124,moderate,False,operational_window_definition;not_causal_proof
Yenisey,discharge_centered_freshet,Discharge-centered freshet,14,0.7393433908459819,0.7579569993747016,0.9017158570252343,-0.3567100253351477,0.8130914868107525,strong,True,operational_window_definition;not_causal_proof
Yenisey,common_overlap_w1_w2,Common overlap W1/W2,14,0.5904971417100314,0.595367385318958,0.8926991198348225,-0.5578840043594175,0.7969117185538669,strong,True,operational_window_definition;not_causal_proof
Yenisey,q75_peak_contiguous,Q75 high-flow peak window,14,0.5904971417100314,0.595367385318958,0.8926991198348225,-0.5578840043594175,0.7969117185538669,strong,True,operational_window_definition;not_causal_proof
Yenisey,snow_depletion_assisted,Snow-depletion assisted,14,0.4625399181365894,0.4812696757950795,0.7075009823995086,0.36244246488380316,0.5005576400962698,moderate,True,operational_window_definition;not_causal_proof
Yenisey,fixed_may_july_reference,Fixed May-July reference,14,0.7674480960284038,0.7747658903945867,0.9494811535931716,-0.4489739975774163,0.9015144610286204,strong,False,operational_window_definition;not_causal_proof
Yukon,discharge_centered_freshet,Discharge-centered freshet,22,0.5843677803415013,0.6053363302437392,0.8406162782831893,0.47133605982015003,0.7066357273146802,moderate,True,operational_window_definition;not_causal_proof
Yukon,snow_depletion_assisted,Snow-depletion assisted,22,0.567213206104621,0.5955060563754617,0.8257751967085742,0.47778030269081356,0.6819046754990845,moderate,True,operational_window_definition;not_causal_proof
Yukon,common_overlap_w1_w2,Common overlap W1/W2,22,0.35376501151262174,0.39868726503479673,0.6018569514859226,0.2441618513706612,0.3622317900519281,weak,True,operational_window_definition;not_causal_proof
Yukon,q75_peak_contiguous,Q75 high-flow peak window,22,0.35748184216286705,0.39868726503479673,0.5902210094638143,0.2318348892923388,0.34836084001248396,weak,True,operational_window_definition;not_causal_proof
Yukon,fixed_may_july_reference,Fixed May-July reference,22,0.6038565314687332,0.5988250082444092,0.8339917181434914,0.05366355956654845,0.695542185931933,moderate,False,operational_window_definition;not_causal_proof
