table_name,year,row_count
doc_labels_gold.csv,2003,5
doc_labels_gold.csv,2004,42
doc_labels_gold.csv,2005,42
doc_labels_gold.csv,2006,11
doc_labels_gold.csv,2007,1
doc_labels_gold.csv,2009,29
doc_labels_gold.csv,2010,31
doc_labels_gold.csv,2011,30
doc_labels_gold.csv,2012,23
doc_labels_gold.csv,2013,33
doc_labels_gold.csv,2014,35
doc_labels_gold.csv,2015,36
doc_labels_gold.csv,2016,37
doc_labels_gold.csv,2017,35
doc_labels_gold.csv,2018,35
doc_labels_gold.csv,2019,26
doc_labels_gold.csv,2020,31
doc_labels_gold.csv,2021,37
doc_labels_gold.csv,2022,10
doc_labels_gold.csv,2023,12
doc_labels_gold.csv,2024,6
training_matrix_hydrocore.csv,2003,5
training_matrix_hydrocore.csv,2004,42
training_matrix_hydrocore.csv,2005,42
training_matrix_hydrocore.csv,2006,11
training_matrix_hydrocore.csv,2007,1
training_matrix_hydrocore.csv,2009,29
training_matrix_hydrocore.csv,2010,31
training_matrix_hydrocore.csv,2011,30
training_matrix_hydrocore.csv,2012,23
training_matrix_hydrocore.csv,2013,33
training_matrix_hydrocore.csv,2014,35
training_matrix_hydrocore.csv,2015,36
training_matrix_hydrocore.csv,2016,37
training_matrix_hydrocore.csv,2017,35
training_matrix_hydrocore.csv,2018,35
training_matrix_hydrocore.csv,2019,26
training_matrix_hydrocore.csv,2020,31
training_matrix_hydrocore.csv,2021,37
training_matrix_hydrocore.csv,2022,10
training_matrix_hydrocore.csv,2023,12
training_matrix_hydrocore.csv,2024,6
training_matrix_basin_context.csv,2003,5
training_matrix_basin_context.csv,2004,42
training_matrix_basin_context.csv,2005,42
training_matrix_basin_context.csv,2006,11
training_matrix_basin_context.csv,2007,1
training_matrix_basin_context.csv,2009,29
training_matrix_basin_context.csv,2010,31
training_matrix_basin_context.csv,2011,30
training_matrix_basin_context.csv,2012,23
training_matrix_basin_context.csv,2013,33
training_matrix_basin_context.csv,2014,35
training_matrix_basin_context.csv,2015,36
training_matrix_basin_context.csv,2016,37
training_matrix_basin_context.csv,2017,35
training_matrix_basin_context.csv,2018,35
training_matrix_basin_context.csv,2019,26
training_matrix_basin_context.csv,2020,31
training_matrix_basin_context.csv,2021,37
training_matrix_basin_context.csv,2022,10
training_matrix_basin_context.csv,2023,12
training_matrix_basin_context.csv,2024,6
training_matrix_optical_matched_0d.csv,2004,2
training_matrix_optical_matched_0d.csv,2005,7
training_matrix_optical_matched_0d.csv,2009,6
training_matrix_optical_matched_0d.csv,2010,4
training_matrix_optical_matched_0d.csv,2011,7
training_matrix_optical_matched_0d.csv,2012,3
training_matrix_optical_matched_0d.csv,2013,4
training_matrix_optical_matched_0d.csv,2014,3
training_matrix_optical_matched_0d.csv,2015,7
training_matrix_optical_matched_0d.csv,2016,15
training_matrix_optical_matched_0d.csv,2017,18
training_matrix_optical_matched_0d.csv,2018,25
training_matrix_optical_matched_0d.csv,2019,24
training_matrix_optical_matched_0d.csv,2020,19
training_matrix_optical_matched_0d.csv,2021,17
training_matrix_optical_matched_0d.csv,2022,10
training_matrix_optical_matched_0d.csv,2023,11
training_matrix_optical_matched_0d.csv,2024,6
training_matrix_optical_matched_1d.csv,2004,14
training_matrix_optical_matched_1d.csv,2005,18
training_matrix_optical_matched_1d.csv,2007,1
training_matrix_optical_matched_1d.csv,2009,16
training_matrix_optical_matched_1d.csv,2010,7
training_matrix_optical_matched_1d.csv,2011,14
training_matrix_optical_matched_1d.csv,2012,5
training_matrix_optical_matched_1d.csv,2013,6
training_matrix_optical_matched_1d.csv,2014,10
training_matrix_optical_matched_1d.csv,2015,11
training_matrix_optical_matched_1d.csv,2016,25
training_matrix_optical_matched_1d.csv,2017,33
training_matrix_optical_matched_1d.csv,2018,34
training_matrix_optical_matched_1d.csv,2019,25
training_matrix_optical_matched_1d.csv,2020,25
training_matrix_optical_matched_1d.csv,2021,25
training_matrix_optical_matched_1d.csv,2022,10
training_matrix_optical_matched_1d.csv,2023,12
training_matrix_optical_matched_1d.csv,2024,6
training_matrix_optical_matched_3d.csv,2003,2
training_matrix_optical_matched_3d.csv,2004,23
training_matrix_optical_matched_3d.csv,2005,26
training_matrix_optical_matched_3d.csv,2006,4
training_matrix_optical_matched_3d.csv,2007,1
training_matrix_optical_matched_3d.csv,2009,20
training_matrix_optical_matched_3d.csv,2010,15
training_matrix_optical_matched_3d.csv,2011,19
training_matrix_optical_matched_3d.csv,2012,7
training_matrix_optical_matched_3d.csv,2013,17
training_matrix_optical_matched_3d.csv,2014,17
training_matrix_optical_matched_3d.csv,2015,20
training_matrix_optical_matched_3d.csv,2016,29
training_matrix_optical_matched_3d.csv,2017,34
training_matrix_optical_matched_3d.csv,2018,35
training_matrix_optical_matched_3d.csv,2019,26
training_matrix_optical_matched_3d.csv,2020,26
training_matrix_optical_matched_3d.csv,2021,25
training_matrix_optical_matched_3d.csv,2022,10
training_matrix_optical_matched_3d.csv,2023,12
training_matrix_optical_matched_3d.csv,2024,6
training_matrix_optical_matched_3d_hls.csv,2016,24
training_matrix_optical_matched_3d_hls.csv,2017,31
training_matrix_optical_matched_3d_hls.csv,2018,31
training_matrix_optical_matched_3d_hls.csv,2019,18
training_matrix_optical_matched_3d_hls.csv,2020,14
training_matrix_optical_matched_3d_hls.csv,2021,7
training_matrix_optical_matched_3d_hls.csv,2022,7
training_matrix_optical_matched_3d_hls.csv,2023,8
training_matrix_optical_matched_3d_hls.csv,2024,4
training_matrix_optical_matched_3d_landsat.csv,2003,2
training_matrix_optical_matched_3d_landsat.csv,2004,23
training_matrix_optical_matched_3d_landsat.csv,2005,26
training_matrix_optical_matched_3d_landsat.csv,2006,4
training_matrix_optical_matched_3d_landsat.csv,2007,1
training_matrix_optical_matched_3d_landsat.csv,2009,20
training_matrix_optical_matched_3d_landsat.csv,2010,15
training_matrix_optical_matched_3d_landsat.csv,2011,19
training_matrix_optical_matched_3d_landsat.csv,2012,7
training_matrix_optical_matched_3d_landsat.csv,2013,17
training_matrix_optical_matched_3d_landsat.csv,2014,17
training_matrix_optical_matched_3d_landsat.csv,2015,20
training_matrix_optical_matched_3d_landsat.csv,2016,5
training_matrix_optical_matched_3d_landsat.csv,2017,3
training_matrix_optical_matched_3d_landsat.csv,2018,2
training_matrix_optical_matched_3d_landsat.csv,2020,1
training_matrix_optical_matched_3d_landsat.csv,2021,2
training_matrix_optical_matched_3d_sentinel2.csv,2018,2
training_matrix_optical_matched_3d_sentinel2.csv,2019,8
training_matrix_optical_matched_3d_sentinel2.csv,2020,11
training_matrix_optical_matched_3d_sentinel2.csv,2021,16
training_matrix_optical_matched_3d_sentinel2.csv,2022,3
training_matrix_optical_matched_3d_sentinel2.csv,2023,4
training_matrix_optical_matched_3d_sentinel2.csv,2024,2
training_matrix_optical_matched_7d.csv,2003,2
training_matrix_optical_matched_7d.csv,2004,27
training_matrix_optical_matched_7d.csv,2005,32
training_matrix_optical_matched_7d.csv,2006,5
training_matrix_optical_matched_7d.csv,2007,1
training_matrix_optical_matched_7d.csv,2009,23
training_matrix_optical_matched_7d.csv,2010,20
training_matrix_optical_matched_7d.csv,2011,23
training_matrix_optical_matched_7d.csv,2012,14
training_matrix_optical_matched_7d.csv,2013,20
training_matrix_optical_matched_7d.csv,2014,22
training_matrix_optical_matched_7d.csv,2015,24
training_matrix_optical_matched_7d.csv,2016,31
training_matrix_optical_matched_7d.csv,2017,35
training_matrix_optical_matched_7d.csv,2018,35
training_matrix_optical_matched_7d.csv,2019,26
training_matrix_optical_matched_7d.csv,2020,26
training_matrix_optical_matched_7d.csv,2021,26
training_matrix_optical_matched_7d.csv,2022,10
training_matrix_optical_matched_7d.csv,2023,12
training_matrix_optical_matched_7d.csv,2024,6
prediction_grid_daily_hydrocore.csv,2000,2038
