river,year,annual_flux_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,may_july_flux_TgC,may_july_flux_90_lower_TgC,may_july_flux_90_upper_TgC,may_july_flux_fraction_of_annual,annual_confidence_tier,may_july_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Kolyma,2000,0.5948597624241829,0.393465951880514,0.8815092643578185,0.4170989718043138,0.3004346823559331,0.582312867331811,0.7011719369024807,high,high,False,True,True,False,annual:outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;point_prediction_clipped_days_present;may_july:annual_year_not_in_core_cohort
Kolyma,2001,0.6966990235713663,0.4826721512298813,0.999117872595924,0.5846269553563431,0.4360867568744544,0.7943492998318574,0.8391384738268647,high,high,False,True,True,False,annual:outside_core_2003_2024_period;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;may_july:annual_year_not_in_core_cohort
Kolyma,2002,0.895630328772087,0.6348522001144443,1.26434248254406,0.7222209424749944,0.5473012936318834,0.9694218701015732,0.8063828560441475,low,low,False,False,True,False,annual:outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;may_july:annual_year_not_in_core_cohort;may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low
Kolyma,2003,0.5977217300829397,0.4040486504846414,0.8722607169250208,0.5112050751067724,0.3728542370633117,0.706704814703831,0.855255965072305,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2004,0.8704116860165823,0.5982809446311348,1.2547045530244112,0.6023580521660749,0.445725665318015,0.8236203012464531,0.6920381031678834,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2005,0.519839588533181,0.3240604111574656,0.7961898481774322,0.2926687285020063,0.2004037602266206,0.4229044781907479,0.562998153580074,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2006,0.8625503022947358,0.5855436585963572,1.2535564293780184,0.511302989160028,0.3740759876305148,0.7050044747378654,0.5927804880477735,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2007,1.1481997525946228,0.81974232907225,1.611830744864532,0.8491481373359211,0.6463966873651728,1.1353400428986768,0.7395473961887508,medium,low,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count;may_july:may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low
Kolyma,2008,0.8468597193710968,0.5885172979858672,1.2115205386875665,0.6369159579987853,0.4770591927938821,0.8625602740206423,0.7520914543813443,medium,medium,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2009,0.532606961111959,0.3425789767672371,0.8011755894928119,0.3334833377316467,0.2343188026396893,0.4737945174412067,,low,medium,False,False,False,True,annual:coverage_lt_0_90;may_july:annual_year_not_in_core_cohort;annual_fraction_not_available
Kolyma,2010,0.5640957068062238,0.3740323879505959,0.8324801332581205,0.3270420566488123,0.2338284825269761,0.4586168020136038,,low,high,False,False,False,True,annual:coverage_lt_0_90;may_july:annual_year_not_in_core_cohort;annual_fraction_not_available
Kolyma,2011,0.9254373397715197,0.6475039750064396,1.3182771762829053,0.6812197113045719,0.509591963406309,0.923902013266401,0.7361057113523836,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2012,0.5898186899476296,0.3956177870155269,0.8654598414142458,0.4091359168092018,0.2999887911854305,0.5635841098242139,0.693663872953109,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count;point_prediction_clipped_days_present
Kolyma,2013,0.8485616192498134,0.5799394510755221,1.2281250671072752,0.5216686019631955,0.382256046996244,0.7186209053428784,0.6147680853446875,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2014,1.0074572710430716,0.7188728822636626,1.4158814217302778,0.7954780812232998,0.6009635174076969,1.0707893311900865,0.7895898953607243,medium,low,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count;may_july:may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low
Kolyma,2015,0.5157002814028073,0.3401379134033617,0.7643859042763095,0.4045068445213202,0.2935249647546396,0.56168261106179,0.7843836024695995,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2016,0.5496165417640911,0.3559121021113015,0.8241433408093692,0.3531993014957501,0.2516660904963527,0.496984003294194,0.6426285867635911,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2017,1.2622504898001543,0.9117516931478336,1.7575398382568836,1.0124068809375315,0.7735580117624438,1.3499315706718953,0.8020649539203748,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2018,1.135503098137708,0.8174380219504167,1.5845220300222262,0.8901651770127829,0.6790788602400712,1.1881792454745468,0.7839390121195672,low,low,False,False,True,False,annual:low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;may_july:annual_year_not_in_core_cohort;may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low
Kolyma,2019,0.6329624316865551,0.4314001348755774,0.918200365154086,0.4902776413762194,0.3640571364780096,0.6684430099746851,0.7745762099495446,high,medium,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2020,0.5675538891937405,0.3703915464211935,0.8463660837922181,0.4182337046252013,0.2989057834017395,0.5867840095275475,0.7369057151900387,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2021,0.7180849553642874,0.4832171854764617,1.0496179579930174,0.4972282701514614,0.3652104497879963,0.6835843921923751,0.6924365514651613,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Kolyma,2022,0.7495383593446343,0.5030221132461951,1.097506051971583,0.5069409078383945,0.3690704477713324,0.7015506612734449,0.6763375103065344,high,high,True,True,False,False,annual:large_logQ_or_doy_extrapolation_day_count;outside_training_year_range
