dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,group_type,group_value,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,p05_residual,p95_residual,flags
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,HLS,98,2.2717942132818703,1.7334395030242027,1.5170097985520545,0.4285330299039204,-0.28702870148504883,-0.2704788251699921,0.7306255234387374,0.6936573718360309,-3.867279560179571,3.2585643854069235,
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Landsat,54,2.6719946143767506,1.788096981054744,1.1881887537187272,0.6042040707164649,0.686487320364551,0.37205710868246733,0.8799756299374529,0.8061895453892183,-2.364990579617422,5.483535626029608,systematic_positive_bias
any_sensor_0d,0d,any_sensor,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Sentinel-2,36,2.1006691293668767,1.562284996716509,1.1190093253984443,0.3634026395974539,-0.19026010870246401,-0.32298820895596014,0.4154974934664349,0.6074593502235887,-3.5397555894868735,2.9476873025690256,
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,sensor,HLS,98,2.155102023755496,1.6535343335801758,1.3942086365620852,0.4857328005281496,-0.10458928525774552,-0.14734277041077504,0.7390550331607406,0.7246998897476101,-3.360937632934307,3.424589502342135,
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,sensor,Landsat,54,2.583139756448784,1.8352383631291656,1.380352567319219,0.6300900839170578,0.5181116513811211,0.06013494974620626,0.8407427476495136,0.8090641607264099,-2.541251824936039,5.108492019286416,systematic_positive_bias
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,sensor,Sentinel-2,36,2.1029944251344546,1.6730795099421598,1.4668260349893378,0.3619925208791681,-0.4484030145504712,-0.4375268336276692,0.3786845185186652,0.6292701089992836,-3.2050781778452957,2.6669942213505524,
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,sensor,HLS,98,2.1537963414551413,1.6523742948629616,1.391602613696092,0.4863557558829691,-0.10488822030510792,-0.15123294574681445,0.7389785171874699,0.7246526271015136,-3.3597870344005556,3.4321305408879303,
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,sensor,Landsat,54,2.5842458222996045,1.833994661831848,1.3773887897587374,0.6297732351517644,0.518232910729134,0.05501137208720053,0.8407427476495136,0.8091020450978345,-2.540129428718841,5.112296135054286,systematic_positive_bias
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_0.1,leave_one_year_out,sensor,Sentinel-2,36,2.101759495935312,1.6731213941271672,1.4695172783718786,0.3627416077246647,-0.4478835880017452,-0.44460120258495905,0.38125885243109664,0.6296496856282148,-3.209791649878062,2.6676827399650804,
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_year_out,sensor,HLS,98,2.143914361774014,1.6427113507183742,1.3713561433835522,0.4910583152883786,-0.10736171722332405,-0.15253449414109177,0.738302626090244,0.7240522984118286,-3.379505727115477,3.49950348681118,
any_sensor_0d,0d,any_sensor,O1_quality_only,O1_quality_only,ridge_alpha_1,leave_one_year_out,sensor,Landsat,54,2.595417038050109,1.823719904536041,1.2963699056798732,0.6265654734450712,0.5189673828781642,0.010229989812144069,0.847720024091392,0.8092280615793956,-2.530181566550941,5.147545038845525,systematic_positive_bias
