dataset_id,window,sensor_scope,comparison_id,comparison_feature_set,feature_set,model_id,validation_scheme,fold_id,fold_group,fold_year,fold_river,n_train,n_test,rivers_in_test,sensors_in_test,fold_skipped,skip_reason,rmse,mae,bias_mean,r2
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2004,2004,2004,,186,2,Yenisey,Landsat,False,,2.4833980069114774,2.4034443165519876,2.4034443165519876,0.1844937969280135
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2005,2005,2005,,181,7,Kolyma;Mackenzie;Ob;Yenisey,Landsat,False,,1.0738453697552592,1.0326276441144475,0.0918250464600214,0.7870985304103404
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2009,2009,2009,,182,6,Kolyma;Mackenzie;Yenisey;Yukon,Landsat,False,,1.921429902779431,1.7753272081419258,-1.0109815095828916,0.37120621012149746
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2010,2010,2010,,184,4,Kolyma;Yenisey;Yukon,Landsat,False,,5.3624199036490685,4.619200730990134,4.619200730990134,-0.89492897680736
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2011,2011,2011,,181,7,Lena;Mackenzie;Ob;Yenisey;Yukon,Landsat,False,,4.428055648793178,2.7203810972994136,2.7203810972994136,0.39535798325258065
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2012,2012,2012,,185,3,Mackenzie;Yenisey,Landsat,False,,1.652253011936514,1.611811225039686,-0.596671934635034,0.5797218587225532
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2013,2013,2013,,184,4,Kolyma;Lena;Mackenzie,Landsat,False,,0.6357597199504736,0.5833655765490455,-0.5833655765490455,0.96265061077572
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2014,2014,2014,,185,3,Mackenzie;Ob;Yukon,Landsat,False,,3.4350794469765042,2.1301266102283436,2.092518638391978,0.6776606044334255
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2015,2015,2015,,181,7,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,Landsat,False,,2.2050261725388283,1.860877832940637,-0.6516974956840084,0.3467015447584718
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2016,2016,2016,,173,15,Kolyma;Lena;Mackenzie;Ob;Yenisey,HLS;Landsat,False,,1.8643779350580125,1.378753097643922,-0.3545847040259844,0.25831359741999205
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2017,2017,2017,,170,18,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat,False,,2.62619454994767,1.8847107596355634,-0.5759754174138606,0.10242814436349235
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2018,2018,2018,,163,25,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.219340413949269,1.7986244202397514,-0.3164044656577239,0.37333177523271466
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2019,2019,2019,,164,24,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Sentinel-2,False,,2.4100634054425747,1.8760623576258215,0.08337141847299716,0.5933023067171882
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2020,2020,2020,,169,19,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,1.7497898882860128,1.3630402007696198,-0.06283223076818427,0.6731573528757057
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2021,2021,2021,,171,17,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.297888652517653,1.8958332426655844,-1.4930329382217238,-0.5770411480101694
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2022,2022,2022,,178,10,Mackenzie;Yukon,HLS;Sentinel-2,False,,2.28261389644469,1.4592953949705596,0.8970388520716497,0.4565053102253446
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2023,2023,2023,,177,11,Mackenzie;Yukon,HLS;Sentinel-2,False,,1.6871089295372574,1.260182070043636,1.0148271343525006,0.5991703829658743
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,loyo_2024,2024,2024,,182,6,Mackenzie;Yukon,HLS;Sentinel-2,False,,0.9943623021179918,0.7842247715814633,-0.7276485321010537,-0.2896880393028616
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,river_year_gkf_1,Kolyma_2016;Kolyma_2017;Lena_2013;Lena_2019;Mackenzie_2009;Mackenzie_2012;Ob_2019;Ob_2021;Yenisey_2004;Yenisey_2010;Yenisey_2015;Yenisey_2019;Yukon_2009;Yukon_2023,,,150,38,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.5077543421413706,2.0453738737401883,0.12987218952456395,0.5542302171489154
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,river_year_gkf_2,Kolyma_2010;Kolyma_2020;Lena_2020;Mackenzie_2011;Mackenzie_2013;Mackenzie_2019;Ob_2011;Ob_2018;Yenisey_2005;Yenisey_2009;Yenisey_2012;Yukon_2020;Yukon_2021;Yukon_2022;Yukon_2024,,,150,38,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.598605536760295,1.80169260503444,0.42279895841926446,0.5514646976168252
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,river_year_gkf_3,Kolyma_2009;Kolyma_2013;Kolyma_2015;Kolyma_2021;Lena_2018;Mackenzie_2005;Mackenzie_2018;Mackenzie_2023;Mackenzie_2024;Ob_2014;Ob_2017;Yenisey_2011;Yukon_2011;Yukon_2017;Yukon_2018,,,150,38,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,1.9538355460395387,1.3792273904554007,-0.10858591872080356,0.4575139751918327
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,river_year_gkf_4,Kolyma_2019;Lena_2015;Lena_2016;Mackenzie_2015;Mackenzie_2016;Mackenzie_2017;Mackenzie_2021;Mackenzie_2022;Ob_2015;Yenisey_2016;Yenisey_2018;Yenisey_2021;Yukon_2014;Yukon_2019,,,151,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,1.9798588738167193,1.5812104302628236,-0.7223941393849679,-0.07206926853482432
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,river_year_groupkfold,river_year_gkf_5,Kolyma_2005;Kolyma_2018;Lena_2011;Lena_2017;Lena_2021;Mackenzie_2014;Mackenzie_2020;Ob_2005;Ob_2016;Ob_2020;Yenisey_2017;Yenisey_2020;Yukon_2010;Yukon_2015,,,151,37,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.6128294536648946,1.8187177624535473,0.33022805505005864,0.5316253760589948
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,loro_Kolyma,Kolyma,,Kolyma,159,29,Kolyma,HLS;Landsat;Sentinel-2,False,,3.848657661459327,2.8505242701949673,2.705468329864872,-0.3709343090765578
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,loro_Lena,Lena,,Lena,166,22,Lena,HLS;Landsat;Sentinel-2,False,,3.9439234540036674,3.0344538433868307,1.428936511707447,0.26153731123255053
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,loro_Mackenzie,Mackenzie,,Mackenzie,144,44,Mackenzie,HLS;Landsat;Sentinel-2,False,,2.1342855213012837,1.9537209377911433,-1.92856108217308,-2.257478889461833
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,loro_Ob,Ob,,Ob,162,26,Ob,HLS;Landsat;Sentinel-2,False,,3.601501890569794,2.9746339635500685,1.8873254117072507,-0.23329347277071477
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,loro_Yenisey,Yenisey,,Yenisey,159,29,Yenisey,HLS;Landsat;Sentinel-2,False,,3.635467304031821,3.063814241240801,-3.063814241240801,-0.7074879640846528
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,B0_F3_same_subset,ridge_alpha_1,leave_one_river_out,loro_Yukon,Yukon,,Yukon,150,38,Yukon,HLS;Landsat;Sentinel-2,False,,2.0726641170703806,1.671656747394969,-0.5443947063602774,0.490423499269696
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2004,2004,2004,,186,2,Yenisey,Landsat,False,,3.265887555972856,3.174995149025272,3.174995149025272,-0.4103830120011045
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2005,2005,2005,,181,7,Kolyma;Mackenzie;Ob;Yenisey,Landsat,False,,1.2861259319655276,0.8732852497416186,-0.15391657439682863,0.6946048389945907
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2009,2009,2009,,182,6,Kolyma;Mackenzie;Yenisey;Yukon,Landsat,False,,2.166218316376425,1.9732490826934113,-1.716510352090018,0.20078504711468204
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2010,2010,2010,,184,4,Kolyma;Yenisey;Yukon,Landsat,False,,4.681111857468161,4.054974135855617,4.054974135855617,-0.44400713160652505
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2011,2011,2011,,181,7,Lena;Mackenzie;Ob;Yenisey;Yukon,Landsat,False,,4.30191415203541,2.9820418401238595,2.8067628519152756,0.42931604581331373
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2012,2012,2012,,185,3,Mackenzie;Yenisey,Landsat,False,,2.0294500523927588,1.9978041082063889,-0.43627231997030397,0.3659252884636889
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2013,2013,2013,,184,4,Kolyma;Lena;Mackenzie,Landsat,False,,0.8719702271449022,0.6755099528437849,-0.4608423673448174,0.9297411883775102
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2014,2014,2014,,185,3,Mackenzie;Ob;Yukon,Landsat,False,,2.7615820286176946,1.8960421127017064,1.8960421127017064,0.7916681305558854
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2015,2015,2015,,181,7,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,Landsat,False,,1.9945399572592066,1.640880232162664,-0.20073685570055064,0.4654730382415424
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2016,2016,2016,,173,15,Kolyma;Lena;Mackenzie;Ob;Yenisey,HLS;Landsat,False,,1.8857358144709608,1.5335303021326367,-0.2666960737377297,0.24122308912130108
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2017,2017,2017,,170,18,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat,False,,2.461936033387122,1.770959903108189,-0.5604797552601515,0.2111962538051363
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2018,2018,2018,,163,25,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.1446154733617724,1.843326891335735,-0.451072425585263,0.41482104215403337
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2019,2019,2019,,164,24,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Sentinel-2,False,,2.21295581791006,1.7063538622245342,0.20295889541740827,0.657105705516819
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2020,2020,2020,,169,19,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,1.810600056641098,1.325183148758931,-0.2910845321239561,0.6500451848663666
any_sensor_0d,0d,any_sensor,any_sensor_0d__O1_quality_only,O1_quality_only,O1_quality_only,linear_regression,leave_one_year_out,loyo_2021,2021,2021,,171,17,Kolyma;Lena;Mackenzie;Ob;Yenisey;Yukon,HLS;Landsat;Sentinel-2,False,,2.182675609661076,1.8599153809004367,-1.5700510262354817,-0.4228642081712597
