feature,coefficient
intercept,6.649721040314886
numeric__log_Q,3.634134160936573
numeric__sin_doy,0.4763151929114018
numeric__cos_doy,0.48274334484162124
numeric__Kolyma__x__log_Q,-1.5371289293517332
numeric__Lena__x__log_Q,2.0035340467522493
numeric__Mackenzie__x__log_Q,-4.393801822726958
numeric__Ob__x__log_Q,-2.7291164519785394
numeric__Yenisey__x__log_Q,1.9596384567561609
numeric__Yukon__x__log_Q,5.902209708770829
numeric__Kolyma__x__sin_doy,0.5662594926101112
numeric__Lena__x__sin_doy,0.7580702839919675
numeric__Mackenzie__x__sin_doy,-0.0602121155860159
numeric__Ob__x__sin_doy,-0.5478745338387874
numeric__Yenisey__x__sin_doy,-0.27767368981811413
numeric__Yukon__x__sin_doy,0.6505109099005085
numeric__Kolyma__x__cos_doy,0.3777478193715761
numeric__Lena__x__cos_doy,0.6450966638089917
numeric__Mackenzie__x__cos_doy,0.03925965510210451
numeric__Ob__x__cos_doy,-0.16715490819759957
numeric__Yenisey__x__cos_doy,-0.18783627331723474
numeric__Yukon__x__cos_doy,0.4792487463941647
categorical__river_Kolyma,7.630878846043796
categorical__river_Lena,-3.4761991898183906
categorical__river_Mackenzie,9.68427157397318
categorical__river_Ob,9.075209069978532
categorical__river_Yenisey,-8.02876535983261
categorical__river_Yukon,-14.885394940344458
