river,sensor,total_optical_rows,date_min,date_max,rows_with_any_optical_band,any_optical_band_rate,median_pct_valid_water_pixels,p10_pct_valid_water_pixels,p90_pct_valid_water_pixels,rows_pct_valid_lt_005,rows_pct_valid_lt_010,rows_pct_valid_lt_025
Kolyma,HLS,18967,2016-03-03,2025-10-10,1024,0.05398850635313966,0.0,0.0,0.0,11174,11248,11371
Kolyma,Landsat,1324,2003-03-17,2025-10-07,611,0.46148036253776437,0.0,0.0,0.9015721919389921,799,852,915
Kolyma,Sentinel-2,1077,2017-08-10,2025-11-04,550,0.510677808727948,0.0014923234879778,0.0,0.9973362025739594,656,694,757
Lena,HLS,19027,2016-03-10,2025-10-16,1146,0.06023019919062385,0.0,0.0,0.0,11099,11161,11267
Lena,Landsat,894,2003-05-28,2025-10-16,513,0.5738255033557047,0.0451739195904231,0.0,0.9710435175425388,451,478,508
Lena,Sentinel-2,1573,2017-07-18,2025-11-13,1049,0.6668785759694851,0.0730594625946705,0.0,0.9720187835320625,753,828,956
Mackenzie,HLS,19215,2016-02-27,2025-10-15,972,0.05058548009367682,0.0,0.0,0.0,11323,11360,11414
Mackenzie,Landsat,2019,2003-03-26,2025-10-15,856,0.4239722634967806,0.0,0.0,0.8482100953617258,1257,1311,1409
Mackenzie,Sentinel-2,1112,2017-02-19,2025-11-09,579,0.52068345323741,0.0027694386901662,0.0,0.9992112638610406,685,729,799
Ob,HLS,20961,2016-03-10,2025-10-18,1842,0.0878774867611278,0.0,0.0,0.0,11996,12115,12329
Ob,Landsat,880,2003-03-28,2025-10-11,440,0.5,0.0,0.0,0.8855010611792932,497,529,574
Ob,Sentinel-2,3025,2017-02-09,2025-11-12,1685,0.5570247933884298,0.0161469733395529,0.0,0.8828744688158373,1699,1852,2085
Yenisey,HLS,22720,2016-03-10,2025-10-10,1824,0.08028169014084507,0.0,0.0,0.0,12906,12947,13013
Yenisey,Landsat,766,2003-03-31,2025-10-06,300,0.391644908616188,0.0,0.0,0.9271523178807948,484,498,525
Yenisey,Sentinel-2,4338,2017-06-07,2025-11-01,1794,0.4135546334716459,0.0,0.0,0.8219278881530537,2754,2840,3103
Yukon,HLS,20524,2016-02-11,2025-10-30,1332,0.06489962970181251,0.0,0.0,0.0,12034,12094,12210
Yukon,Landsat,1053,2003-02-22,2025-10-25,404,0.38366571699905033,0.0,0.0,0.7243009320905467,728,757,812
Yukon,Sentinel-2,2583,2017-02-02,2025-12-09,1167,0.4518002322880372,0.0,0.0,0.4884861957162515,1738,1858,2063
