dataset_id,river,sensor,matched_rows,rows_with_actual_bands,actual_band_rate,rows_with_core_bands,core_band_rate,rows_with_indices,index_rate,median_abs_days_offset,matched_doc_years_represented,date_min,date_max,median_pct_valid_water_pixels,blue_finite_rate,green_finite_rate,red_finite_rate,nir_finite_rate,swir1_finite_rate,swir2_finite_rate,ndwi_finite_rate,mndwi_finite_rate,extreme_reflectance_count,extreme_index_count,sensor_specific_underpowered
any_sensor_3d,Kolyma,HLS,20,2,0.1,2,0.1,2,0.1,0.0,6,2016-04-25,2021-03-12,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,False
any_sensor_3d,Kolyma,Landsat,33,18,0.5454545454545454,18,0.5454545454545454,18,0.5454545454545454,1.0,13,2003-08-26,2017-06-01,0.0835772401385569,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.5454545454545454,0,0,False
any_sensor_3d,Kolyma,Sentinel-2,6,4,0.6666666666666666,4,0.6666666666666666,4,0.6666666666666666,0.0,2,2020-07-30,2021-09-24,0.09369179938396881,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,False
any_sensor_3d,Lena,HLS,20,2,0.1,2,0.1,2,0.1,0.0,5,2016-04-01,2020-08-30,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,False
any_sensor_3d,Lena,Landsat,23,14,0.6086956521739131,14,0.6086956521739131,14,0.6086956521739131,2.0,10,2003-08-12,2015-09-23,0.3764493299201927,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0,0,False
any_sensor_3d,Lena,Sentinel-2,10,8,0.8,8,0.8,8,0.8,0.0,4,2018-03-08,2021-09-30,0.0402301094218821,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0,False
any_sensor_3d,Mackenzie,HLS,30,2,0.06666666666666667,2,0.06666666666666667,2,0.06666666666666667,0.0,9,2016-06-05,2024-08-19,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0,False
any_sensor_3d,Mackenzie,Landsat,41,24,0.5853658536585366,24,0.5853658536585366,24,0.5853658536585366,1.0,14,2004-06-17,2021-06-15,0.2612212292176344,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.5853658536585366,0.5853658536585366,0,0,False
any_sensor_3d,Mackenzie,Sentinel-2,10,9,0.9,9,0.9,9,0.9,0.0,5,2019-06-10,2023-09-14,0.29181021590544026,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1,0,False
any_sensor_3d,Ob,HLS,23,3,0.13043478260869565,3,0.13043478260869565,3,0.13043478260869565,0.0,6,2016-04-17,2021-05-30,0.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0,0,False
any_sensor_3d,Ob,Landsat,20,13,0.65,13,0.65,13,0.65,1.0,10,2004-07-28,2016-06-27,0.11829842207252925,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0.65,0,0,False
any_sensor_3d,Ob,Sentinel-2,6,5,0.8333333333333334,5,0.8333333333333334,5,0.8333333333333334,0.0,3,2019-02-24,2021-09-25,0.2154787962046923,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,False
any_sensor_3d,Yenisey,HLS,24,2,0.08333333333333333,2,0.08333333333333333,2,0.08333333333333333,0.0,6,2016-04-20,2021-07-04,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,False
any_sensor_3d,Yenisey,Landsat,27,11,0.4074074074074074,11,0.4074074074074074,11,0.4074074074074074,1.0,13,2004-06-14,2020-07-12,0.0,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,0.4074074074074074,0,0,False
any_sensor_3d,Yenisey,Sentinel-2,3,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,0.0,2,2020-08-29,2021-09-12,0.5886681383370125,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,False
any_sensor_3d,Yukon,HLS,27,8,0.2962962962962963,8,0.2962962962962963,8,0.2962962962962963,0.0,7,2016-03-03,2023-08-11,0.0,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0.2962962962962963,0,0,False
any_sensor_3d,Yukon,Landsat,40,17,0.425,17,0.425,17,0.425,1.5,13,2004-04-07,2021-05-06,0.0,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0,0,False
any_sensor_3d,Yukon,Sentinel-2,11,8,0.7272727272727273,8,0.7272727272727273,8,0.7272727272727273,0.0,7,2018-01-23,2024-08-24,0.061842945568874,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,0,0,False
hls_3d,Kolyma,HLS,20,2,0.1,2,0.1,2,0.1,0.0,6,2016-04-25,2021-03-12,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,True
hls_3d,Lena,HLS,20,2,0.1,2,0.1,2,0.1,0.0,5,2016-04-01,2020-08-30,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,True
hls_3d,Mackenzie,HLS,30,2,0.06666666666666667,2,0.06666666666666667,2,0.06666666666666667,0.0,9,2016-06-05,2024-08-19,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0,0,True
hls_3d,Ob,HLS,23,3,0.13043478260869565,3,0.13043478260869565,3,0.13043478260869565,0.0,6,2016-04-17,2021-05-30,0.0,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0.13043478260869565,0,0,True
hls_3d,Yenisey,HLS,24,2,0.08333333333333333,2,0.08333333333333333,2,0.08333333333333333,0.0,6,2016-04-20,2021-07-04,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0,0,True
