river,year,window_id,start_date,end_date,peak_q_date,peak_Q_m3s,window_length_days,definition_status,fallback_used,snow_data_used,q_data_used,n_days_with_flux,n_days_expected,coverage_rate,window_confidence_tier,caveat_reason
Kolyma,2000,fixed_may_july_reference,2000-05-01,2000-07-31,2000-06-04,20100.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2000,discharge_centered_freshet,2000-03-01,2000-07-31,2000-06-04,20100.0,153,ok,False,False,True,153,153,1.0,low,implausible_window_length
Kolyma,2000,q75_peak_contiguous,2000-05-27,2000-06-26,2000-06-04,20100.0,31,ok,False,False,True,31,31,1.0,high,ok
Kolyma,2000,snow_depletion_assisted,2000-05-09,2000-07-31,2000-06-04,20100.0,84,partial_snow_rule_fallback,True,True,True,84,84,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2000,common_overlap_w1_w2,2000-05-27,2000-06-26,2000-06-04,20100.0,31,ok,False,False,True,31,31,1.0,high,ok
Kolyma,2001,fixed_may_july_reference,2001-05-01,2001-07-31,2001-05-27,27120.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2001,discharge_centered_freshet,2001-04-02,2001-08-06,2001-05-27,27120.0,127,ok,False,False,True,127,127,1.0,low,implausible_window_length
Kolyma,2001,q75_peak_contiguous,2001-05-22,2001-07-06,2001-05-27,27120.0,46,ok,False,False,True,46,46,1.0,high,ok
Kolyma,2001,snow_depletion_assisted,2001-04-27,2001-08-06,2001-05-27,27120.0,102,partial_snow_rule_fallback,True,True,True,102,102,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2001,common_overlap_w1_w2,2001-05-22,2001-07-06,2001-05-27,27120.0,46,ok,False,False,True,46,46,1.0,high,ok
Kolyma,2002,fixed_may_july_reference,2002-05-01,2002-07-31,2002-06-04,26900.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2002,discharge_centered_freshet,2002-03-01,2002-08-21,2002-06-04,26900.0,174,ok,False,False,True,174,174,1.0,low,implausible_window_length
Kolyma,2002,q75_peak_contiguous,2002-05-27,2002-07-03,2002-06-04,26900.0,38,ok,False,False,True,38,38,1.0,high,ok
Kolyma,2002,snow_depletion_assisted,2002-05-17,2002-08-21,2002-06-04,26900.0,97,partial_snow_rule_fallback,True,True,True,97,97,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2002,common_overlap_w1_w2,2002-05-27,2002-07-03,2002-06-04,26900.0,38,ok,False,False,True,38,38,1.0,high,ok
Kolyma,2003,fixed_may_july_reference,2003-05-01,2003-07-31,2003-06-03,16800.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2003,discharge_centered_freshet,2003-03-04,2003-08-19,2003-06-03,16800.0,169,ok,False,False,True,169,169,1.0,low,implausible_window_length
Kolyma,2003,q75_peak_contiguous,2003-05-30,2003-07-14,2003-06-03,16800.0,46,ok,False,False,True,46,46,1.0,high,ok
Kolyma,2003,snow_depletion_assisted,2003-05-02,2003-08-19,2003-06-03,16800.0,110,partial_snow_rule_fallback,True,True,True,110,110,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2003,common_overlap_w1_w2,2003-05-30,2003-07-14,2003-06-03,16800.0,46,ok,False,False,True,46,46,1.0,high,ok
Kolyma,2004,fixed_may_july_reference,2004-05-01,2004-07-31,2004-06-04,28700.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2004,discharge_centered_freshet,2004-03-20,2004-08-31,2004-06-04,28700.0,165,ok,False,False,True,165,165,1.0,low,implausible_window_length
Kolyma,2004,q75_peak_contiguous,2004-06-01,2004-07-13,2004-06-04,28700.0,43,ok,False,False,True,43,43,1.0,high,ok
Kolyma,2004,snow_depletion_assisted,2004-05-22,2004-08-31,2004-06-04,28700.0,102,partial_snow_rule_fallback,True,True,True,102,102,1.0,medium,fallback_used;partial_snow_rule_fallback
Kolyma,2004,common_overlap_w1_w2,2004-06-01,2004-07-13,2004-06-04,28700.0,43,ok,False,False,True,43,43,1.0,high,ok
Kolyma,2005,fixed_may_july_reference,2005-05-01,2005-07-31,2005-06-05,12300.0,92,reference_only,False,False,False,92,92,1.0,high,reference_only
Kolyma,2005,discharge_centered_freshet,2005-03-26,2005-07-18,2005-06-05,12300.0,115,ok,False,False,True,115,115,1.0,high,ok
