river,year,window_id,start_date,end_date,window_start_doy,window_end_doy,window_peak_q_doy,peak_q_date,peak_Q_m3s,window_length_days,window_flux_TgC,window_flux_80_lower_TgC,window_flux_80_upper_TgC,window_flux_90_lower_TgC,window_flux_90_upper_TgC,window_flux_95_lower_TgC,window_flux_95_upper_TgC,annual_flux_TgC,window_fraction_of_annual,n_days_with_flux,coverage_rate,n_low_confidence_days,fraction_flux_from_low_confidence_days,window_confidence_tier,annual_confidence_tier,core_2003_2024,sensitivity_only,exclude_from_trend,caveat_reason
Kolyma,2000,fixed_may_july_reference,2000-05-01,2000-07-31,122.0,213.0,156.0,2000-06-04,20100.0,92,0.4170989718043102,0.3098805625775063,0.5264428523232273,0.30043468235592985,0.582312867331807,0.29642781168973553,0.6073565404409397,0.5948597624241829,0.7011719369024746,92,1.0,16,7.499379018909077e-06,high,high,False,True,False,reference_only
Kolyma,2000,discharge_centered_freshet,2000-03-01,2000-07-31,61.0,213.0,156.0,2000-06-04,20100.0,153,0.41853885453961304,0.3101919857170143,0.5292668348119339,0.30067377151557007,0.5858440652003692,0.2966400570564567,0.6112047468298707,0.5948597624241829,0.7035924783918417,153,1.0,66,0.0022841959139675476,low,high,False,True,True,implausible_window_length
Kolyma,2000,q75_peak_contiguous,2000-05-27,2000-06-26,148.0,178.0,156.0,2000-06-04,20100.0,31,0.2947780570267024,0.2290653062856468,0.36158149413139423,0.2232695815516103,0.3957151741869334,0.22081098132065113,0.4110155589316196,0.5948597624241829,0.4955421019324247,31,1.0,0,0.0,high,high,False,True,False,ok
Kolyma,2000,snow_depletion_assisted,2000-05-09,2000-07-31,130.0,213.0,156.0,2000-06-04,20100.0,84,0.4170989718043102,0.3098805625775063,0.5263156251405964,0.30043468235592985,0.5821206325367763,0.29642781168973553,0.6071351660547651,0.5948597624241829,0.7011719369024746,84,1.0,8,7.499379018909077e-06,medium,high,False,True,False,fallback_used;partial_snow_rule_fallback
Kolyma,2000,common_overlap_w1_w2,2000-05-27,2000-06-26,148.0,178.0,156.0,2000-06-04,20100.0,31,0.2947780570267024,0.2290653062856468,0.36158149413139423,0.2232695815516103,0.3957151741869334,0.22081098132065113,0.4110155589316196,0.5948597624241829,0.4955421019324247,31,1.0,0,0.0,high,high,False,True,False,ok
Kolyma,2001,fixed_may_july_reference,2001-05-01,2001-07-31,121.0,212.0,147.0,2001-05-27,27120.0,92,0.5846269553563391,0.44810506477340317,0.7234279617926358,0.4360867568744502,0.7943492998318531,0.43099213930037683,0.8261397120242191,0.6966990235713663,0.839138473826859,92,1.0,2,0.09067642304992839,high,high,False,True,False,reference_only
Kolyma,2001,discharge_centered_freshet,2001-04-02,2001-08-06,92.0,218.0,147.0,2001-05-27,27120.0,127,0.5927743585674672,0.45156926234033445,0.7363363015065311,0.439137905672603,0.8096902731106286,0.4338680689766909,0.8425711106372957,0.6966990235713663,0.8508327678268182,127,1.0,2,0.08943011849971814,low,high,False,True,True,implausible_window_length
Kolyma,2001,q75_peak_contiguous,2001-05-22,2001-07-06,142.0,187.0,147.0,2001-05-27,27120.0,46,0.5175869941974364,0.4063019819559002,0.6307190915778553,0.3964868807662176,0.6885247222962809,0.39232322373293516,0.7144360330299038,0.6966990235713663,0.7429133337150678,46,1.0,2,0.10242120015492764,high,high,False,True,False,ok
Kolyma,2001,snow_depletion_assisted,2001-04-27,2001-08-06,117.0,218.0,147.0,2001-05-27,27120.0,102,0.5911143934933515,0.4509865968626158,0.7335811560447563,0.43865025572606203,0.806375537625111,0.4334207255004565,0.8390055395357939,0.6966990235713663,0.8484501535013287,102,1.0,2,0.08968125580058177,medium,high,False,True,False,fallback_used;partial_snow_rule_fallback
Kolyma,2001,common_overlap_w1_w2,2001-05-22,2001-07-06,142.0,187.0,147.0,2001-05-27,27120.0,46,0.5175869941974364,0.4063019819559002,0.6307190915778553,0.3964868807662176,0.6885247222962809,0.39232322373293516,0.7144360330299038,0.6966990235713663,0.7429133337150678,46,1.0,2,0.10242120015492764,high,high,False,True,False,ok
